============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  10:44:21 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                             Module                 Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------
INTER_2                                                                    4190      24878     10029        34907 
  gen_filter[16].U_S0               filter_2_bit_width10_16                 209       1090       446         1536 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_8      39        249        73          322 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_8       39        249        73          322 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_717                     39        150        63          214 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_716                     39        150        63          214 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_908                  14        117        18          135 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_907                  14        117        18          135 
    U_S10                           somador_n_np1_bit_width8_16               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_881                    3         24         3           27 
  gen_filter[15].U_S0               filter_2_bit_width10_15                 209       1090       446         1536 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_7      39        249        73          322 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_7       39        249        73          322 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_719                     39        150        63          214 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_718                     39        150        63          214 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_910                  14        117        18          135 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_909                  14        117        18          135 
    U_S10                           somador_n_np1_bit_width8_15               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_882                    3         24         3           27 
  gen_filter[14].U_S0               filter_2_bit_width10_14                 209       1090       446         1536 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_6      39        249        73          322 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_6       39        249        73          322 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_721                     39        150        63          214 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_720                     39        150        63          214 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_912                  14        117        18          135 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_911                  14        117        18          135 
    U_S10                           somador_n_np1_bit_width8_14               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_883                    3         24         3           27 
  gen_filter[13].U_S0               filter_2_bit_width10_13                 209       1090       446         1536 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_5      39        249        73          322 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_5       39        249        73          322 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_723                     39        150        63          214 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_722                     39        150        63          214 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_914                  14        117        18          135 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_913                  14        117        18          135 
    U_S10                           somador_n_np1_bit_width8_13               3         24         3           27 
      addinc_add_41_28              add_unsigned_carry_884                    3         24         3           27 
  gen_filter[12].U_S0               filter_2_bit_width10_12                 209       1090       446         1536 
    csa_tree_U_S21_add_18_10_groupi csa_tree_U_S21_add_18_10_group_12_4      39        249        73          322 
    csa_tree_U_S1_add_18_10_groupi  csa_tree_U_S1_add_18_10_group_14_4       39        249        73          322 
    addinc_U_1_U_S0_add_18_16       add_signed_carry_725                     39        150        63          214 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_724                     39        150        63          214 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_24_916                  14        117        18          135 
    addinc_U_0_U_S1_add_18_16       add_signed_carry_24_915                  14        117        18          135 
    U_S10                           somador_n_np1_bit_width8_12               3         24         3           27 
