============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  05:02:31 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
INTER_2                       15386   164.608 10737.075  6396.083      17133.158         17297.766 
  gen_filter[16].U_S0           427     4.632   132.066   129.595        261.662           266.293 
    addinc_U_1_U_S0_add_18_16    75     0.840    12.501    15.708         28.209            29.049 
    addinc_U_0_U_S0_add_18_16    75     0.835    13.224    15.979         29.203            30.038 
    csa_tree_U.._18_10_groupi    54     0.716    38.031    28.063         66.094            66.810 
    csa_tree_U.._18_10_groupi    54     0.712    39.471    29.625         69.096            69.808 
    addinc_U_0_U_S1_add_18_16    61     0.589    11.957    11.758         23.715            24.303 
    addinc_U_1_U_S1_add_18_16    61     0.579    11.364    11.306         22.670            23.250 
    U_S10                         3     0.017     0.548     0.409          0.957             0.975 
      addinc_add_41_28            3     0.017     0.548     0.409          0.957             0.975 
  gen_filter[3].U_S0            427     4.631   144.180   145.723        289.903           294.534 
    addinc_U_0_U_S0_add_18_16    75     0.837    16.087    20.194         36.281            37.118 
    addinc_U_1_U_S0_add_18_16    75     0.824    11.537    14.253         25.791            26.615 
    csa_tree_U.._18_10_groupi    54     0.717    44.433    34.833         79.266            79.983 
    csa_tree_U.._18_10_groupi    54     0.712    39.430    30.736         70.167            70.878 
    addinc_U_1_U_S1_add_18_16    61     0.592    11.371    11.127         22.499            23.091 
    addinc_U_0_U_S1_add_18_16    61     0.589    15.038    14.729         29.767            30.356 
    U_S10                         3     0.017     0.694     0.548          1.242             1.259 
      addinc_add_41_28            3     0.017     0.694     0.548          1.242             1.259 
  gen_filter[2].U_S0            427     4.631   163.882   164.104        327.986           332.617 
    addinc_U_1_U_S0_add_18_16    75     0.837    16.086    20.194         36.279            37.116 
    addinc_U_0_U_S0_add_18_16    75     0.833    15.013    17.916         32.929            33.762 
    csa_tree_U.._18_10_groupi    54     0.717    48.486    37.723         86.210            86.927 
    csa_tree_U.._18_10_groupi    54     0.714    47.004    36.913         83.917            84.631 
    addinc_U_1_U_S1_add_18_16    61     0.589    15.037    14.729         29.767            30.356 
    addinc_U_0_U_S1_add_18_16    61     0.583    15.253    15.428         30.681            31.264 
    U_S10                         3     0.018     0.945     0.741          1.686             1.703 
      addinc_add_41_28            3     0.018     0.945     0.741          1.686             1.703 
  gen_filter[17].U_S0           427     4.629   147.628   150.162        297.790           302.419 
    addinc_U_0_U_S0_add_18_16    75     0.840    12.501    15.708         28.209            29.049 
    addinc_U_1_U_S0_add_18_16    75     0.837    17.002    20.715         37.718            38.555 
    csa_tree_U.._18_10_groupi    54     0.715    41.307    32.240         73.547            74.262 
    csa_tree_U.._18_10_groupi    54     0.714    42.600    33.238         75.838            76.552 
    addinc_U_1_U_S1_add_18_16    61     0.583    16.191    16.504         32.695            33.278 
    addinc_U_0_U_S1_add_18_16    61     0.579    11.364    11.306         22.671            23.250 
    U_S10                         3     0.017     0.829     0.675          1.504             1.522 
      addinc_add_41_28            3     0.017     0.829     0.675          1.504             1.522 
  gen_filter[31].U_S0           427     4.629   154.401   154.911        309.312           313.942 
    addinc_U_1_U_S0_add_18_16    75     0.834    15.196    18.200         33.397            34.230 
    addinc_U_0_U_S0_add_18_16    75     0.834    15.347    18.353         33.700            34.534 
    csa_tree_U.._18_10_groupi    54     0.715    43.457    33.460         76.916            77.632 
    csa_tree_U.._18_10_groupi    54     0.714    44.787    35.242         80.028            80.743 
    addinc_U_1_U_S1_add_18_16    61     0.587    14.562    14.528         29.090            29.676 
    addinc_U_0_U_S1_add_18_16    61     0.586    14.435    14.555         28.991            29.576 
    U_S10                         3     0.018     0.771     0.610          1.380             1.398 
      addinc_add_41_28            3     0.018     0.771     0.610          1.380             1.398 
  gen_filter[18].U_S0           427     4.628   168.221   168.949        337.170           341.798 
