============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  04:37:33 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                        
       Gate        Instances    Area        Library    
-------------------------------------------------------
HS65_LSS_XNOR2X12         72    486.720    CORE65LPSVT 
HS65_LSS_XNOR2X6         180    748.800    CORE65LPSVT 
HS65_LSS_XOR2X6           54    224.640    CORE65LPSVT 
HS65_LS_AND2X18           18     65.520    CORE65LPSVT 
HS65_LS_AND2X27           36    205.920    CORE65LPSVT 
HS65_LS_AND2X35           18    112.320    CORE65LPSVT 
HS65_LS_AND2X9            54    168.480    CORE65LPSVT 
HS65_LS_AOI13X15          18    159.120    CORE65LPSVT 
HS65_LS_BFX18              8     24.960    CORE65LPSVT 
HS65_LS_BFX27             36    131.040    CORE65LPSVT 
HS65_LS_BFX53             16     99.840    CORE65LPSVT 
HS65_LS_BFX9              18     37.440    CORE65LPSVT 
HS65_LS_CB4I6X9           18     74.880    CORE65LPSVT 
HS65_LS_CBI4I1X16         18    159.120    CORE65LPSVT 
HS65_LS_CBI4I1X21         36    430.560    CORE65LPSVT 
HS65_LS_CBI4I1X5          18     65.520    CORE65LPSVT 
HS65_LS_CNIVX21           22     68.640    CORE65LPSVT 
HS65_LS_CNIVX27           18     65.520    CORE65LPSVT 
HS65_LS_CNIVX34           18     84.240    CORE65LPSVT 
HS65_LS_DFPRQX18           8     87.360    CORE65LPSVT 
HS65_LS_DFPRQX4          216   2246.400    CORE65LPSVT 
HS65_LS_DFPRQX9           92    956.800    CORE65LPSVT 
HS65_LS_FA1X18            72   1010.880    CORE65LPSVT 
HS65_LS_FA1X27           144   3070.080    CORE65LPSVT 
HS65_LS_FA1X4             54    505.440    CORE65LPSVT 
HS65_LS_FA1X9             18    196.560    CORE65LPSVT 
HS65_LS_HA1X18            36    262.080    CORE65LPSVT 
HS65_LS_HA1X27            36    430.560    CORE65LPSVT 
HS65_LS_HA1X4             45    234.000    CORE65LPSVT 
HS65_LS_HA1X9             54    336.960    CORE65LPSVT 
HS65_LS_IVX18            308    640.640    CORE65LPSVT 
HS65_LS_IVX2               1      1.560    CORE65LPSVT 
HS65_LS_IVX22             18     56.160    CORE65LPSVT 
HS65_LS_IVX27            102    318.240    CORE65LPSVT 
HS65_LS_IVX31             18     65.520    CORE65LPSVT 
HS65_LS_IVX35             36    131.040    CORE65LPSVT 
HS65_LS_IVX44             18     74.880    CORE65LPSVT 
HS65_LS_IVX62             18    102.960    CORE65LPSVT 
HS65_LS_IVX9             180    280.800    CORE65LPSVT 
HS65_LS_MUXI21X10         18    149.760    CORE65LPSVT 
HS65_LS_MUXI21X5          18     84.240    CORE65LPSVT 
HS65_LS_NAND2AX14        126    524.160    CORE65LPSVT 
HS65_LS_NAND2AX21         36    205.920    CORE65LPSVT 
HS65_LS_NAND2AX7         126    393.120    CORE65LPSVT 
HS65_LS_NAND2X14         162    589.680    CORE65LPSVT 
HS65_LS_NAND2X21          54    280.800    CORE65LPSVT 
HS65_LS_NAND2X29          18    112.320    CORE65LPSVT 
HS65_LS_NAND2X57          18    215.280    CORE65LPSVT 
HS65_LS_NAND2X7          180    374.400    CORE65LPSVT 
HS65_LS_NOR2AX19          54    308.880    CORE65LPSVT 
HS65_LS_NOR2AX3          144    374.400    CORE65LPSVT 
HS65_LS_NOR2AX6           36    112.320    CORE65LPSVT 
HS65_LS_NOR2X13           36    131.040    CORE65LPSVT 
HS65_LS_NOR2X19           36    187.200    CORE65LPSVT 
HS65_LS_NOR2X25           36    224.640    CORE65LPSVT 
HS65_LS_NOR2X38           36    318.240    CORE65LPSVT 
HS65_LS_NOR2X6           108    224.640    CORE65LPSVT 
HS65_LS_OA12X18           90    374.400    CORE65LPSVT 
HS65_LS_OA12X27           18    131.040    CORE65LPSVT 
HS65_LS_OA12X9            18     65.520    CORE65LPSVT 
HS65_LS_OA22X9            18     84.240    CORE65LPSVT 
HS65_LS_OAI112X11         18    112.320    CORE65LPSVT 
HS65_LS_OAI112X5          18     65.520    CORE65LPSVT 
HS65_LS_OAI12X12          18     93.600    CORE65LPSVT 
HS65_LS_OAI12X18          18    121.680    CORE65LPSVT 
HS65_LS_OAI13X15          18    159.120    CORE65LPSVT 
HS65_LS_OAI211X11         18    112.320    CORE65LPSVT 
HS65_LS_OAI21X18          18    121.680    CORE65LPSVT 
HS65_LS_OAI21X3           18     46.800    CORE65LPSVT 
HS65_LS_OR2X18            18     65.520    CORE65LPSVT 
HS65_LS_OR2X35            18    112.320    CORE65LPSVT 
HS65_LS_OR2X9            180    561.600    CORE65LPSVT 
HS65_LS_PAO2X18           18    102.960    CORE65LPSVT 
HS65_LS_PAO2X9            36    168.480    CORE65LPSVT 
HS65_LS_PAOI2X11          18    140.400    CORE65LPSVT 
HS65_LS_PAOI2X17          18    196.560    CORE65LPSVT 
HS65_LS_XNOR2X18          90    608.400    CORE65LPSVT 
HS65_LS_XNOR2X9           36    187.200    CORE65LPSVT 
HS65_LS_XOR2X18           36    243.360    CORE65LPSVT 
HS65_LS_XOR2X27           36    374.400    CORE65LPSVT 
HS65_LS_XOR2X35           18    205.920    CORE65LPSVT 
-------------------------------------------------------
total                   4202  23688.600                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential           316  3290.560   13.9 
inverter             757  1890.200    8.0 
buffer                78   293.280    1.2 
logic               3051 18214.560   76.9 
physical_cells         0     0.000    0.0 
------------------------------------------
total               4202 23688.600  100.0 

