============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 21 2019  04:33:36 pm
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                                         Module                     Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------------------------
FME_PIPE_2                                                                                      26976     135642     61217       196859 
  U_buffer                                       buffer_shift                                   12282      67790     29670        97460 
  U_inter                                        interpolation_bit_width10                      12909      57289     24664        81954 
    PUs[8].U_F2_U_1                              A1_bit_width10_506                               255       1107       456         1563 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3173                        82        382       131          513 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3140                        81        360       133          494 
      U_S2_add_18_10                             add_signed_2442_3206                              79        327       133          459 
    PUs[10].U_F2_U_1                             A1_bit_width10_504                               256       1101       458         1559 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3142                        84        372       139          511 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3175                        80        367       128          495 
      U_S2_add_18_10                             add_signed_2442_3208                              80        327       135          462 
    PUs[1].U_F2_U_1                              A1_bit_width10_513                               257       1087       459         1547 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3166                        83        378       133          510 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3133                        82        348       136          483 
      U_S2_add_18_10                             add_signed_2442_3199                              80        329       135          464 
    PUs[7].U_F2_U_1                              A1_bit_width10_507                               253       1089       455         1544 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3172                        80        374       129          503 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3139                        81        357       134          491 
      U_S2_add_18_10                             add_signed_2442_3205                              79        321       133          454 
    PUs[5].U_F2_U_1                              A1_bit_width10_509                               253       1090       453         1544 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3170                        80        376       128          505 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3137                        81        355       134          489 
      U_S2_add_18_10                             add_signed_2442_3203                              80        327       135          461 
    PUs[11].U_F2_U_1                             A1_bit_width10_503                               252       1084       452         1536 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3143                        82        366       136          501 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3176                        79        362       127          489 
      U_S2_add_18_10                             add_signed_2442_3209                              79        322       133          455 
    PUs[6].U_F2_U_1                              A1_bit_width10_508                               251       1086       450         1536 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3138                        79        359       130          489 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3171                        80        360       129          489 
      U_S2_add_18_10                             add_signed_2442_3204                              80        334       135          469 
    PUs[0].U_F2_U_1                              A1_bit_width10                                   251       1081       450         1531 
      addinc_U_S0_add_18_16                      add_signed_carry_4272                             79        371       127          498 
      addinc_U_S1_add_18_16                      add_signed_carry_4269                             82        355       136          491 
      U_S2_add_18_10                             add_signed_2442                                   79        324       134          459 
    PUs[14].U_F2_U_1                             A1_bit_width10_500                               250       1077       450         1527 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3146                        81        362       134          496 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3179                        80        366       130          496 
      U_S2_add_18_10                             add_signed_2442_3212                              78        318       131          449 
    PUs[9].U_F2_U_1                              A1_bit_width10_505                               249       1080       447         1527 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3174                        78        365       125          490 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3141                        80        357       132          489 
      U_S2_add_18_10                             add_signed_2442_3207                              79        323       133          456 
    PUs[13].U_F2_U_1                             A1_bit_width10_501                               250       1077       448         1525 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3145                        79        356       130          486 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3178                        79        359       127          486 
      U_S2_add_18_10                             add_signed_2442_3211                              80        328       135          462 
    PUs[12].U_F2_U_1                             A1_bit_width10_502                               249       1076       447         1523 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3177                        79        363       127          490 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3144                        79        354       130          484 
      U_S2_add_18_10                             add_signed_2442_3210                              79        326       133          458 
    PUs[4].U_F2_U_1                              A1_bit_width10_510                               247       1062       444         1506 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3169                        78        359       126          485 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3136                        80        348       132          480 
      U_S2_add_18_10                             add_signed_2442_3202                              78        324       131          456 
    PUs[15].U_F2_U_1                             A1_bit_width10_499                               245       1054       440         1495 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3180                        77        357       125          481 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3147                        79        347       130          477 
      U_S2_add_18_10                             add_signed_2442_3213                              78        320       131          452 
    PUs[3].U_F2_U_1                              A1_bit_width10_511                               245       1053       440         1493 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3168                        78        360       126          486 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3135                        77        338       126          464 
      U_S2_add_18_10                             add_signed_2442_3201                              78        321       131          453 
    PUs[2].U_F2_U_1                              A1_bit_width10_512                               244       1044       439         1483 
      addinc_U_S0_add_18_16                      add_signed_carry_4272_3167                        77        359       125          484 
      addinc_U_S1_add_18_16                      add_signed_carry_4269_3134                        77        336       126          462 
      U_S2_add_18_10                             add_signed_2442_3200                              78        316       131          448 
    csa_tree_PUs_5__U_F2_U_S1_add_18_10_groupi   csa_tree_PUs_5__U_F2_U_S1_add_18_10_group_2       95        370       179          549 
    csa_tree_PUs_4__U_F2_U_S1_add_18_10_groupi   csa_tree_PUs_4__U_F2_U_S1_add_18_10_group_2       95        370       179          549 
    csa_tree_PUs_3__U_F2_U_S1_add_18_10_groupi   csa_tree_PUs_3__U_F2_U_S1_add_18_10_group_2       95        370       179          549 
    csa_tree_PUs_2__U_F2_U_S1_add_18_10_groupi   csa_tree_PUs_2__U_F2_U_S1_add_18_10_group_2       95        370       179          549 
    csa_tree_PUs_1__U_F2_U_S1_add_18_10_groupi   csa_tree_PUs_1__U_F2_U_S1_add_18_10_group_2       95        370       179          549 
    csa_tree_PUs_4__U_F2_U_S21_add_18_10_groupi  csa_tree_PUs_4__U_F2_U_S21_add_18_10_group_2      95        354       179          533 
    csa_tree_PUs_3__U_F2_U_S21_add_18_10_groupi  csa_tree_PUs_3__U_F2_U_S21_add_18_10_group_2      95        354       179          533 
    csa_tree_PUs_2__U_F2_U_S21_add_18_10_groupi  csa_tree_PUs_2__U_F2_U_S21_add_18_10_group_2      95        354       179          533 
    csa_tree_PUs_1__U_F2_U_S21_add_18_10_groupi  csa_tree_PUs_1__U_F2_U_S21_add_18_10_group_2      95        354       179          533 
    csa_tree_PUs_0__U_F2_U_S21_add_18_10_groupi  csa_tree_PUs_0__U_F2_U_S21_add_18_10_group_2      95        354       179          533 
    csa_tree_PUs_0__U_F2_U_S1_add_18_10_groupi   csa_tree_PUs_0__U_F2_U_S1_add_18_10_group_2       92        341       173          513 
    addinc_PUs[15].U_F2_U_0_U_S0_add_18_16       add_signed_carry_4272_3163                        82        378       132          510 
    addinc_PUs[9].U_F2_U_0_U_S0_add_18_16        add_signed_carry_4272_3157                        82        374       131          505 
    addinc_PUs[2].U_F2_U_0_U_S0_add_18_16        add_signed_carry_4272_3150                        83        373       132          504 
    addinc_PUs[1].U_F2_U_0_U_S1_add_18_16        add_signed_carry_4269_3116                        82        367       136          502 
    addinc_PUs[8].U_F2_U_0_U_S0_add_18_16        add_signed_carry_4272_3156                        80        370       129          499 
    addinc_PUs[7].U_F2_U_0_U_S0_add_18_16        add_signed_carry_4272_3155                        80        370       129          499 
    addinc_PUs[12].U_F2_U_0_U_S0_add_18_16       add_signed_carry_4272_3160                        81        368       130          498 
    addinc_PUs[11].U_F2_U_0_U_S0_add_18_16       add_signed_carry_4272_3159                        81        368       129          498 
    addinc_PUs[6].U_F2_U_0_U_S0_add_18_16        add_signed_carry_4272_3154                        80        369       127          497 
    addinc_PUs[10].U_F2_U_0_U_S0_add_18_16       add_signed_carry_4272_3158                        78        371       125          496 
    addinc_PUs[12].U_F2_U_0_U_S1_add_18_16       add_signed_carry_4269_3127                        82        360       135          495 
