============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 21 2019  09:07:47 pm
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                                         Module                     Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------------------------
FME_PIPE_2                                                                                      75304     374264    176478       550743 
  U_buffer                                       buffer_shift                                   46553     242853    117511       360364 
  U_inter                                        interpolation_bit_width10                      25416     111559     48843       160402 
    PUs[17].U_F2_U_1                             A1_bit_width10_1505                              251       1104       457         1561 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7726                        82        385       136          521 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7661                        80        348       135          483 
      U_S2_add_18_10                             add_signed_6298_7791                              77        335       128          463 
    PUs[25].U_F2_U_1                             A1_bit_width10_1497                              253       1099       457         1557 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7734                        82        386       134          520 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7669                        81        345       136          481 
      U_S2_add_18_10                             add_signed_6298_7799                              78        337       132          469 
    PUs[29].U_F2_U_1                             A1_bit_width10_1493                              252       1098       456         1554 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7738                        84        396       137          533 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7673                        80        339       135          473 
      U_S2_add_18_10                             add_signed_6298_7803                              76        333       129          461 
    PUs[13].U_F2_U_1                             A1_bit_width10_1509                              252       1092       456         1548 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7722                        79        372       131          503 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7657                        83        349       139          488 
      U_S2_add_18_10                             add_signed_6298_7787                              78        339       131          470 
    PUs[16].U_F2_U_1                             A1_bit_width10_1506                              251       1093       455         1548 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7725                        82        402       135          537 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7660                        80        324       135          459 
      U_S2_add_18_10                             add_signed_6298_7790                              76        327       125          452 
    PUs[6].U_F2_U_1                              A1_bit_width10_1516                              252       1088       457         1545 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7715                        82        376       136          512 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7650                        80        346       135          481 
      U_S2_add_18_10                             add_signed_6298_7780                              78        335       131          466 
    PUs[12].U_F2_U_1                             A1_bit_width10_1510                              251       1088       456         1544 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7721                        80        375       133          508 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7656                        82        350       138          488 
      U_S2_add_18_10                             add_signed_6298_7786                              77        331       129          460 
    PUs[27].U_F2_U_1                             A1_bit_width10_1495                              256       1080       463         1542 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7736                        82        374       136          509 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7671                        84        343       141          484 
      U_S2_add_18_10                             add_signed_6298_7801                              78        332       131          463 
    PUs[19].U_F2_U_1                             A1_bit_width10_1503                              255       1079       463         1542 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7728                        80        367       134          501 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7663                        84        346       141          487 
      U_S2_add_18_10                             add_signed_6298_7793                              79        335       133          469 
    PUs[20].U_F2_U_1                             A1_bit_width10_1502                              251       1085       455         1540 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7729                        80        377       133          510 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7664                        81        340       136          476 
      U_S2_add_18_10                             add_signed_6298_7794                              78        336       131          468 
    PUs[26].U_F2_U_1                             A1_bit_width10_1496                              251       1084       455         1539 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7735                        82        387       134          521 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7670                        80        333       135          468 
      U_S2_add_18_10                             add_signed_6298_7800                              77        333       130          463 
    PUs[10].U_F2_U_1                             A1_bit_width10_1512                              250       1085       453         1538 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7719                        79        378       130          508 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7654                        81        343       136          479 
      U_S2_add_18_10                             add_signed_6298_7784                              78        333       131          465 
    PUs[15].U_F2_U_1                             A1_bit_width10_1507                              250       1081       455         1536 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7724                        80        379       133          511 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7659                        81        340       137          476 
      U_S2_add_18_10                             add_signed_6298_7789                              77        331       129          460 
    PUs[30].U_F2_U_1                             A1_bit_width10_1492                              252       1082       453         1535 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7739                        78        366       128          494 
      addinc_U_S1_add_18_16                      add_signed_carry_8106_7674                        84        352       140          491 
      U_S2_add_18_10                             add_signed_6298_7804                              79        336       132          469 
    PUs[11].U_F2_U_1                             A1_bit_width10_1511                              250       1083       452         1535 
      addinc_U_S0_add_18_16                      add_signed_carry_8109_7720                        80        381       131          512 
