============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 21 2019  09:08:01 pm
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal      Net        Dynamic          Total       
                                                                    (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW)  Power(uW)    Power(uW)       Power(uW)     
-----------------------------------------------------------------------------------------------------
FME_PIPE_2                    75304   454.530 195966.817 116359.235     312326.052        312780.582 
  U_buffer                    46553   214.308 146117.693  63542.286     209659.979        209874.287 
  U_inter                     25416   208.313  38874.249  26550.262      65424.511         65632.824 
    PUs[17].U_F2_U_1            251     2.410    207.564    266.608        474.172           476.582 
      addinc_U_S0_add_18_16      82     1.007     77.721    105.824        183.544           184.551 
      addinc_U_S1_add_18_16      80     0.707     57.333     68.211        125.544           126.251 
      U_S2_add_18_10             77     0.603     65.756     77.250        143.006           143.610 
    PUs[25].U_F2_U_1            253     2.390    209.828    271.075        480.904           483.293 
      addinc_U_S0_add_18_16      82     1.007     78.218    107.881        186.100           187.107 
      addinc_U_S1_add_18_16      81     0.688     60.528     73.599        134.127           134.815 
      U_S2_add_18_10             78     0.617     65.408     74.783        140.192           140.809 
    PUs[16].U_F2_U_1            251     2.376    188.588    243.295        431.883           434.259 
      addinc_U_S0_add_18_16      82     1.047     74.620     97.383        172.003           173.050 
      addinc_U_S1_add_18_16      80     0.635     50.877     64.187        115.064           115.699 
      U_S2_add_18_10             76     0.584     56.569     65.564        122.133           122.717 
    PUs[29].U_F2_U_1            252     2.373    198.682    256.321        455.003           457.376 
      addinc_U_S0_add_18_16      84     1.031     77.271    103.007        180.278           181.309 
      addinc_U_S1_add_18_16      80     0.668     57.447     70.868        128.316           128.984 
      U_S2_add_18_10             76     0.603     58.680     68.201        126.880           127.483 
    PUs[13].U_F2_U_1            252     2.357    185.010    238.018        423.028           425.385 
