============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 21 2019  03:38:45 pm
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                                       Module                     Cells  Cell Area  Net Area   Total Area 
--------------------------------------------------------------------------------------------------------------------------------------
FME_PIPE_2                                                                                     5623      28542     11861        40403 
  U_inter                                       interpolation_bit_width10                      3876      17961      7428        25389 
    PUs[0].U_F2_U_1                             A1_bit_width10                                  256       1216       465         1681 
      addinc_U_S0_add_18_16                     add_signed_carry_1386                            82        426       137          563 
      addinc_U_S1_add_18_16                     add_signed_carry_1383                            84        407       141          548 
      U_S2_add_18_10                            add_signed_558                                   78        340       131          471 
    PUs[2].U_F2_U_1                             A1_bit_width10_92                               257       1203       465         1667 
      addinc_U_S1_add_18_16                     add_signed_carry_1383_758                        84        411       141          552 
      addinc_U_S0_add_18_16                     add_signed_carry_1386_767                        82        411       135          546 
      U_S2_add_18_10                            add_signed_558_776                               79        339       133          472 
    PUs[1].U_F2_U_1                             A1_bit_width10_93                               259       1193       467         1660 
      addinc_U_S0_add_18_16                     add_signed_carry_1386_766                        84        418       138          555 
      addinc_U_S1_add_18_16                     add_signed_carry_1383_757                        85        402       142          545 
      U_S2_add_18_10                            add_signed_558_775                               78        330       131          461 
    PUs[3].U_F2_U_1                             A1_bit_width10_91                               252       1183       457         1640 
      addinc_U_S0_add_18_16                     add_signed_carry_1386_768                        81        421       133          555 
      addinc_U_S1_add_18_16                     add_signed_carry_1383_759                        82        395       137          532 
      U_S2_add_18_10                            add_signed_558_777                               77        324       130          455 
    addinc_PUs[4].U_F2_U_0_U_S0_add_18_16       add_signed_carry_1386_764                        84        422       138          560 
    addinc_PUs[3].U_F2_U_0_U_S0_add_18_16       add_signed_carry_1386_763                        83        418       137          555 
    addinc_PUs[2].U_F2_U_0_U_S0_add_18_16       add_signed_carry_1386_762                        85        413       140          553 
    addinc_PUs[2].U_F2_U_0_U_S1_add_18_16       add_signed_carry_1383_753                        82        406       137          542 
    addinc_PUs[3].U_F2_U_0_U_S1_add_18_16       add_signed_carry_1383_754                        83        401       138          539 
    addinc_PUs[1].U_F2_U_0_U_S0_add_18_16       add_signed_carry_1386_761                        82        401       136          537 
    addinc_PUs[1].U_F2_U_0_U_S1_add_18_16       add_signed_carry_1383_752                        82        398       137          535 
    addinc_PUs[4].U_F2_U_0_U_S1_add_18_16       add_signed_carry_1383_755                        81        393       134          527 
    csa_tree_PUs_1__U_F2_U_S1_add_18_10_groupi  csa_tree_PUs_1__U_F2_U_S1_add_18_10_group_2      95        348       177          525 
    addinc_PUs[4].U_F2_U_1_U_S0_add_18_16       add_signed_carry_1386_765                        82        388       135          524 
    addinc_PUs[0].U_F2_U_0_U_S0_add_18_16       add_signed_carry_1386_760                        83        386       136          523 
    csa_tree_PUs_0__U_F2_U_S21_add_18_10_groupi csa_tree_PUs_0__U_F2_U_S21_add_18_10_group_2     95        346       177          522 
    addinc_PUs[0].U_F2_U_0_U_S1_add_18_16       add_signed_carry_1383_751                        78        388       129          517 
    addinc_PUs[4].U_F2_U_1_U_S1_add_18_16       add_signed_carry_1383_756                        77        385       127          512 
    csa_tree_PUs_0__U_F2_U_S1_add_18_10_groupi  csa_tree_PUs_0__U_F2_U_S1_add_18_10_group_2      95        333       176          509 
    csa_tree_PUs_4__U_F2_U_S1_add_18_10_groupi  csa_tree_PUs_4__U_F2_U_S1_add_18_10_group_2      96        323       178          501 
    csa_tree_PUs_3__U_F2_U_S1_add_18_10_groupi  csa_tree_PUs_3__U_F2_U_S1_add_18_10_group_2      96        323       178          501 
    csa_tree_PUs_2__U_F2_U_S1_add_18_10_groupi  csa_tree_PUs_2__U_F2_U_S1_add_18_10_group_2      96        323       178          501 
    csa_tree_PUs_4__U_F2_U_S21_add_18_10_groupi csa_tree_PUs_4__U_F2_U_S21_add_18_10_group_2     96        320       178          498 
    csa_tree_PUs_3__U_F2_U_S21_add_18_10_groupi csa_tree_PUs_3__U_F2_U_S21_add_18_10_group_2     96        320       178          498 
    csa_tree_PUs_2__U_F2_U_S21_add_18_10_groupi csa_tree_PUs_2__U_F2_U_S21_add_18_10_group_2     96        320       178          498 
    csa_tree_PUs_1__U_F2_U_S21_add_18_10_groupi csa_tree_PUs_1__U_F2_U_S21_add_18_10_group_2     96        320       178          498 
    PUs[0].U_F2_U_0_U_S2_add_18_10              add_signed_558_769                               77        340       131          470 
    PUs[3].U_F2_U_0_U_S2_add_18_10              add_signed_558_772                               78        334       132          466 
    PUs[4].U_F2_U_1_U_S2_add_18_10              add_signed_558_774                               77        333       131          464 
    PUs[4].U_F2_U_0_U_S2_add_18_10              add_signed_558_773                               77        329       130          459 
