============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 21 2019  03:38:47 pm
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
FME_PIPE_2                     5623    47.185 13179.059  7736.176      20915.235         20962.420 
  U_inter                      3876    35.493  6028.745  4107.008      10135.753         10171.246 
    PUs[0].U_F2_U_1             256     2.768   190.868   259.543        450.411           453.179 
      addinc_U_S0_add_18_16      82     1.117    74.360   107.445        181.804           182.922 
      addinc_U_S1_add_18_16      84     0.925    60.840    75.444        136.284           137.210 
      U_S2_add_18_10             78     0.622    49.260    61.564        110.824           111.445 
    PUs[2].U_F2_U_1             257     2.730   176.558   243.180        419.738           422.469 
      addinc_U_S0_add_18_16      82     1.054    65.285    96.446        161.731           162.784 
      addinc_U_S1_add_18_16      84     0.942    58.323    72.745        131.068           132.010 
      U_S2_add_18_10             79     0.627    46.986    59.718        106.704           107.331 
    PUs[1].U_F2_U_1             259     2.690   182.734   248.243        430.977           433.668 
      addinc_U_S0_add_18_16      84     1.070    67.778    97.366        165.144           166.214 
      addinc_U_S1_add_18_16      85     0.910    59.262    74.729        133.991           134.902 
      U_S2_add_18_10             78     0.606    49.508    61.523        111.032           111.638 
    PUs[3].U_F2_U_1             252     2.675   186.080   252.982        439.062           441.736 
      addinc_U_S0_add_18_16      81     1.084    71.039   102.344        173.383           174.467 
      addinc_U_S1_add_18_16      82     0.896    62.797    77.367        140.164           141.060 
      U_S2_add_18_10             77     0.588    45.890    57.775        103.665           104.253 
    addinc_PUs.._S0_add_18_16    83     1.079    66.327    98.290        164.617           165.696 
    addinc_PUs.._S0_add_18_16    84     1.075    71.660   104.567        176.227           177.302 
    addinc_PUs.._S0_add_18_16    85     1.057    66.450    96.485        162.936           163.992 
    addinc_PUs.._S0_add_18_16    82     1.033    67.624   103.258        170.881           171.914 
    addinc_PUs.._S0_add_18_16    82     0.993    72.122   106.546        178.668           179.661 
    addinc_PUs.._S0_add_18_16    83     0.968    65.631    99.246        164.877           165.845 
    addinc_PUs.._S1_add_18_16    82     0.921    58.530    74.932        133.463           134.383 
    addinc_PUs.._S1_add_18_16    83     0.914    55.680    69.390        125.071           125.984 
    addinc_PUs.._S1_add_18_16    82     0.885    57.896    73.510        131.406           132.291 
    addinc_PUs.._S1_add_18_16    81     0.885    61.721    75.699        137.420           138.305 
    addinc_PUs.._S1_add_18_16    77     0.861    62.921    76.233        139.154           140.015 
    addinc_PUs.._S1_add_18_16    78     0.860    59.137    73.753        132.890           133.750 
    csa_tree_P.._18_10_groupi    95     0.645    94.974   141.917        236.892           237.537 
    csa_tree_P.._18_10_groupi    95     0.639    99.066   148.609        247.675           248.314 
    PUs[0].U_F.._S2_add_18_10    77     0.627    52.067    65.976        118.043           118.670 
    PUs[3].U_F.._S2_add_18_10    78     0.619    45.831    58.949        104.779           105.398 
    PUs[4].U_F.._S2_add_18_10    77     0.613    56.779    70.574        127.353           127.966 
    PUs[2].U_F.._S2_add_18_10    77     0.598    48.982    61.005        109.987           110.585 
    PUs[4].U_F.._S2_add_18_10    77     0.596    46.014    57.826        103.841           104.437 
    PUs[1].U_F.._S2_add_18_10    77     0.595    46.438    58.568        105.005           105.601 
    csa_tree_P.._18_10_groupi    95     0.565    92.269   134.450        226.719           227.284 
    csa_tree_P.._18_10_groupi    96     0.492    87.208   114.604        201.812           202.305 
    csa_tree_P.._18_10_groupi    96     0.491    86.820   114.661        201.481           201.972 
    csa_tree_P.._18_10_groupi    96     0.489    82.656   108.850        191.506           191.995 
    csa_tree_P.._18_10_groupi    96     0.488    82.012   109.415        191.427           191.915 
    csa_tree_P.._18_10_groupi    96     0.473    79.686   113.101        192.787           193.261 
    csa_tree_P.._18_10_groupi    96     0.472    76.957   109.013        185.971           186.442 
    csa_tree_P.._18_10_groupi    96     0.470    80.572   114.898        195.469           195.940 
    PUs[3].U_F2_U_p4             16     0.159   166.652    14.902        181.554           181.712 
    PUs[4].U_F2_U_p1             16     0.159   166.652    14.874        181.526           181.684 
    PUs[0].U_F2_U_p1             16     0.159   166.338    17.107        183.445           183.603 
    PUs[0].U_F2_U_p4             16     0.158   166.538    16.201        182.739           182.898 
    PUs[1].U_F2_U_p1             16     0.158   166.536    17.375        183.911           184.069 
    PUs[1].U_F2_U_p4             16     0.158   165.270    14.397        179.667           179.826 
    PUs[2].U_F2_U_p1             16     0.158   165.270    14.497        179.767           179.925 
    PUs[2].U_F2_U_p4             16     0.158   164.233    14.086        178.319           178.478 
    PUs[3].U_F2_U_p1             16     0.158   164.233    14.103        178.336           178.494 
    PUs[4].U_F2_U_p4             16     0.158   166.509    15.101        181.610           181.768 
    PUs[1].U_F2_U_p2             15     0.139   142.467    13.317        155.784           155.923 
    PUs[2].U_F2_U_p3             15     0.139   142.468    13.514        155.983           156.121 
    PUs[3].U_F2_U_p2             15     0.139   143.526    12.019        155.545           155.684 
    PUs[4].U_F2_U_p3             15     0.139   143.529    13.938        157.467           157.606 
    PUs[0].U_F2_U_p2             15     0.139   144.452    12.915        157.367           157.506 
    PUs[1].U_F2_U_p3             15     0.139   144.454    14.314        158.768           158.907 
    PUs[2].U_F2_U_p2             15     0.139   142.538    11.807        154.345           154.483 
    PUs[3].U_F2_U_p3             15     0.139   142.540    13.753        156.293           156.432 
    PUs[0].U_F2_U_p3             15     0.139   143.606    15.152        158.758           158.897 
    PUs[4].U_F2_U_p2             15     0.139   142.941    12.019        154.960           155.099 
    PUs[0].U_F2_U_S10             3     0.017     2.748     2.283          5.031             5.049 
      addinc_add_41_28            3     0.017     2.748     2.283          5.031             5.049 
    PUs[1].U_F2_U_S10             3     0.017     2.797     2.325          5.122             5.139 
      addinc_add_41_28            3     0.017     2.797     2.325          5.122             5.139 
    PUs[2].U_F2_U_S10             3     0.017     2.812     2.375          5.188             5.205 
      addinc_add_41_28            3     0.017     2.812     2.375          5.188             5.205 
    PUs[4].U_F2_U_S10             3     0.017     3.002     2.413          5.415             5.432 
      addinc_add_41_28            3     0.017     3.002     2.413          5.415             5.432 
    PUs[3].U_F2_U_S10             3     0.017     2.915     2.522          5.436             5.454 
      addinc_add_41_28            3     0.017     2.915     2.522          5.436             5.454 
  U_buffer                     1167     6.422  5178.633  1586.974       6765.607          6772.029 
  U_crtl                         93     0.568   229.547    56.833        286.379           286.948 
    inc_add_722_29                9     0.041     0.968     0.806          1.774             1.815 
    inc_add_692_29                8     0.036     0.973     0.813          1.786             1.822 
    inc_add_707_29                8     0.036     0.454     0.381          0.835             0.871 
    lt_627_18                     2     0.013     0.000     0.000          0.000             0.013 
    lt_620_18                     2     0.012     0.086     0.067          0.153             0.165 
    lt_634_18                     2     0.011     0.123     0.072          0.194             0.206 
  clipping[3].U_clip             12     0.048     8.082     8.116         16.198            16.246 
    gte_489_34                    4     0.009     2.143     4.544          6.687             6.696 
  clipping[2].U_clip             12     0.048     8.623     8.591         17.213            17.261 
    gte_489_34                    4     0.009     2.087     4.648          6.735             6.745 
  clipping[0].U_clip             12     0.048     8.499     8.267         16.766            16.814 
