============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  04:49:08 am
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                                      Module                   Cells  Cell Area  Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------------------------
FME_PIPE_2                                                                                137552     904619    344386      1249005 
  U_inter                                        interpolation_bit_width10                 31304     152835     59785       212621 
    PUs[43].U_F2_U_0                             A0_bit_width10_43                           133        675       231          906 
    PUs[57].U_F2_U_0                             A0_bit_width10_57                           133        673       231          904 
    PUs[45].U_F2_U_0                             A0_bit_width10_45                           132        674       230          904 
    PUs[21].U_F2_U_0                             A0_bit_width10_21                           133        670       231          901 
    PUs[14].U_F2_U_0                             A0_bit_width10_14                           133        669       231          900 
    PUs[33].U_F2_U_0                             A0_bit_width10_33                           133        668       231          899 
    PUs[42].U_F2_U_0                             A0_bit_width10_42                           132        668       230          898 
    PUs[28].U_F2_U_0                             A0_bit_width10_28                           132        668       230          898 
    PUs[13].U_F2_U_0                             A0_bit_width10_13                           132        668       230          898 
    PUs[55].U_F2_U_0                             A0_bit_width10_55                           133        666       231          897 
    PUs[44].U_F2_U_0                             A0_bit_width10_44                           133        666       231          897 
    PUs[32].U_F2_U_0                             A0_bit_width10_32                           133        666       231          897 
    PUs[29].U_F2_U_0                             A0_bit_width10_29                           133        666       231          897 
    PUs[51].U_F2_U_0                             A0_bit_width10_51                           132        667       230          897 
    PUs[12].U_F2_U_0                             A0_bit_width10_12                           132        667       230          897 
    PUs[24].U_F2_U_0                             A0_bit_width10_24                           133        666       231          897 
    PUs[7].U_F2_U_0                              A0_bit_width10_7                            132        667       230          896 
    PUs[35].U_F2_U_0                             A0_bit_width10_35                           133        665       231          896 
    PUs[64].U_F2_U_0                             A0_bit_width10_64                           132        666       230          896 
    PUs[56].U_F2_U_0                             A0_bit_width10_56                           132        666       230          895 
    PUs[36].U_F2_U_0                             A0_bit_width10_36                           132        666       230          895 
    PUs[52].U_F2_U_0                             A0_bit_width10_52                           133        664       231          895 
    PUs[48].U_F2_U_0                             A0_bit_width10_48                           133        664       231          895 
    PUs[15].U_F2_U_0                             A0_bit_width10_15                           133        664       231          895 
    PUs[63].U_F2_U_0                             A0_bit_width10_63                           132        665       230          895 
    PUs[50].U_F2_U_0                             A0_bit_width10_50                           132        665       230          895 
    PUs[62].U_F2_U_0                             A0_bit_width10_62                           133        664       231          895 
    PUs[54].U_F2_U_0                             A0_bit_width10_54                           132        665       230          894 
    PUs[17].U_F2_U_0                             A0_bit_width10_17                           132        665       230          894 
    PUs[49].U_F2_U_0                             A0_bit_width10_49                           132        664       230          894 
    PUs[8].U_F2_U_0                              A0_bit_width10_8                            132        664       230          894 
    PUs[40].U_F2_U_0                             A0_bit_width10_40                           133        662       231          893 
    PUs[47].U_F2_U_0                             A0_bit_width10_47                           133        662       231          893 
    PUs[16].U_F2_U_0                             A0_bit_width10_16                           133        662       231          893 
    PUs[38].U_F2_U_0                             A0_bit_width10_38                           133        661       231          892 
    PUs[59].U_F2_U_0                             A0_bit_width10_59                           132        662       230          892 
    PUs[25].U_F2_U_0                             A0_bit_width10_25                           132        662       230          892 
    PUs[58].U_F2_U_0                             A0_bit_width10_58                           133        661       231          892 
    PUs[41].U_F2_U_0                             A0_bit_width10_41                           133        661       231          892 
    PUs[30].U_F2_U_0                             A0_bit_width10_30                           133        660       231          891 
    PUs[60].U_F2_U_0                             A0_bit_width10_60                           133        660       231          891 
    PUs[53].U_F2_U_0                             A0_bit_width10_53                           133        660       231          891 
    PUs[37].U_F2_U_0                             A0_bit_width10_37                           133        660       231          891 
    PUs[27].U_F2_U_0                             A0_bit_width10_27                           133        660       231          891 
    PUs[13].U_F2_U_1                             A1_bit_width10_13                           129        669       222          891 
    PUs[22].U_F2_U_0                             A0_bit_width10_22                           133        659       231          890 
    PUs[23].U_F2_U_0                             A0_bit_width10_23                           132        660       230          890 
    PUs[10].U_F2_U_0                             A0_bit_width10_10                           133        658       231          889 
    PUs[6].U_F2_U_1                              A1_bit_width10_6                            129        668       222          889 
    PUs[61].U_F2_U_0                             A0_bit_width10_61                           132        659       230          889 
    PUs[11].U_F2_U_0                             A0_bit_width10_11                           132        659       230          889 
    PUs[6].U_F2_U_0                              A0_bit_width10_6                            133        658       231          889 
    PUs[36].U_F2_U_1                             A1_bit_width10_36                           129        667       222          888 
    PUs[4].U_F2_U_0                              A0_bit_width10_4                            132        658       230          888 
    PUs[31].U_F2_U_0                             A0_bit_width10_31                           132        658       230          887 
    PUs[26].U_F2_U_0                             A0_bit_width10_26                           132        658       230          887 
    PUs[30].U_F2_U_1                             A1_bit_width10_30                           129        666       222          887 
    PUs[2].U_F2_U_0                              A0_bit_width10_2                            132        657       230          887 
    PUs[51].U_F2_U_1                             A1_bit_width10_51                           129        664       222          886 
    PUs[46].U_F2_U_1                             A1_bit_width10_46                           129        664       222          886 
    PUs[34].U_F2_U_0                             A0_bit_width10_34                           132        656       230          885 
    PUs[5].U_F2_U_0                              A0_bit_width10_5                            132        656       230          885 
    PUs[18].U_F2_U_0                             A0_bit_width10_18                           132        655       230          885 
    PUs[62].U_F2_U_1                             A1_bit_width10_62                           129        663       222          885 
    PUs[59].U_F2_U_1                             A1_bit_width10_59                           129        663       222          885 
    PUs[42].U_F2_U_1                             A1_bit_width10_42                           129        663       222          885 
    PUs[39].U_F2_U_0                             A0_bit_width10_39                           132        655       230          884 
    PUs[1].U_F2_U_0                              A0_bit_width10_1                            132        654       230          884 
    PUs[56].U_F2_U_1                             A1_bit_width10_56                           129        662       222          884 
    PUs[55].U_F2_U_1                             A1_bit_width10_55                           129        662       222          884 
    PUs[48].U_F2_U_1                             A1_bit_width10_48                           129        662       222          884 
    PUs[7].U_F2_U_1                              A1_bit_width10_7                            129        662       222          884 
    PUs[2].U_F2_U_1                              A1_bit_width10_2                            129        662       222          884 
    PUs[3].U_F2_U_0                              A0_bit_width10_3                            132        654       230          883 
    PUs[50].U_F2_U_1                             A1_bit_width10_50                           129        661       222          883 
    PUs[39].U_F2_U_1                             A1_bit_width10_39                           129        660       222          882 
    PUs[26].U_F2_U_1                             A1_bit_width10_26                           129        660       222          882 
    PUs[9].U_F2_U_0                              A0_bit_width10_9                            132        652       230          882 
    PUs[31].U_F2_U_1                             A1_bit_width10_31                           129        660       222          881 
    PUs[20].U_F2_U_0                             A0_bit_width10_20                           132        652       230          881 
    PUs[19].U_F2_U_0                             A0_bit_width10_19                           133        649       231          880 
    PUs[21].U_F2_U_1                             A1_bit_width10_21                           129        659       222          880 
    PUs[12].U_F2_U_1                             A1_bit_width10_12                           129        658       222          880 
    PUs[46].U_F2_U_0                             A0_bit_width10_46                           132        650       230          880 
    PUs[63].U_F2_U_1                             A1_bit_width10_63                           129        658       222          879 
