============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  04:49:44 am
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library     
---------------------------------------------------------------------------------
HS65_LSS_XNOR2X12           1       6.760      0.015       1.163    CORE65LPSVT  
HS65_LSS_XNOR2X6         1722    7163.520     11.950    1445.662    CORE65LPSVT  
HS65_LSS_XOR2X6           819    3407.040      4.756     831.632    CORE65LPSVT  
HS65_LSS_XOR3X2           128     998.400      0.724     103.084    CORE65LPSVT  
HS65_LS_AND2ABX18           2       8.320      0.016       0.000    CORE65LPSVT  
HS65_LS_AND2ABX27           1       5.720      0.012       0.000    CORE65LPSVT  
HS65_LS_AND2ABX9           13      47.320      0.053       0.189    CORE65LPSVT  
HS65_LS_AND2X18            70     254.800      0.560      65.692    CORE65LPSVT  
HS65_LS_AND2X27             3      17.160      0.037       5.015    CORE65LPSVT  
HS65_LS_AND2X35             1       6.240      0.026       3.177    CORE65LPSVT  
HS65_LS_AND2X4           1050    2730.000      2.286     333.760    CORE65LPSVT  
HS65_LS_AND2X9            392    1223.040      1.576     209.894    CORE65LPSVT  
HS65_LS_AND3X18            21      98.280      0.330      30.900    CORE65LPSVT  
HS65_LS_AO112X9            21      87.360      0.058      13.456    CORE65LPSVT  
HS65_LS_AO12X9             65     236.600      0.305      71.718    CORE65LPSVT  
HS65_LS_AO212X4          4346   20339.280     17.061    4758.798    CORE65LPSVT  
HS65_LS_AO222X4         32054  183348.880     92.093   33386.110    CORE65LPSVT  
HS65_LS_AO22X9           5808   24161.280     27.011    7052.101    CORE65LPSVT  
HS65_LS_AOI12X12          131     681.200      1.265      94.810    CORE65LPSVT  
HS65_LS_AOI12X17          279    1886.040      4.155     301.241    CORE65LPSVT  
HS65_LS_AOI12X2           121     314.600      0.158      38.349    CORE65LPSVT  
HS65_LS_AOI12X23          122    1078.480      2.882     179.552    CORE65LPSVT  
