============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  07:44:16 pm
  Module:                 INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                             Module                 Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------
INTER_4                                                                    6202      40904     15817        56721 
  gen_filter[16].U_S0               filter_4_bit_width10_16                 323       1967       702         2668 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_8      51        367       104          470 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_8       51        367       104          470 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_8      36        254        73          328 
    csa_tree_U_S20_add_18_10_groupi csa_tree_U_S20_add_18_10_group_27_8      28        137        45          182 
    csa_tree_U_S0_add_18_10_groupi  csa_tree_U_S0_add_18_10_group_29_8       28        137        45          182 
    addinc_U_S22_add_18_16          add_signed_carry_28_1339                 16        108        20          128 
    addinc_U_S2_add_18_16           add_signed_carry_28_1338                 16        108        20          128 
    U_S11_add_41_16                 add_unsigned_232_1477                    10         89        12          102 
    U_2_U_S1_add_18_10              add_signed_253_1388                       9         80        11           91 
    U_2_U_S0_add_18_10              add_signed_254_1452                       9         80        11           91 
    U_1_U_S1_add_18_10              add_signed_253_1387                       9         80        11           91 
    U_1_U_S0_add_18_10              add_signed_254_1453                       9         80        11           91 
  gen_filter[15].U_S0               filter_4_bit_width10_15                 323       1967       702         2668 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_7      51        367       104          470 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_7       51        367       104          470 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_7      36        254        73          328 
    csa_tree_U_S20_add_18_10_groupi csa_tree_U_S20_add_18_10_group_27_7      28        137        45          182 
    csa_tree_U_S0_add_18_10_groupi  csa_tree_U_S0_add_18_10_group_29_7       28        137        45          182 
    addinc_U_S22_add_18_16          add_signed_carry_28_1337                 16        108        20          128 
    addinc_U_S2_add_18_16           add_signed_carry_28_1336                 16        108        20          128 
    U_S11_add_41_16                 add_unsigned_232_1478                    10         89        12          102 
    U_2_U_S1_add_18_10              add_signed_253_1390                       9         80        11           91 
    U_2_U_S0_add_18_10              add_signed_254_1454                       9         80        11           91 
    U_1_U_S1_add_18_10              add_signed_253_1389                       9         80        11           91 
    U_1_U_S0_add_18_10              add_signed_254_1455                       9         80        11           91 
  gen_filter[14].U_S0               filter_4_bit_width10_14                 323       1967       702         2668 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_6      51        367       104          470 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_6       51        367       104          470 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_6      36        254        73          328 
    csa_tree_U_S20_add_18_10_groupi csa_tree_U_S20_add_18_10_group_27_6      28        137        45          182 
    csa_tree_U_S0_add_18_10_groupi  csa_tree_U_S0_add_18_10_group_29_6       28        137        45          182 
    addinc_U_S22_add_18_16          add_signed_carry_28_1335                 16        108        20          128 
    addinc_U_S2_add_18_16           add_signed_carry_28_1334                 16        108        20          128 
    U_S11_add_41_16                 add_unsigned_232_1479                    10         89        12          102 
    U_2_U_S1_add_18_10              add_signed_253_1392                       9         80        11           91 
    U_2_U_S0_add_18_10              add_signed_254_1456                       9         80        11           91 
    U_1_U_S1_add_18_10              add_signed_253_1391                       9         80        11           91 
    U_1_U_S0_add_18_10              add_signed_254_1457                       9         80        11           91 
  gen_filter[13].U_S0               filter_4_bit_width10_13                 323       1967       702         2668 
    csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_5      51        367       104          470 
    csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_5       51        367       104          470 
