============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  01:10:51 pm
  Module:                 INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         
       Gate         Instances    Area        Library    
--------------------------------------------------------
HS65_LSS_XNOR2X12          80    540.800    CORE65LPSVT 
HS65_LSS_XNOR2X6          105    436.800    CORE65LPSVT 
HS65_LSS_XOR2X6            60    249.600    CORE65LPSVT 
HS65_LS_AND2X18            50    182.000    CORE65LPSVT 
HS65_LS_AND2X27            20    114.400    CORE65LPSVT 
HS65_LS_AND2X4             15     39.000    CORE65LPSVT 
HS65_LS_AND2X9             50    156.000    CORE65LPSVT 
HS65_LS_AOI112X4           10     36.400    CORE65LPSVT 
HS65_LS_AOI12X17            5     33.800    CORE65LPSVT 
HS65_LS_AOI12X6            25     78.000    CORE65LPSVT 
HS65_LS_AOI21X12            5     26.000    CORE65LPSVT 
HS65_LS_BFX106              8     95.680    CORE65LPSVT 
HS65_LS_BFX18              23     71.760    CORE65LPSVT 
HS65_LS_BFX27              33    120.120    CORE65LPSVT 
HS65_LS_BFX35              10     52.000    CORE65LPSVT 
HS65_LS_BFX44               5     28.600    CORE65LPSVT 
HS65_LS_BFX53               4     24.960    CORE65LPSVT 
HS65_LS_BFX71               7     58.240    CORE65LPSVT 
HS65_LS_BFX9                3      6.240    CORE65LPSVT 
HS65_LS_CB4I6X18           10     52.000    CORE65LPSVT 
HS65_LS_CBI4I1X11           5     31.200    CORE65LPSVT 
HS65_LS_CNIVX21             6     18.720    CORE65LPSVT 
HS65_LS_CNIVX27             5     18.200    CORE65LPSVT 
HS65_LS_CNIVX34            20     93.600    CORE65LPSVT 
HS65_LS_CNIVX7             20     31.200    CORE65LPSVT 
HS65_LS_DFPRQX18           24    262.080    CORE65LPSVT 
HS65_LS_DFPRQX27            2     23.920    CORE65LPSVT 
HS65_LS_DFPRQX4           150   1560.000    CORE65LPSVT 
HS65_LS_DFPRQX9            54    561.600    CORE65LPSVT 
HS65_LS_FA1X18             95   1333.800    CORE65LPSVT 
HS65_LS_FA1X27            180   3837.600    CORE65LPSVT 
HS65_LS_FA1X4             100    936.000    CORE65LPSVT 
HS65_LS_FA1X9             100   1092.000    CORE65LPSVT 
HS65_LS_HA1X18              5     36.400    CORE65LPSVT 
HS65_LS_HA1X4              65    338.000    CORE65LPSVT 
HS65_LS_HA1X9              35    218.400    CORE65LPSVT 
HS65_LS_IVX18             312    648.960    CORE65LPSVT 
HS65_LS_IVX2                1      1.560    CORE65LPSVT 
HS65_LS_IVX27              66    205.920    CORE65LPSVT 
HS65_LS_IVX35              27     98.280    CORE65LPSVT 
HS65_LS_IVX44               5     20.800    CORE65LPSVT 
HS65_LS_IVX53               5     26.000    CORE65LPSVT 
HS65_LS_IVX9              348    542.880    CORE65LPSVT 
HS65_LS_MUX21I1X18         10    104.000    CORE65LPSVT 
HS65_LS_MUX21X18           20    124.800    CORE65LPSVT 
HS65_LS_MUXI21X10           5     41.600    CORE65LPSVT 
HS65_LS_NAND2AX14          55    228.800    CORE65LPSVT 
HS65_LS_NAND2AX21          25    143.000    CORE65LPSVT 
HS65_LS_NAND2AX29          20    135.200    CORE65LPSVT 
HS65_LS_NAND2AX7           45    140.400    CORE65LPSVT 
HS65_LS_NAND2X14           75    273.000    CORE65LPSVT 
HS65_LS_NAND2X21           30    156.000    CORE65LPSVT 
HS65_LS_NAND2X29           10     62.400    CORE65LPSVT 
HS65_LS_NAND2X57           10    119.600    CORE65LPSVT 
HS65_LS_NAND2X7           260    540.800    CORE65LPSVT 
HS65_LS_NAND3AX13          10     57.200    CORE65LPSVT 
HS65_LS_NAND3X19            5     33.800    CORE65LPSVT 
HS65_LS_NOR2AX13           55    228.800    CORE65LPSVT 
HS65_LS_NOR2AX19           15     85.800    CORE65LPSVT 
HS65_LS_NOR2AX3           125    325.000    CORE65LPSVT 
HS65_LS_NOR2AX6             5     15.600    CORE65LPSVT 
HS65_LS_NOR2X13            70    254.800    CORE65LPSVT 
HS65_LS_NOR2X19            35    182.000    CORE65LPSVT 
HS65_LS_NOR2X25            20    124.800    CORE65LPSVT 
HS65_LS_NOR2X38            30    265.200    CORE65LPSVT 
HS65_LS_NOR2X6            235    488.800    CORE65LPSVT 
HS65_LS_NOR3X26             5     57.200    CORE65LPSVT 
HS65_LS_OA112X18            5     23.400    CORE65LPSVT 
HS65_LS_OA12X18            15     62.400    CORE65LPSVT 
HS65_LS_OA12X9             50    182.000    CORE65LPSVT 
HS65_LS_OA22X9              5     23.400    CORE65LPSVT 
HS65_LS_OAI112X5           10     36.400    CORE65LPSVT 
