============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  03:23:18 pm
  Module:                 INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         
       Gate        Instances     Area        Library    
--------------------------------------------------------
HS65_LSS_XNOR2X12       1006    6800.560    CORE65LPSVT 
HS65_LSS_XNOR2X18          3      31.200    CORE65LPSVT 
HS65_LSS_XNOR2X6         830    3452.800    CORE65LPSVT 
HS65_LSS_XNOR3X12         27     659.880    CORE65LPSVT 
HS65_LSS_XNOR3X4          42     414.960    CORE65LPSVT 
HS65_LSS_XNOR3X8          60    1123.200    CORE65LPSVT 
HS65_LSS_XOR2X12         107     667.680    CORE65LPSVT 
HS65_LSS_XOR2X3          129     536.640    CORE65LPSVT 
HS65_LSS_XOR2X6           81     336.960    CORE65LPSVT 
HS65_LSS_XOR3X12           1      25.480    CORE65LPSVT 
HS65_LS_AND2X18          199     724.360    CORE65LPSVT 
HS65_LS_AND2X27           88     503.360    CORE65LPSVT 
HS65_LS_AND2X35           77     480.480    CORE65LPSVT 
HS65_LS_AND2X4           827    2150.200    CORE65LPSVT 
HS65_LS_AND2X9           191     595.920    CORE65LPSVT 
HS65_LS_AND3X9             2       7.280    CORE65LPSVT 
HS65_LS_AO112X18          32     149.760    CORE65LPSVT 
HS65_LS_AO112X9          224     931.840    CORE65LPSVT 
HS65_LS_AO12X18          148     615.680    CORE65LPSVT 
HS65_LS_AO12X9           489    1779.960    CORE65LPSVT 
HS65_LS_AOI12X12         216    1123.200    CORE65LPSVT 
HS65_LS_AOI12X17          35     236.600    CORE65LPSVT 
HS65_LS_AOI12X23           3      26.520    CORE65LPSVT 
HS65_LS_AOI12X6            7      21.840    CORE65LPSVT 
HS65_LS_AOI13X10           5      31.200    CORE65LPSVT 
HS65_LS_AOI13X15          29     256.360    CORE65LPSVT 
HS65_LS_AOI13X5          130     473.200    CORE65LPSVT 
HS65_LS_AOI21X17           7      47.320    CORE65LPSVT 
