============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  01:11:35 pm
  Module:                 FME_PIPE_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
--------------------------------------------------------------------------------
HS65_LSS_XNOR2X12          58     392.080      0.836      88.275    CORE65LPSVT 
HS65_LSS_XNOR2X18          66     686.400      1.577      54.280    CORE65LPSVT 
HS65_LSS_XNOR2X6         1189    4946.240      8.216     928.956    CORE65LPSVT 
HS65_LSS_XOR2X6           566    2354.560      3.166     456.305    CORE65LPSVT 
HS65_LS_AND2ABX18           5      20.800      0.044       1.284    CORE65LPSVT 
HS65_LS_AND2ABX27          24     137.280      0.331      37.294    CORE65LPSVT 
HS65_LS_AND2ABX35          17     106.080      0.326      38.301    CORE65LPSVT 
HS65_LS_AND2ABX9            1       3.640      0.005       0.154    CORE65LPSVT 
HS65_LS_AND2X18           276    1004.640      2.828     411.422    CORE65LPSVT 
HS65_LS_AND2X27           156     892.320      2.604     247.843    CORE65LPSVT 
HS65_LS_AND2X35            68     424.320      1.136     148.838    CORE65LPSVT 
HS65_LS_AND2X4           3624    9422.400      9.401    2312.497    CORE65LPSVT 
HS65_LS_AND2X9            280     873.600      1.158     204.187    CORE65LPSVT 
HS65_LS_AND3X18             3      14.040      0.042       4.373    CORE65LPSVT 
HS65_LS_AND3X27             2      13.520      0.043       3.859    CORE65LPSVT 
HS65_LS_AND3X35            28     218.400      0.852      74.801    CORE65LPSVT 
HS65_LS_AND3X9             38     138.320      0.124      11.374    CORE65LPSVT 
HS65_LS_AO112X18           34     159.120      0.360      33.310    CORE65LPSVT 
HS65_LS_AO12X18           156     648.960      1.594     161.942    CORE65LPSVT 
HS65_LS_AO12X27            13      87.880      0.215      23.555    CORE65LPSVT 
HS65_LS_AO12X9             37     134.680      0.195      15.116    CORE65LPSVT 
HS65_LS_AO212X4            36     168.480      0.162      16.347    CORE65LPSVT 
HS65_LS_AO311X9            33     154.440      0.157      27.913    CORE65LPSVT 
HS65_LS_AO312X9            34     194.480      0.152      19.647    CORE65LPSVT 
HS65_LS_AOI12X12          145     754.000      1.110     193.528    CORE65LPSVT 
HS65_LS_AOI12X17          239    1615.640      3.298     361.420    CORE65LPSVT 
HS65_LS_AOI12X2            55     143.000      0.079      13.751    CORE65LPSVT 
HS65_LS_AOI12X23           73     645.320      1.439     117.405    CORE65LPSVT 
HS65_LS_AOI12X35           92    1196.000      3.064     248.541    CORE65LPSVT 
HS65_LS_AOI12X6           302     942.240      1.213     157.264    CORE65LPSVT 
HS65_LS_AOI12X9             2      10.400      0.011       1.394    CORE65LPSVT 
HS65_LS_AOI13X5            36     131.040      0.221      15.237    CORE65LPSVT 
HS65_LS_AOI21X12           79     410.800      0.740      63.254    CORE65LPSVT 
HS65_LS_AOI21X17           90     608.400      1.198     102.136    CORE65LPSVT 
HS65_LS_AOI21X23           34     300.560      0.564      40.578    CORE65LPSVT 
HS65_LS_AOI21X35           16     208.000      0.419      32.772    CORE65LPSVT 
HS65_LS_AOI21X46           38     652.080      1.315      93.441    CORE65LPSVT 
HS65_LS_AOI21X9            35     182.000      0.190      18.964    CORE65LPSVT 
