============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2019  03:45:03 pm
  Module:                 FME_PIPE_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
FME_PIPE_4                     8807    82.214 22067.819 14049.867      36117.686         36199.900 
  U_inter                      6128    61.957 12324.894  8161.319      20486.212         20548.169 
    csa_tree_P.._18_10_groupi   121     2.092   301.417   365.634        667.050           669.142 
    csa_tree_P.._18_10_groupi   120     2.041   303.214   359.599        662.812           664.854 
    csa_tree_P.._18_10_groupi   120     2.032   302.495   360.240        662.736           664.768 
    addinc_PUs.._S2_add_18_16   106     1.608   149.448   158.352        307.800           309.408 
    addinc_PUs..S22_add_18_16   106     1.592   156.831   168.964        325.795           327.387 
    addinc_PUs.._S2_add_18_16   106     1.577   149.673   164.851        314.525           316.102 
    addinc_PUs..S22_add_18_16   106     1.575   150.228   162.694        312.922           314.497 
    addinc_PUs.._S2_add_18_16   106     1.572   149.738   161.071        310.809           312.381 
    addinc_PUs..S22_add_18_16   106     1.571   143.947   155.075        299.023           300.593 
    addinc_PUs..S22_add_18_16   106     1.571   150.488   163.152        313.640           315.211 
    addinc_PUs..S22_add_18_16   106     1.570   153.047   163.497        316.544           318.114 
    addinc_PUs.._S2_add_18_16   106     1.570   157.481   170.911        328.392           329.962 
    addinc_PUs.._S2_add_18_16   106     1.567   144.476   153.635        298.111           299.679 
    csa_tree_P.._18_10_groupi   117     1.501   234.247   279.296        513.543           515.044 
    csa_tree_P.._18_10_groupi   117     1.500   229.759   273.907        503.665           505.166 
    csa_tree_P.._18_10_groupi   117     1.499   231.272   278.680        509.953           511.451 
    csa_tree_P.._18_10_groupi   117     1.498   233.709   282.522        516.231           517.728 
    csa_tree_P.._18_10_groupi   117     1.493   236.469   282.739        519.208           520.701 
    csa_tree_P.._18_10_groupi   117     1.491   232.012   277.023        509.035           510.527 
    csa_tree_P.._18_10_groupi   117     1.490   240.126   288.180        528.306           529.796 
    PUs[3].U_F.._S0_add_18_10    62     0.932    57.498    69.258        126.756           127.689 
    PUs[2].U_F.._S0_add_18_10    62     0.916    59.452    70.949        130.401           131.317 
    PUs[0].U_F.._S0_add_18_10    62     0.899    63.028    77.842        140.871           141.769 
    PUs[1].U_F.._S0_add_18_10    62     0.894    56.090    73.335        129.425           130.319 
    PUs[4].U_F.._S0_add_18_10    62     0.871    56.702    62.707        119.409           120.280 
    PUs[0].U_F.._S0_add_18_10    62     0.863    53.765    61.853        115.618           116.481 
    csa_tree_P.._18_10_groupi    94     0.770   106.514   170.194        276.708           277.478 
    csa_tree_P.._18_10_groupi    94     0.767   109.090   173.206        282.296           283.063 
    addinc_PUs.._S2_add_18_16    94     0.695    40.664    57.325         97.989            98.684 
    addinc_PUs.._S2_add_18_16    94     0.693    46.634    67.126        113.760           114.453 
    addinc_PUs.._S2_add_18_16    93     0.682    45.405    64.486        109.891           110.573 
    addinc_PUs.._S2_add_18_16    93     0.677    43.332    59.821        103.153           103.830 
    addinc_PUs.._S2_add_18_16    94     0.659    44.080    61.314        105.394           106.053 
    addinc_PUs.._S2_add_18_16    93     0.655    40.385    57.039         97.425            98.079 
    csa_tree_P.._18_10_groupi    96     0.588    97.915   129.095        227.010           227.599 
    csa_tree_P.._18_10_groupi    96     0.587    90.116   118.900        209.016           209.603 
    csa_tree_P.._18_10_groupi    96     0.587    93.315   125.483        218.798           219.384 
    addinc_PUs.._S0_add_18_16    67     0.505    31.195    41.282         72.477            72.982 
    addinc_PUs.._S0_add_18_16    67     0.503    35.139    47.227         82.366            82.870 
    addinc_PUs.._S0_add_18_16    67     0.496    30.778    41.977         72.755            73.251 
    addinc_PUs.._S0_add_18_16    67     0.496    30.642    41.266         71.908            72.403 
    addinc_PUs.._S0_add_18_16    67     0.495    35.508    47.783         83.291            83.786 
    addinc_PUs.._S0_add_18_16    67     0.495    31.240    42.882         74.122            74.617 
    addinc_PUs.._S0_add_18_16    67     0.490    31.292    42.781         74.073            74.563 
    addinc_PUs.._S0_add_18_16    67     0.489    32.498    44.579         77.077            77.566 
