============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  09:33:10 pm
  Module:                 INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                        
       Gate        Instances    Area        Library    
-------------------------------------------------------
HS65_LSS_XNOR2X12         34    229.840    CORE65LPSVT 
HS65_LSS_XNOR2X6          68    282.880    CORE65LPSVT 
HS65_LSS_XOR2X6           51    212.160    CORE65LPSVT 
HS65_LSS_XOR3X2           34    265.200    CORE65LPSVT 
HS65_LSS_XOR3X4           34    353.600    CORE65LPSVT 
HS65_LS_AND2X4            68    176.800    CORE65LPSVT 
HS65_LS_AND2X9            34    106.080    CORE65LPSVT 
HS65_LS_AND3X9            34    123.760    CORE65LPSVT 
HS65_LS_AO12X18           68    282.880    CORE65LPSVT 
HS65_LS_AO12X9            68    247.520    CORE65LPSVT 
HS65_LS_AO32X4            34    159.120    CORE65LPSVT 
HS65_LS_AO32X9            34    176.800    CORE65LPSVT 
HS65_LS_AOI12X2           68    176.800    CORE65LPSVT 
HS65_LS_AOI12X6           34    106.080    CORE65LPSVT 
HS65_LS_BFX106             1     11.960    CORE65LPSVT 
HS65_LS_BFX27             46    167.440    CORE65LPSVT 
HS65_LS_BFX35             23    119.600    CORE65LPSVT 
HS65_LS_BFX44              2     11.440    CORE65LPSVT 
HS65_LS_BFX53              2     12.480    CORE65LPSVT 
HS65_LS_BFX62              1      7.800    CORE65LPSVT 
HS65_LS_BFX71             11     91.520    CORE65LPSVT 
HS65_LS_DFPRQNX9          24    249.600    CORE65LPSVT 
HS65_LS_DFPRQX18         123   1343.160    CORE65LPSVT 
HS65_LS_DFPRQX4          510   5304.000    CORE65LPSVT 
HS65_LS_DFPRQX9           73    759.200    CORE65LPSVT 
HS65_LS_FA1X18           187   2625.480    CORE65LPSVT 
HS65_LS_FA1X27            85   1812.200    CORE65LPSVT 
HS65_LS_FA1X4           3179  29755.440    CORE65LPSVT 
HS65_LS_FA1X9            663   7239.960    CORE65LPSVT 
HS65_LS_HA1X27            34    406.640    CORE65LPSVT 
HS65_LS_HA1X4            357   1856.400    CORE65LPSVT 
HS65_LS_HA1X9             17    106.080    CORE65LPSVT 
HS65_LS_IVX18            324    673.920    CORE65LPSVT 
HS65_LS_IVX2               1      1.560    CORE65LPSVT 
HS65_LS_IVX27             74    230.880    CORE65LPSVT 
HS65_LS_IVX31             31    112.840    CORE65LPSVT 
HS65_LS_IVX35              2      7.280    CORE65LPSVT 
HS65_LS_IVX44             92    382.720    CORE65LPSVT 
HS65_LS_IVX7              17     26.520    CORE65LPSVT 
HS65_LS_IVX9            1594   2486.640    CORE65LPSVT 
HS65_LS_MUX21X4           34    141.440    CORE65LPSVT 
HS65_LS_MUXI21X5          34    159.120    CORE65LPSVT 
HS65_LS_MX41X7            34    265.200    CORE65LPSVT 
HS65_LS_NAND2AX7         306    954.720    CORE65LPSVT 
HS65_LS_NAND2X7          238    495.040    CORE65LPSVT 
HS65_LS_NOR2AX13          17     70.720    CORE65LPSVT 
HS65_LS_NOR2AX3          272    707.200    CORE65LPSVT 
HS65_LS_NOR2X13           34    123.760    CORE65LPSVT 
HS65_LS_NOR2X6           170    353.600    CORE65LPSVT 
HS65_LS_OA22X9            34    159.120    CORE65LPSVT 
HS65_LS_OAI112X5          34    123.760    CORE65LPSVT 
HS65_LS_OAI13X10          34    212.160    CORE65LPSVT 
HS65_LS_OAI21X3          102    265.200    CORE65LPSVT 
HS65_LS_OAI22X11          34    212.160    CORE65LPSVT 
HS65_LS_OAI22X6           34    123.760    CORE65LPSVT 
HS65_LS_OR2X9            204    636.480    CORE65LPSVT 
HS65_LS_PAO2X9           137    641.160    CORE65LPSVT 
HS65_LS_PAO3X4            16     74.880    CORE65LPSVT 
HS65_LS_PAOI2X1           51    185.640    CORE65LPSVT 
HS65_LS_PAOI2X6           34    141.440    CORE65LPSVT 
HS65_LS_XNOR2X18          34    229.840    CORE65LPSVT 
HS65_LS_XNOR2X9          102    530.400    CORE65LPSVT 
HS65_LS_XOR2X9            34    176.800    CORE65LPSVT 
HS65_LS_XOR3X9           102    954.720    CORE65LPSVT 
-------------------------------------------------------
total                  10261  66640.600                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential           730  7655.960   11.5 
inverter            2135  3922.360    5.9 
buffer                86   422.240    0.6 
logic               7310 54640.040   82.0 
physical_cells         0     0.000    0.0 
------------------------------------------
total              10261 66640.600  100.0 

