============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  09:16:27 am
  Module:                 INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                          
       Gate         Instances     Area        Library    
---------------------------------------------------------
HS65_LSS_XNOR2X12         170    1149.200    CORE65LPSVT 
HS65_LSS_XNOR2X6          765    3182.400    CORE65LPSVT 
HS65_LSS_XOR2X6           255    1060.800    CORE65LPSVT 
HS65_LSS_XOR3X2            34     265.200    CORE65LPSVT 
HS65_LS_AND2X18           272     990.080    CORE65LPSVT 
HS65_LS_AND2X27            85     486.200    CORE65LPSVT 
HS65_LS_AND2X4            578    1502.800    CORE65LPSVT 
HS65_LS_AND2X9            221     689.520    CORE65LPSVT 
HS65_LS_AND3X18            34     159.120    CORE65LPSVT 
HS65_LS_AND3X35            34     265.200    CORE65LPSVT 
HS65_LS_AND3X9             34     123.760    CORE65LPSVT 
HS65_LS_AO12X18           119     495.040    CORE65LPSVT 
HS65_LS_AO12X9             68     247.520    CORE65LPSVT 
HS65_LS_AO31X18            34     176.800    CORE65LPSVT 
HS65_LS_AO32X9             34     176.800    CORE65LPSVT 
HS65_LS_AOI12X12          170     884.000    CORE65LPSVT 
HS65_LS_AOI12X17          136     919.360    CORE65LPSVT 
HS65_LS_AOI12X2            34      88.400    CORE65LPSVT 
HS65_LS_AOI12X35           34     442.000    CORE65LPSVT 
HS65_LS_AOI12X6           238     742.560    CORE65LPSVT 
HS65_LS_AOI13X10           17     106.080    CORE65LPSVT 
HS65_LS_AOI13X5            34     123.760    CORE65LPSVT 
HS65_LS_AOI21X6            34     106.080    CORE65LPSVT 
HS65_LS_BFX106             75     897.000    CORE65LPSVT 
HS65_LS_BFX142             12     187.200    CORE65LPSVT 
HS65_LS_BFX18              38     118.560    CORE65LPSVT 
HS65_LS_BFX27              20      72.800    CORE65LPSVT 
HS65_LS_BFX35              21     109.200    CORE65LPSVT 
HS65_LS_BFX44               3      17.160    CORE65LPSVT 
HS65_LS_BFX53              31     193.440    CORE65LPSVT 
HS65_LS_BFX71               5      41.600    CORE65LPSVT 
HS65_LS_CB4I1X18           85     442.000    CORE65LPSVT 
HS65_LS_CB4I6X18           34     176.800    CORE65LPSVT 
HS65_LS_CB4I6X9            34     141.440    CORE65LPSVT 
HS65_LS_CBI4I1X11          51     318.240    CORE65LPSVT 
HS65_LS_CBI4I1X5           34     123.760    CORE65LPSVT 
HS65_LS_CBI4I6X14          17     150.280    CORE65LPSVT 
HS65_LS_CBI4I6X5           17      61.880    CORE65LPSVT 
HS65_LS_CNIVX21            70     218.400    CORE65LPSVT 
HS65_LS_CNIVX27           101     367.640    CORE65LPSVT 
HS65_LS_CNIVX34           103     482.040    CORE65LPSVT 
HS65_LS_CNIVX41             2      10.400    CORE65LPSVT 
HS65_LS_CNIVX62             1       7.280    CORE65LPSVT 
HS65_LS_DFPRQNX9           24     249.600    CORE65LPSVT 
HS65_LS_DFPRQX18          130    1419.600    CORE65LPSVT 
HS65_LS_DFPRQX27           24     287.040    CORE65LPSVT 
HS65_LS_DFPRQX4           357    3712.800    CORE65LPSVT 
HS65_LS_DFPRQX9           195    2028.000    CORE65LPSVT 
HS65_LS_FA1X18           1003   14082.120    CORE65LPSVT 
HS65_LS_FA1X27            255    5436.600    CORE65LPSVT 
HS65_LS_FA1X4             136    1272.960    CORE65LPSVT 
HS65_LS_FA1X9             408    4455.360    CORE65LPSVT 
HS65_LS_HA1X18             51     371.280    CORE65LPSVT 
HS65_LS_HA1X4             272    1414.400    CORE65LPSVT 
HS65_LS_HA1X9             102     636.480    CORE65LPSVT 
HS65_LS_IVX18            1132    2354.560    CORE65LPSVT 
HS65_LS_IVX2                1       1.560    CORE65LPSVT 
HS65_LS_IVX27             477    1488.240    CORE65LPSVT 
HS65_LS_IVX31              34     123.760    CORE65LPSVT 
HS65_LS_IVX35             193     702.520    CORE65LPSVT 
HS65_LS_IVX44              49     203.840    CORE65LPSVT 
HS65_LS_IVX53              15      78.000    CORE65LPSVT 
HS65_LS_IVX71              13      81.120    CORE65LPSVT 
HS65_LS_IVX9             1537    2397.720    CORE65LPSVT 
HS65_LS_MUX21I1X12         17     114.920    CORE65LPSVT 
HS65_LS_MUX21X9            17      79.560    CORE65LPSVT 
HS65_LS_NAND2AX14         624    2595.840    CORE65LPSVT 
HS65_LS_NAND2AX21         323    1847.560    CORE65LPSVT 
HS65_LS_NAND2AX29          34     229.840    CORE65LPSVT 
HS65_LS_NAND2AX7          600    1872.000    CORE65LPSVT 
HS65_LS_NAND2X14         1139    4145.960    CORE65LPSVT 
HS65_LS_NAND2X21          323    1679.600    CORE65LPSVT 
HS65_LS_NAND2X29           85     530.400    CORE65LPSVT 
HS65_LS_NAND2X43           17     150.280    CORE65LPSVT 
HS65_LS_NAND2X7          2091    4349.280    CORE65LPSVT 
HS65_LS_NAND3AX13          17      97.240    CORE65LPSVT 
HS65_LS_NAND3X13           17      88.400    CORE65LPSVT 
HS65_LS_NAND3X19           51     344.760    CORE65LPSVT 
HS65_LS_NAND3X6            17      53.040    CORE65LPSVT 
HS65_LS_NAND4ABX19         34     335.920    CORE65LPSVT 
HS65_LS_NAND4ABX25         34     406.640    CORE65LPSVT 
HS65_LS_NOR2AX13          289    1202.240    CORE65LPSVT 
HS65_LS_NOR2AX19          102     583.440    CORE65LPSVT 
HS65_LS_NOR2AX25           51     344.760    CORE65LPSVT 
HS65_LS_NOR2AX3          1020    2652.000    CORE65LPSVT 
HS65_LS_NOR2AX6           255     795.600    CORE65LPSVT 
HS65_LS_NOR2X13           782    2846.480    CORE65LPSVT 
HS65_LS_NOR2X19           289    1502.800    CORE65LPSVT 
HS65_LS_NOR2X25           289    1803.360    CORE65LPSVT 
HS65_LS_NOR2X38            85     751.400    CORE65LPSVT 
HS65_LS_NOR2X6           1756    3652.480    CORE65LPSVT 
HS65_LS_NOR2X9             46     167.440    CORE65LPSVT 
HS65_LS_NOR3AX13           17     132.600    CORE65LPSVT 
HS65_LS_NOR3AX4            17      61.880    CORE65LPSVT 
HS65_LS_NOR3X13            17     114.920    CORE65LPSVT 
HS65_LS_OA112X9            68     282.880    CORE65LPSVT 
HS65_LS_OA12X18           119     495.040    CORE65LPSVT 
HS65_LS_OA12X27           136     990.080    CORE65LPSVT 
HS65_LS_OA12X9            153     556.920    CORE65LPSVT 
HS65_LS_OA212X9            34     194.480    CORE65LPSVT 
HS65_LS_OA22X9             51     238.680    CORE65LPSVT 
HS65_LS_OA31X18            34     176.800    CORE65LPSVT 
HS65_LS_OAI12X12          357    1856.400    CORE65LPSVT 
HS65_LS_OAI12X18          221    1493.960    CORE65LPSVT 
HS65_LS_OAI12X24           68     601.120    CORE65LPSVT 
HS65_LS_OAI12X6           187     583.440    CORE65LPSVT 
HS65_LS_OAI212X5           34     141.440    CORE65LPSVT 
HS65_LS_OAI21X3           272     707.200    CORE65LPSVT 
HS65_LS_OAI21X6            34     106.080    CORE65LPSVT 
HS65_LS_OAI22X6            34     123.760    CORE65LPSVT 
HS65_LS_OAI32X5            34     141.440    CORE65LPSVT 
HS65_LS_OAI32X9            34     265.200    CORE65LPSVT 
HS65_LS_OR2X18            136     495.040    CORE65LPSVT 
HS65_LS_OR2X35             34     212.160    CORE65LPSVT 
HS65_LS_OR2X9             323    1007.760    CORE65LPSVT 
HS65_LS_PAO2X9            102     477.360    CORE65LPSVT 
HS65_LS_PAOI2X17           17     185.640    CORE65LPSVT 
HS65_LS_PAOI2X6            51     212.160    CORE65LPSVT 
HS65_LS_XNOR2X18          459    3102.840    CORE65LPSVT 
HS65_LS_XNOR2X27           17     176.800    CORE65LPSVT 
HS65_LS_XNOR2X9           119     618.800    CORE65LPSVT 
HS65_LS_XOR2X18           901    6090.760    CORE65LPSVT 
HS65_LS_XOR2X27            17     176.800    CORE65LPSVT 
HS65_LS_XOR2X35            68     777.920    CORE65LPSVT 
HS65_LS_XOR2X4            204     954.720    CORE65LPSVT 
HS65_LS_XOR2X9             85     442.000    CORE65LPSVT 
---------------------------------------------------------
total                   25454  120735.680                


                                           
     Type      Instances    Area    Area % 
-------------------------------------------
sequential           730   7697.040    6.4 
inverter            3728   8517.080    7.1 
buffer               205   1636.960    1.4 
logic              20791 102884.600   85.2 
physical_cells         0      0.000    0.0 
-------------------------------------------
total              25454 120735.680  100.0 

