============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  08:59:03 am
  Module:                 INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                               Module                  Cells  Cell Area  Net Area   Total Area 
---------------------------------------------------------------------------------------------------------------------
INTER_6                                                                      13576      65641     29059        94700 
  gen_filter[1].U_S0                filter_6_bit_width10_1                    1444       6711      2893         9604 
    csa_tree_U_S14_add_18_10_groupi csa_tree_U_S14_add_18_10_group_39_1057     102        600       183          784 
    csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_43_1        103        560       205          765 
    csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_45_1         103        560       205          765 
    csa_tree_U_S15_add_41_16_groupi csa_tree_U_S15_add_41_16_group_37_1         93        458       180          638 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_41_1040      87        413       148          561 
    csa_tree_U_S23_add_18_10_groupi csa_tree_U_S23_add_18_10_group_530_1049     60        433       111          545 
    csa_tree_U_S3_add_18_10_groupi  csa_tree_U_S3_add_18_10_group_532_1032      60        433       111          545 
    addinc_U_5_U_S0_add_18_16       add_signed_carry_168_875                    77        345       129          473 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_168_876                    77        345       129          473 
    U_4_U_S0_add_18_10              add_signed_303_909                          76        319       127          446 
    U_1_U_S0_add_18_10              add_signed_303_908                          76        319       127          446 
    addinc_U_4_U_S1_add_18_16       add_signed_carry_32_985                     68        299       111          410 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_32_986                     68        299       111          410 
    addinc_U_S22_add_18_16          add_signed_carry_10_1167                    75        234       124          358 
    addinc_U_S2_add_18_16           add_signed_carry_10_1168                    75        234       124          358 
    U_3_U_S1_add_18_10              add_signed_298_945                          50        181        78          259 
    U_2_U_S1_add_18_10              add_signed_298_944                          50        181        78          259 
    U_3_U_S0_add_18_10              add_signed_303_911_1184                     32        142        44          187 
    U_2_U_S0_add_18_10              add_signed_303_911_1185                     32        142        44          187 
    U_S20_add_41_16                 add_unsigned_279_1218                        5         24         4           29 
    U_S0_add_41_16                  add_unsigned_279_1219                        5         24         4           29 
  gen_filter[7].U_S0                filter_6_bit_width10_7                    1444       6709      2893         9602 
    csa_tree_U_S14_add_18_10_groupi csa_tree_U_S14_add_18_10_group_39_1063     102        600       183          784 
    csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_43_7        103        560       205          765 
    csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_45_7         103        560       205          765 
    csa_tree_U_S15_add_41_16_groupi csa_tree_U_S15_add_41_16_group_37_7         93        458       180          638 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_41_1046      87        413       148          561 
    csa_tree_U_S23_add_18_10_groupi csa_tree_U_S23_add_18_10_group_530_1055     60        433       111          545 
    csa_tree_U_S3_add_18_10_groupi  csa_tree_U_S3_add_18_10_group_532_1038      60        433       111          545 
    addinc_U_5_U_S0_add_18_16       add_signed_carry_168_863                    77        345       129          473 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_168_864                    77        345       129          473 
    U_4_U_S0_add_18_10              add_signed_303_885                          76        319       127          446 
    U_1_U_S0_add_18_10              add_signed_303_884                          76        319       127          446 
    addinc_U_4_U_S1_add_18_16       add_signed_carry_32_973                     68        299       111          410 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_32_974                     68        299       111          410 
    addinc_U_S22_add_18_16          add_signed_carry_10_1155                    75        234       124          358 
    addinc_U_S2_add_18_16           add_signed_carry_10_1156                    75        234       124          358 
    U_3_U_S1_add_18_10              add_signed_298_933                          50        181        78          259 
    U_2_U_S1_add_18_10              add_signed_298_932                          50        181        78          259 
    U_3_U_S0_add_18_10              add_signed_303_911_1172                     32        142        44          187 
    U_2_U_S0_add_18_10              add_signed_303_911_1173                     32        142        44          187 
    U_S20_add_41_16                 add_unsigned_279_1206                        5         24         4           29 
    U_S0_add_41_16                  add_unsigned_279_1207                        5         24         4           29 
  gen_filter[0].U_S0                filter_6_bit_width10                      1446       6704      2897         9601 
    csa_tree_U_S14_add_18_10_groupi csa_tree_U_S14_add_18_10_group_39_1056     102        600       183          784 
    csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_43          103        560       205          765 
    csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_45           103        560       205          765 
    csa_tree_U_S15_add_41_16_groupi csa_tree_U_S15_add_41_16_group_37           93        458       180          638 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_41_1039      87        413       148          561 
    csa_tree_U_S23_add_18_10_groupi csa_tree_U_S23_add_18_10_group_530_1048     60        433       111          545 
    csa_tree_U_S3_add_18_10_groupi  csa_tree_U_S3_add_18_10_group_532_1031      60        433       111          545 
    addinc_U_5_U_S0_add_18_16       add_signed_carry_168_877                    77        345       129          473 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_168                        77        345       129          473 
    U_4_U_S0_add_18_10              add_signed_303                              76        319       127          446 
    U_1_U_S0_add_18_10              add_signed_303_912                          76        319       127          446 
    addinc_U_4_U_S1_add_18_16       add_signed_carry_32_987                     68        299       111          410 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_32                         68        299       111          410 
    addinc_U_S22_add_18_16          add_signed_carry_10_1169                    75        234       124          358 
    addinc_U_S2_add_18_16           add_signed_carry_10                         75        234       124          358 
    U_3_U_S1_add_18_10              add_signed_298                              50        181        78          259 
    U_2_U_S1_add_18_10              add_signed_298_946                          50        181        78          259 
    U_3_U_S0_add_18_10              add_signed_303_911_1186                     32        142        44          187 
    U_2_U_S0_add_18_10              add_signed_303_911                          32        142        44          187 
    U_S20_add_41_16                 add_unsigned_279_1220                        5         24         4           29 
    U_S0_add_41_16                  add_unsigned_279                             5         24         4           29 
  gen_filter[8].U_S0                filter_6_bit_width10_8                    1444       6696      2893         9589 
    csa_tree_U_S14_add_18_10_groupi csa_tree_U_S14_add_18_10_group_39          102        600       183          784 
    csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_43_8        103        560       205          765 
    csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_45_8         103        560       205          765 
    csa_tree_U_S15_add_41_16_groupi csa_tree_U_S15_add_41_16_group_37_8         93        458       180          638 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_41           87        413       148          561 
    csa_tree_U_S23_add_18_10_groupi csa_tree_U_S23_add_18_10_group_530          60        433       111          545 
    csa_tree_U_S3_add_18_10_groupi  csa_tree_U_S3_add_18_10_group_532           60        433       111          545 
    addinc_U_5_U_S0_add_18_16       add_signed_carry_168_861                    77        345       129          473 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_168_862                    77        345       129          473 
    U_4_U_S0_add_18_10              add_signed_303_881                          76        319       127          446 
    U_1_U_S0_add_18_10              add_signed_303_880                          76        319       127          446 
    addinc_U_4_U_S1_add_18_16       add_signed_carry_32_971                     68        299       111          410 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_32_972                     68        299       111          410 
    addinc_U_S22_add_18_16          add_signed_carry_10_1153                    75        234       124          358 
    addinc_U_S2_add_18_16           add_signed_carry_10_1154                    75        234       124          358 
    U_3_U_S1_add_18_10              add_signed_298_931                          50        181        78          259 
    U_2_U_S1_add_18_10              add_signed_298_930                          50        181        78          259 
    U_3_U_S0_add_18_10              add_signed_303_911_1170                     32        142        44          187 
    U_2_U_S0_add_18_10              add_signed_303_911_1171                     32        142        44          187 
    U_S20_add_41_16                 add_unsigned_279_1204                        5         24         4           29 
    U_S0_add_41_16                  add_unsigned_279_1205                        5         24         4           29 
  gen_filter[5].U_S0                filter_6_bit_width10_5                    1440       6688      2875         9563 
    csa_tree_U_S14_add_18_10_groupi csa_tree_U_S14_add_18_10_group_39_1061     102        600       183          784 
    csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_43_5        103        560       205          765 
    csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_45_5         103        560       205          765 
    csa_tree_U_S15_add_41_16_groupi csa_tree_U_S15_add_41_16_group_37_5         93        458       180          638 
    csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_41_1044      87        413       148          561 
    csa_tree_U_S23_add_18_10_groupi csa_tree_U_S23_add_18_10_group_530_1053     60        433       111          545 
    csa_tree_U_S3_add_18_10_groupi  csa_tree_U_S3_add_18_10_group_532_1036      60        433       111          545 
    addinc_U_5_U_S0_add_18_16       add_signed_carry_168_867                    77        345       129          473 
    addinc_U_0_U_S0_add_18_16       add_signed_carry_168_868                    77        345       129          473 
    U_4_U_S0_add_18_10              add_signed_303_893                          76        319       127          446 
    U_1_U_S0_add_18_10              add_signed_303_892                          76        319       127          446 
    addinc_U_4_U_S1_add_18_16       add_signed_carry_32_977                     68        299       111          410 
    addinc_U_1_U_S1_add_18_16       add_signed_carry_32_978                     68        299       111          410 
    addinc_U_S22_add_18_16          add_signed_carry_10_1159                    75        234       124          358 
