============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  08:59:03 am
  Module:                 INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         
       Gate         Instances    Area        Library    
--------------------------------------------------------
HS65_LSS_XNOR2X12         117    790.920    CORE65LPSVT 
HS65_LSS_XNOR2X6          387   1609.920    CORE65LPSVT 
HS65_LSS_XOR2X6           153    636.480    CORE65LPSVT 
HS65_LSS_XOR3X2            18    140.400    CORE65LPSVT 
HS65_LS_AND2X18           126    458.640    CORE65LPSVT 
HS65_LS_AND2X27            72    411.840    CORE65LPSVT 
HS65_LS_AND2X4            288    748.800    CORE65LPSVT 
HS65_LS_AND2X9            126    393.120    CORE65LPSVT 
HS65_LS_AND3X18            18     84.240    CORE65LPSVT 
HS65_LS_AND3X35            18    140.400    CORE65LPSVT 
HS65_LS_AND3X9             18     65.520    CORE65LPSVT 
HS65_LS_AO12X18            45    187.200    CORE65LPSVT 
HS65_LS_AO12X9             54    196.560    CORE65LPSVT 
HS65_LS_AO31X18            18     93.600    CORE65LPSVT 
HS65_LS_AO32X9             18     93.600    CORE65LPSVT 
HS65_LS_AOI12X12           72    374.400    CORE65LPSVT 
HS65_LS_AOI12X17           27    182.520    CORE65LPSVT 
HS65_LS_AOI12X2            36     93.600    CORE65LPSVT 
HS65_LS_AOI12X23           27    238.680    CORE65LPSVT 
HS65_LS_AOI12X35           18    234.000    CORE65LPSVT 
HS65_LS_AOI12X6           126    393.120    CORE65LPSVT 
HS65_LS_AOI13X10            9     56.160    CORE65LPSVT 
HS65_LS_AOI13X5            18     65.520    CORE65LPSVT 
HS65_LS_AOI21X17           18    121.680    CORE65LPSVT 
HS65_LS_AOI21X6            18     56.160    CORE65LPSVT 
HS65_LS_BFX106             31    370.760    CORE65LPSVT 
HS65_LS_BFX18               4     12.480    CORE65LPSVT 
HS65_LS_BFX27              22     80.080    CORE65LPSVT 
HS65_LS_BFX35               4     20.800    CORE65LPSVT 
HS65_LS_BFX44              10     57.200    CORE65LPSVT 
HS65_LS_BFX53              21    131.040    CORE65LPSVT 
HS65_LS_BFX62               1      7.800    CORE65LPSVT 
HS65_LS_BFX71               5     41.600    CORE65LPSVT 
HS65_LS_CB4I1X18           45    234.000    CORE65LPSVT 
HS65_LS_CB4I6X18           18     93.600    CORE65LPSVT 
HS65_LS_CB4I6X9            18     74.880    CORE65LPSVT 
HS65_LS_CBI4I1X11          27    168.480    CORE65LPSVT 
HS65_LS_CBI4I1X5           18     65.520    CORE65LPSVT 
HS65_LS_CBI4I6X14           9     79.560    CORE65LPSVT 
HS65_LS_CBI4I6X5            1      3.640    CORE65LPSVT 
HS65_LS_CBI4I6X9            8     49.920    CORE65LPSVT 
HS65_LS_CNIVX21            42    131.040    CORE65LPSVT 
HS65_LS_CNIVX27            43    156.520    CORE65LPSVT 
HS65_LS_CNIVX34            19     88.920    CORE65LPSVT 
HS65_LS_CNIVX41             9     46.800    CORE65LPSVT 
HS65_LS_CNIVX55             2     13.520    CORE65LPSVT 
HS65_LS_CNIVX62             8     58.240    CORE65LPSVT 
HS65_LS_DFPRQNX9           12    124.800    CORE65LPSVT 
HS65_LS_DFPRQX18           82    895.440    CORE65LPSVT 
HS65_LS_DFPRQX27            4     47.840    CORE65LPSVT 
HS65_LS_DFPRQX4           171   1778.400    CORE65LPSVT 
HS65_LS_DFPRQX9           141   1466.400    CORE65LPSVT 
HS65_LS_FA1X18            387   5433.480    CORE65LPSVT 
HS65_LS_FA1X27            216   4605.120    CORE65LPSVT 
HS65_LS_FA1X4              72    673.920    CORE65LPSVT 
HS65_LS_FA1X9             279   3046.680    CORE65LPSVT 
HS65_LS_HA1X18             18    131.040    CORE65LPSVT 
HS65_LS_HA1X27              9    107.640    CORE65LPSVT 
HS65_LS_HA1X4             162    842.400    CORE65LPSVT 
HS65_LS_HA1X9              36    224.640    CORE65LPSVT 
HS65_LS_IVX18             569   1183.520    CORE65LPSVT 
HS65_LS_IVX2                1      1.560    CORE65LPSVT 
HS65_LS_IVX27             301    939.120    CORE65LPSVT 
HS65_LS_IVX31               8     29.120    CORE65LPSVT 
HS65_LS_IVX35             166    604.240    CORE65LPSVT 
HS65_LS_IVX40              18     74.880    CORE65LPSVT 
HS65_LS_IVX44               7     29.120    CORE65LPSVT 
HS65_LS_IVX49               1      5.200    CORE65LPSVT 
HS65_LS_IVX53              33    171.600    CORE65LPSVT 
HS65_LS_IVX62               3     17.160    CORE65LPSVT 
