============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  08:59:01 am
  Module:                 INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                            Leakage   Dynamic    Total   
      Instance       Cells Power(uW) Power(uW) Power(uW) 
---------------------------------------------------------
INTER_6              13576   124.182 14047.253 14171.434 
  gen_filter[1].U_S0  1444    12.930  1177.245  1190.174 
  gen_filter[7].U_S0  1444    12.916  1259.165  1272.081 
  gen_filter[0].U_S0  1446    12.890  1205.796  1218.686 
  gen_filter[8].U_S0  1444    12.844  1276.917  1289.762 
  gen_filter[5].U_S0  1440    12.832  1219.995  1232.827 
  gen_filter[3].U_S0  1440    12.815  1203.883  1216.698 
  gen_filter[4].U_S0  1440    12.814  1203.356  1216.170 
  gen_filter[2].U_S0  1440    12.810  1212.511  1225.320 
  gen_filter[6].U_S0  1440    12.792  1247.874  1260.666 

