============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 01 2020  06:21:24 pm
  Module:                 INTER_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                          
       Gate         Instances     Area        Library    
---------------------------------------------------------
HS65_LSS_XNOR2X12         208    1406.080    CORE65LPSVT 
HS65_LSS_XNOR2X18          19     197.600    CORE65LPSVT 
HS65_LSS_XNOR2X24          53     661.440    CORE65LPSVT 
HS65_LSS_XNOR2X6          543    2258.880    CORE65LPSVT 
HS65_LSS_XOR2X6           595    2475.200    CORE65LPSVT 
HS65_LS_AND2X18           187     680.680    CORE65LPSVT 
HS65_LS_AND2X27            43     245.960    CORE65LPSVT 
HS65_LS_AND2X35            34     212.160    CORE65LPSVT 
HS65_LS_AND2X4            180     468.000    CORE65LPSVT 
HS65_LS_AND2X9            119     371.280    CORE65LPSVT 
HS65_LS_AND3X18            34     159.120    CORE65LPSVT 
HS65_LS_AND3X35            34     265.200    CORE65LPSVT 
HS65_LS_AO12X18            53     220.480    CORE65LPSVT 
HS65_LS_AO12X27            15     101.400    CORE65LPSVT 
HS65_LS_AO12X35            27     210.600    CORE65LPSVT 
HS65_LS_AO12X9              9      32.760    CORE65LPSVT 
HS65_LS_AO32X4             34     159.120    CORE65LPSVT 
HS65_LS_AO32X9             34     176.800    CORE65LPSVT 
HS65_LS_AOI12X12          172     894.400    CORE65LPSVT 
HS65_LS_AOI12X17           77     520.520    CORE65LPSVT 
HS65_LS_AOI12X23          103     910.520    CORE65LPSVT 
HS65_LS_AOI12X35           10     130.000    CORE65LPSVT 
HS65_LS_AOI12X6            39     121.680    CORE65LPSVT 
HS65_LS_AOI211X4           34     123.760    CORE65LPSVT 
HS65_LS_AOI21X12           68     353.600    CORE65LPSVT 
HS65_LS_AOI21X17           49     331.240    CORE65LPSVT 
HS65_LS_AOI21X23           32     282.880    CORE65LPSVT 
HS65_LS_AOI21X35            5      65.000    CORE65LPSVT 
HS65_LS_AOI21X9             8      41.600    CORE65LPSVT 
HS65_LS_AOI22X6            17      61.880    CORE65LPSVT 
HS65_LS_AOI31X20           24     287.040    CORE65LPSVT 
HS65_LS_AOI31X31           10     171.600    CORE65LPSVT 
HS65_LS_BFX106             41     490.360    CORE65LPSVT 
HS65_LS_BFX142             24     374.400    CORE65LPSVT 
HS65_LS_BFX18              21      65.520    CORE65LPSVT 
