============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 01 2020  05:04:54 pm
  Module:                 INTER_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                         
       Gate         Instances    Area        Library    
--------------------------------------------------------
HS65_LSS_XNOR2X12         176   1189.760    CORE65LPSVT 
HS65_LSS_XNOR2X18          33    343.200    CORE65LPSVT 
HS65_LSS_XNOR2X6          301   1252.160    CORE65LPSVT 
HS65_LSS_XOR2X6           288   1198.080    CORE65LPSVT 
HS65_LS_AND2X18            54    196.560    CORE65LPSVT 
HS65_LS_AND2X27            36    205.920    CORE65LPSVT 
HS65_LS_AND2X35            27    168.480    CORE65LPSVT 
HS65_LS_AND2X4            153    397.800    CORE65LPSVT 
HS65_LS_AND2X9            108    336.960    CORE65LPSVT 
HS65_LS_AND3X18            18     84.240    CORE65LPSVT 
HS65_LS_AND3X35             9     70.200    CORE65LPSVT 
HS65_LS_AND3X9             18     65.520    CORE65LPSVT 
HS65_LS_AO112X9            18     74.880    CORE65LPSVT 
HS65_LS_AO12X18            29    120.640    CORE65LPSVT 
HS65_LS_AO12X27            38    256.880    CORE65LPSVT 
HS65_LS_AO12X35             2     15.600    CORE65LPSVT 
HS65_LS_AO12X9             31    112.840    CORE65LPSVT 
HS65_LS_AO32X4             18     84.240    CORE65LPSVT 
HS65_LS_AO32X9             18     93.600    CORE65LPSVT 
HS65_LS_AOI12X12           70    364.000    CORE65LPSVT 
HS65_LS_AOI12X17           52    351.520    CORE65LPSVT 
HS65_LS_AOI12X2            17     44.200    CORE65LPSVT 
HS65_LS_AOI12X23           34    300.560    CORE65LPSVT 
HS65_LS_AOI12X3             1      3.120    CORE65LPSVT 
HS65_LS_AOI12X35           11    143.000    CORE65LPSVT 
HS65_LS_AOI12X6            37    115.440    CORE65LPSVT 
HS65_LS_AOI211X4           18     65.520    CORE65LPSVT 
HS65_LS_AOI21X12           36    187.200    CORE65LPSVT 
HS65_LS_AOI21X17           22    148.720    CORE65LPSVT 
HS65_LS_AOI21X23           11     97.240    CORE65LPSVT 
HS65_LS_AOI21X35            9    117.000    CORE65LPSVT 
HS65_LS_AOI21X9             2     10.400    CORE65LPSVT 
HS65_LS_AOI22X6             9     32.760    CORE65LPSVT 
HS65_LS_AOI31X20            9    107.640    CORE65LPSVT 
HS65_LS_BFX106             41    490.360    CORE65LPSVT 
HS65_LS_BFX142             14    218.400    CORE65LPSVT 
HS65_LS_BFX18              25     78.000    CORE65LPSVT 
HS65_LS_BFX213              1     22.360    CORE65LPSVT 
HS65_LS_BFX27              49    178.360    CORE65LPSVT 
HS65_LS_BFX31               9     46.800    CORE65LPSVT 
HS65_LS_BFX35              14     72.800    CORE65LPSVT 
HS65_LS_BFX44              15     85.800    CORE65LPSVT 
HS65_LS_BFX53              13     81.120    CORE65LPSVT 
HS65_LS_BFX62               5     39.000    CORE65LPSVT 
HS65_LS_BFX71              24    199.680    CORE65LPSVT 
HS65_LS_CB4I1X18           31    161.200    CORE65LPSVT 
HS65_LS_CB4I1X35            2     18.720    CORE65LPSVT 
HS65_LS_CB4I6X9             9     37.440    CORE65LPSVT 
HS65_LS_CBI4I1X11           2     12.480    CORE65LPSVT 
HS65_LS_CBI4I1X5           34    123.760    CORE65LPSVT 
HS65_LS_CNBFX45             1      8.320    CORE65LPSVT 
HS65_LS_CNIVX21            45    140.400    CORE65LPSVT 
HS65_LS_CNIVX24             9     32.760    CORE65LPSVT 
HS65_LS_CNIVX27            27     98.280    CORE65LPSVT 
HS65_LS_CNIVX34            72    336.960    CORE65LPSVT 
HS65_LS_CNIVX41             5     26.000    CORE65LPSVT 
HS65_LS_CNIVX55             1      6.760    CORE65LPSVT 
HS65_LS_CNIVX62             7     50.960    CORE65LPSVT 
HS65_LS_CNIVX7             18     28.080    CORE65LPSVT 
HS65_LS_CNIVX82             3     29.640    CORE65LPSVT 
HS65_LS_DFPRQNX18           2     21.840    CORE65LPSVT 
HS65_LS_DFPRQNX9           16    166.400    CORE65LPSVT 
HS65_LS_DFPRQX18          134   1463.280    CORE65LPSVT 
HS65_LS_DFPRQX27            2     23.920    CORE65LPSVT 
HS65_LS_DFPRQX4           188   1955.200    CORE65LPSVT 
HS65_LS_DFPRQX9            88    915.200    CORE65LPSVT 
HS65_LS_FA1X18            412   5784.480    CORE65LPSVT 
HS65_LS_FA1X27            497  10596.040    CORE65LPSVT 
HS65_LS_FA1X4               9     84.240    CORE65LPSVT 
HS65_LS_FA1X9             270   2948.400    CORE65LPSVT 
HS65_LS_HA1X18            101    735.280    CORE65LPSVT 
HS65_LS_HA1X27              9    107.640    CORE65LPSVT 
HS65_LS_HA1X35             18    243.360    CORE65LPSVT 
HS65_LS_HA1X4              45    234.000    CORE65LPSVT 
HS65_LS_HA1X9              70    436.800    CORE65LPSVT 
HS65_LS_IVX106              2     17.680    CORE65LPSVT 
HS65_LS_IVX13              27     56.160    CORE65LPSVT 
HS65_LS_IVX18             921   1915.680    CORE65LPSVT 
HS65_LS_IVX2                1      1.560    CORE65LPSVT 
HS65_LS_IVX22               9     28.080    CORE65LPSVT 
HS65_LS_IVX27             315    982.800    CORE65LPSVT 
HS65_LS_IVX31              34    123.760    CORE65LPSVT 
HS65_LS_IVX35             119    433.160    CORE65LPSVT 
HS65_LS_IVX44              39    162.240    CORE65LPSVT 
HS65_LS_IVX49               9     46.800    CORE65LPSVT 
HS65_LS_IVX53              15     78.000    CORE65LPSVT 
HS65_LS_IVX7                9     14.040    CORE65LPSVT 
HS65_LS_IVX71               2     12.480    CORE65LPSVT 
HS65_LS_IVX9              781   1218.360    CORE65LPSVT 
HS65_LS_MUX21I1X12          7     47.320    CORE65LPSVT 
HS65_LS_MUX21I1X18         11    114.400    CORE65LPSVT 
HS65_LS_MUX21I1X6          10     41.600    CORE65LPSVT 
HS65_LS_MUX21X18           32    199.680    CORE65LPSVT 
HS65_LS_MUX21X27            1      9.360    CORE65LPSVT 
HS65_LS_MUX21X35            1     10.400    CORE65LPSVT 
HS65_LS_MUXI21X15           9     93.600    CORE65LPSVT 
HS65_LS_NAND2AX14         168    698.880    CORE65LPSVT 
HS65_LS_NAND2AX21         143    817.960    CORE65LPSVT 
HS65_LS_NAND2AX29          63    425.880    CORE65LPSVT 
HS65_LS_NAND2AX4            2      6.240    CORE65LPSVT 
HS65_LS_NAND2AX7          253    789.360    CORE65LPSVT 
HS65_LS_NAND2X11           53    192.920    CORE65LPSVT 
HS65_LS_NAND2X14          607   2209.480    CORE65LPSVT 
HS65_LS_NAND2X21          333   1731.600    CORE65LPSVT 
HS65_LS_NAND2X29          146    911.040    CORE65LPSVT 
HS65_LS_NAND2X43           15    132.600    CORE65LPSVT 
HS65_LS_NAND2X7           589   1225.120    CORE65LPSVT 
HS65_LS_NAND3AX13          27    154.440    CORE65LPSVT 
HS65_LS_NAND3AX19          34    265.200    CORE65LPSVT 
HS65_LS_NAND3AX25          20    197.600    CORE65LPSVT 
HS65_LS_NAND3AX6           18     65.520    CORE65LPSVT 
HS65_LS_NAND3X13           30    156.000    CORE65LPSVT 
HS65_LS_NAND3X19           16    108.160    CORE65LPSVT 
HS65_LS_NAND3X25           11     97.240    CORE65LPSVT 
HS65_LS_NAND3X38            9    117.000    CORE65LPSVT 
HS65_LS_NAND4ABX13          9     60.840    CORE65LPSVT 
HS65_LS_NAND4ABX19          9     88.920    CORE65LPSVT 
HS65_LS_NAND4ABX25          9    107.640    CORE65LPSVT 
HS65_LS_NOR2AX13          153    636.480    CORE65LPSVT 
HS65_LS_NOR2AX19          126    720.720    CORE65LPSVT 
HS65_LS_NOR2AX25           63    425.880    CORE65LPSVT 
HS65_LS_NOR2AX3           281    730.600    CORE65LPSVT 
HS65_LS_NOR2AX6           106    330.720    CORE65LPSVT 
HS65_LS_NOR2X13           342   1244.880    CORE65LPSVT 
HS65_LS_NOR2X19           143    743.600    CORE65LPSVT 
HS65_LS_NOR2X25           228   1422.720    CORE65LPSVT 
HS65_LS_NOR2X38           175   1547.000    CORE65LPSVT 
HS65_LS_NOR2X50            45    538.200    CORE65LPSVT 
HS65_LS_NOR2X6            450    936.000    CORE65LPSVT 
HS65_LS_NOR2X9              6     21.840    CORE65LPSVT 
HS65_LS_NOR3AX13            9     70.200    CORE65LPSVT 
HS65_LS_NOR3AX9             9     51.480    CORE65LPSVT 
HS65_LS_NOR3X4             18     46.800    CORE65LPSVT 
HS65_LS_OA12X18            81    336.960    CORE65LPSVT 
HS65_LS_OA12X27            36    262.080    CORE65LPSVT 
HS65_LS_OA12X35            27    210.600    CORE65LPSVT 
HS65_LS_OA12X9             54    196.560    CORE65LPSVT 
HS65_LS_OAI112X16           9     79.560    CORE65LPSVT 
HS65_LS_OAI112X5           27     98.280    CORE65LPSVT 
HS65_LS_OAI12X12          269   1398.800    CORE65LPSVT 
HS65_LS_OAI12X18          158   1068.080    CORE65LPSVT 
HS65_LS_OAI12X24           88    777.920    CORE65LPSVT 
HS65_LS_OAI12X3            23     59.800    CORE65LPSVT 
HS65_LS_OAI12X37           11    143.000    CORE65LPSVT 
HS65_LS_OAI12X6            74    230.880    CORE65LPSVT 
HS65_LS_OAI12X9             9     46.800    CORE65LPSVT 
HS65_LS_OAI13X5             9     32.760    CORE65LPSVT 
HS65_LS_OAI211X5            7     25.480    CORE65LPSVT 
HS65_LS_OAI211X8            2     12.480    CORE65LPSVT 
HS65_LS_OAI21X12           18     93.600    CORE65LPSVT 
HS65_LS_OAI21X18           12     81.120    CORE65LPSVT 
HS65_LS_OAI21X24            2     17.680    CORE65LPSVT 
HS65_LS_OAI21X3           130    338.000    CORE65LPSVT 
HS65_LS_OAI21X6             9     28.080    CORE65LPSVT 
HS65_LS_OAI21X9            25    130.000    CORE65LPSVT 
HS65_LS_OAI22X6             9     32.760    CORE65LPSVT 
HS65_LS_OAI31X15            9     79.560    CORE65LPSVT 
HS65_LS_OR2X18            108    393.120    CORE65LPSVT 
HS65_LS_OR2X27             27    154.440    CORE65LPSVT 
HS65_LS_OR2X35             42    262.080    CORE65LPSVT 
HS65_LS_OR2X9             198    617.760    CORE65LPSVT 
HS65_LS_PAO2X18            20    114.400    CORE65LPSVT 
HS65_LS_PAO2X27             3     29.640    CORE65LPSVT 
HS65_LS_PAO2X35             1     10.400    CORE65LPSVT 
HS65_LS_PAO2X9             18     84.240    CORE65LPSVT 
HS65_LS_PAOI2X1            18     65.520    CORE65LPSVT 
HS65_LS_PAOI2X11           18    140.400    CORE65LPSVT 
HS65_LS_PAOI2X17            6     65.520    CORE65LPSVT 
HS65_LS_PAOI2X44            9    257.400    CORE65LPSVT 
HS65_LS_PAOI2X6            52    216.320    CORE65LPSVT 
HS65_LS_PAOI2X8             2     15.600    CORE65LPSVT 
HS65_LS_XNOR2X18          199   1345.240    CORE65LPSVT 
HS65_LS_XNOR2X35           10    114.400    CORE65LPSVT 
HS65_LS_XNOR2X4            18     84.240    CORE65LPSVT 
HS65_LS_XNOR2X9           126    655.200    CORE65LPSVT 
HS65_LS_XOR2X18           207   1399.320    CORE65LPSVT 
HS65_LS_XOR2X27            18    187.200    CORE65LPSVT 
HS65_LS_XOR2X35           153   1750.320    CORE65LPSVT 
HS65_LS_XOR2X4             27    126.360    CORE65LPSVT 
HS65_LS_XOR2X9            126    655.200    CORE65LPSVT 
--------------------------------------------------------
total                   13626  76855.480                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential           430  4545.840    5.9 
inverter            2470  5840.640    7.6 
buffer               211  1521.000    2.0 
logic              10515 64948.000   84.5 
physical_cells         0     0.000    0.0 
------------------------------------------
total              13626 76855.480  100.0 

