============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 26 2020  08:37:29 pm
  Module:                 INTER_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                             Module                 Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------
INTER_8                                                                   13626      76855     29167       106022 
  gen_filter[7].U_S0                filter_8_bit_width10_7                 1439       7907      2855        10762 
    csa_tree_U_S16_add_18_10_groupi csa_tree_U_S16_add_18_10_group_36_7     118        830       220         1050 
    csa_tree_U_S12_add_18_16_groupi csa_tree_U_S12_add_18_16_group_38_7      96        699       178          877 
    csa_tree_U_S24_add_18_10_groupi csa_tree_U_S24_add_18_10_group_455_7    106        679       198          877 
    csa_tree_U_S4_add_18_10_groupi  csa_tree_U_S4_add_18_10_group_457_7     109        671       202          872 
    csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_40_7      82        648       160          809 
    csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_42_7       88        607       170          777 
    csa_tree_U_S22_add_18_10_groupi csa_tree_U_S22_add_18_10_group_48_7      89        533       163          696 
    csa_tree_U_S2_add_18_10_groupi  csa_tree_U_S2_add_18_10_group_50_7       88        522       158          679 
    U_S17_add_41_16                 add_unsigned_224_1167                    90        466       146          612 
    U_S11_add_41_16                 add_unsigned_237_977                     78        291       130          421 
    addinc_U_2_U_S1_add_18_16       add_signed_carry_41_995                  59        197        96          293 
    addinc_U_5_U_S1_add_18_16       add_signed_carry_41_994                  59        196        96          292 
    U_2_U_S0_add_18_10              add_signed_276_915                       47        205        75          280 
    U_5_U_S0_add_18_10              add_signed_276_916                       47        200        75          275 
    U_S15_add_41_16                 add_unsigned_227_985                     26        216        33          249 
    U_4_U_S1_add_18_10              add_signed_271_1204                      40        144        61          205 
    U_3_U_S1_add_18_10              add_signed_271_1203                      40        144        61          205 
    U_S14_add_41_16                 add_unsigned_229_1151                    19        140        24          164 
    U_4_U_S0_add_18_10              add_signed_276_942_1220                  18        109        22          131 
    U_3_U_S0_add_18_10              add_signed_276_942_1221                  18        109        22          131 
    U_S21_add_41_16                 add_unsigned_252_877                     13         54        14           68 
    U_S1_add_41_16                  add_unsigned_252_878                     11         49        11           60 
  gen_filter[6].U_S0                filter_8_bit_width10_6                 1437       7898      2847        10745 
    csa_tree_U_S16_add_18_10_groupi csa_tree_U_S16_add_18_10_group_36_6     117        816       218         1034 
    csa_tree_U_S12_add_18_16_groupi csa_tree_U_S12_add_18_16_group_38_6      96        699       178          877 
    csa_tree_U_S24_add_18_10_groupi csa_tree_U_S24_add_18_10_group_455_6    106        679       198          877 
    csa_tree_U_S4_add_18_10_groupi  csa_tree_U_S4_add_18_10_group_457_6     109        671       202          872 
    csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_40_6      82        648       160          809 
    csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_42_6       88        607       170          777 
    csa_tree_U_S22_add_18_10_groupi csa_tree_U_S22_add_18_10_group_48_6      89        534       163          697 
    csa_tree_U_S2_add_18_10_groupi  csa_tree_U_S2_add_18_10_group_50_6       88        522       158          679 
    U_S17_add_41_16                 add_unsigned_224_1166                    90        463       146          609 
    U_S11_add_41_16                 add_unsigned_237_978                     78        291       129          419 
    addinc_U_2_U_S1_add_18_16       add_signed_carry_41_997                  59        199        96          295 
    addinc_U_5_U_S1_add_18_16       add_signed_carry_41_996                  59        196        96          292 
    U_2_U_S0_add_18_10              add_signed_276_919                       47        205        75          281 
    U_5_U_S0_add_18_10              add_signed_276_920                       47        202        75          278 
    U_S15_add_41_16                 add_unsigned_227_986                     26        217        33          251 
    U_4_U_S1_add_18_10              add_signed_271_1206                      40        144        61          205 
    U_3_U_S1_add_18_10              add_signed_271_1205                      40        144        61          205 
    U_S14_add_41_16                 add_unsigned_229_1150                    19        140        24          164 
    U_3_U_S0_add_18_10              add_signed_276_942_1223                  18        111        22          132 
    U_4_U_S0_add_18_10              add_signed_276_942_1222                  18        109        22          131 
    U_S21_add_41_16                 add_unsigned_252_879                     13         54        14           68 
    U_S1_add_41_16                  add_unsigned_252_880                     11         49        11           60 
  gen_filter[8].U_S0                filter_8_bit_width10_8                 1443       7844      2870        10714 
