============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 26 2020  08:37:30 pm
  Module:                 INTER_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                            Leakage   Dynamic    Total   
      Instance       Cells Power(uW) Power(uW) Power(uW) 
---------------------------------------------------------
INTER_8              13626   153.583     0.002   153.584 
  gen_filter[7].U_S0  1439    15.884     0.000    15.884 
  gen_filter[0].U_S0  1440    15.861     0.000    15.861 
  gen_filter[6].U_S0  1437    15.720     0.000    15.720 
  gen_filter[5].U_S0  1434    15.654     0.000    15.654 
  gen_filter[4].U_S0  1432    15.641     0.000    15.641 
  gen_filter[2].U_S0  1435    15.608     0.000    15.608 
  gen_filter[3].U_S0  1434    15.574     0.000    15.574 
  gen_filter[1].U_S0  1437    15.541     0.000    15.541 
  gen_filter[8].U_S0  1443    15.530     0.000    15.530 

