============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  02:08:43 pm
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal     Net        Dynamic          Total       
                                                                   (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW) Power(uW)    Power(uW)       Power(uW)     
----------------------------------------------------------------------------------------------------
FME_PIPE_8                    41312   375.976 103154.210 63632.969     166787.179        167163.155 
  U_inter                     27839   275.629  50042.179 37122.944      87165.123         87440.752 
    csa_tree_P.._18_10_groupi   101     1.379    118.292   113.893        232.185           233.564 
    csa_tree_P.._18_10_groupi   104     1.365    130.409   128.679        259.088           260.453 
    csa_tree_P.._18_10_groupi   103     1.361    119.365   117.051        236.415           237.777 
    csa_tree_P.._18_10_groupi    99     1.360    126.661   122.806        249.466           250.827 
    csa_tree_P.._18_10_groupi   101     1.357    126.646   126.216        252.862           254.219 
    PUs[13].U_.._S4_add_18_10   113     1.357    182.336   211.339        393.675           395.031 
    PUs[9].U_F.._S4_add_18_10   113     1.355    187.206   217.215        404.421           405.776 
    PUs[13].U_..S24_add_18_10   113     1.355    184.830   212.328        397.159           398.513 
    PUs[0].U_F..S24_add_18_10   113     1.354    187.101   216.871        403.971           405.326 
    PUs[5].U_F.._S4_add_18_10   113     1.354    180.943   211.341        392.284           393.638 
    PUs[6].U_F.._S4_add_18_10   113     1.354    179.927   207.804        387.731           389.085 
    PUs[9].U_F..S24_add_18_10   113     1.353    182.567   212.685        395.252           396.605 
    PUs[6].U_F..S24_add_18_10   113     1.353    173.789   200.054        373.842           375.195 
    PUs[10].U_..S24_add_18_10   113     1.353    175.026   202.019        377.045           378.398 
    PUs[11].U_.._S4_add_18_10   113     1.353    183.360   212.301        395.661           397.014 
    PUs[4].U_F.._S4_add_18_10   113     1.353    193.576   225.074        418.650           420.002 
    PUs[7].U_F..S24_add_18_10   113     1.352    176.662   205.781        382.443           383.796 
    csa_tree_P.._18_10_groupi    99     1.351    118.166   115.176        233.342           234.693 
    PUs[7].U_F.._S4_add_18_10   113     1.351    188.818   216.267        405.085           406.436 
    PUs[12].U_..S24_add_18_10   113     1.351    189.376   218.963        408.339           409.690 
    PUs[2].U_F..S24_add_18_10   113     1.351    180.958   208.050        389.008           390.358 
    PUs[8].U_F.._S4_add_18_10   113     1.351    180.985   209.996        390.981           392.331 
    PUs[0].U_F.._S4_add_18_10   113     1.351    184.564   210.064        394.628           395.978 
    PUs[2].U_F.._S4_add_18_10   113     1.350    188.453   221.611        410.064           411.414 
    PUs[14].U_.._S4_add_18_10   113     1.349    192.859   221.213        414.071           415.421 
    PUs[14].U_..S24_add_18_10   113     1.349    183.759   212.819        396.577           397.927 
    PUs[1].U_F.._S4_add_18_10   113     1.349    183.443   212.369        395.811           397.160 
    PUs[3].U_F.._S4_add_18_10   113     1.349    183.083   213.959        397.042           398.390 
    PUs[4].U_F..S24_add_18_10   113     1.348    185.900   213.406        399.306           400.654 
    csa_tree_P.._18_10_groupi   103     1.348    119.265   118.671        237.936           239.284 
    PUs[3].U_F..S24_add_18_10   113     1.348    182.610   209.969        392.580           393.928 
    PUs[15].U_.._S4_add_18_10   113     1.348    180.184   208.033        388.217           389.564 
    PUs[12].U_.._S4_add_18_10   113     1.348    179.888   209.540        389.427           390.775 
    PUs[1].U_F..S24_add_18_10   113     1.347    187.286   209.313        396.599           397.946 
    csa_tree_P.._18_10_groupi   104     1.347    129.474   128.877        258.352           259.698 
    PUs[15].U_..S24_add_18_10   113     1.347    179.010   204.567        383.577           384.924 
    PUs[5].U_F..S24_add_18_10   113     1.346    185.441   212.781        398.222           399.567 
    PUs[8].U_F..S24_add_18_10   113     1.345    184.434   210.753        395.187           396.532 
    PUs[10].U_.._S4_add_18_10   113     1.345    187.946   214.141        402.087           403.432 
    PUs[11].U_..S24_add_18_10   113     1.344    180.626   206.391        387.017           388.361 
    PUs[16].U_..S24_add_18_10   113     1.344    181.327   207.299        388.626           389.970 
    PUs[16].U_.._S4_add_18_10   113     1.341    181.196   211.230        392.426           393.767 
    csa_tree_P.._18_10_groupi   102     1.340    123.786   122.835        246.621           247.962 
    csa_tree_P.._18_10_groupi   101     1.330    121.706   118.795        240.500           241.830 
    csa_tree_P.._18_10_groupi    99     1.327    127.386   122.029        249.415           250.742 
    csa_tree_P.._18_10_groupi   100     1.321    122.709   121.779        244.488           245.810 
    csa_tree_P.._18_10_groupi    99     1.318    119.080   118.194        237.274           238.592 
    csa_tree_P.._18_10_groupi   100     1.314    125.733   123.110        248.844           250.158 
    csa_tree_P.._18_10_groupi    98     1.291    119.776   119.295        239.071           240.362 
    csa_tree_P.._18_10_groupi    97     1.279    114.634   113.421        228.055           229.333 
    csa_tree_P.._18_10_groupi    98     1.254    112.244   111.097        223.341           224.595 
    csa_tree_P.._18_10_groupi   106     1.235    197.989   207.048        405.037           406.272 
    csa_tree_P.._18_10_groupi   108     1.211    188.673   210.933        399.606           400.817 
    csa_tree_P.._18_10_groupi   106     1.200    191.381   202.005        393.386           394.587 
    csa_tree_P.._18_10_groupi   105     1.195    185.978   210.767        396.745           397.941 
    csa_tree_P.._18_10_groupi   106     1.194    195.853   211.460        407.313           408.507 
    addinc_PUs.._S1_add_18_16    73     1.194     71.470    84.940        156.410           157.603 
    csa_tree_P.._18_10_groupi   106     1.186    197.286   205.631        402.916           404.102 
    csa_tree_P.._18_10_groupi   105     1.174    194.443   217.484        411.927           413.102 
    csa_tree_P.._18_10_groupi   105     1.162    186.509   205.225        391.734           392.896 
    addinc_PUs.._S1_add_18_16    73     1.157     74.806    89.769        164.575           165.732 
    addinc_PUs.._S1_add_18_16    73     1.149     70.738    86.996        157.734           158.883 
    csa_tree_P.._18_10_groupi   105     1.148    176.507   194.141        370.648           371.796 
    addinc_PUs.._S1_add_18_16    74     1.146     74.541    91.302        165.842           166.988 
    addinc_PUs.._S1_add_18_16    73     1.144     68.359    83.135        151.494           152.638 
    addinc_PUs.._S1_add_18_16    73     1.141     72.748    87.061        159.809           160.949 
    PUs[10].U_.._S0_add_18_10    73     1.138     76.724   114.435        191.159           192.297 
    addinc_PUs.._S1_add_18_16    74     1.126     78.576    94.750        173.326           174.452 
    PUs[8].U_F.._S0_add_18_10    73     1.124     78.260   117.725        195.985           197.109 
    PUs[4].U_F.._S0_add_18_10    72     1.124     73.651   113.627        187.278           188.402 
    addinc_PUs.._S1_add_18_16    73     1.123     78.154    98.345        176.498           177.622 
    PUs[9].U_F.._S0_add_18_10    72     1.123     73.487   113.361        186.848           187.971 
    PUs[11].U_.._S0_add_18_10    72     1.121     76.346   115.718        192.064           193.185 
    PUs[0].U_F.._S0_add_18_10    73     1.119     76.084   115.834        191.918           193.037 
    csa_tree_P.._18_10_groupi   106     1.113    178.723   195.539        374.262           375.375 
    PUs[5].U_F.._S0_add_18_10    71     1.109     74.716   114.484        189.200           190.310 
    addinc_PUs.._S1_add_18_16    73     1.105     71.708    88.255        159.963           161.068 
    PUs[6].U_F.._S0_add_18_10    72     1.098     72.736   109.967        182.703           183.801 
    PUs[2].U_F.._S0_add_18_10    71     1.094     75.973   113.266        189.238           190.333 
    addinc_PUs.._S1_add_18_16    73     1.093     73.046    94.462        167.508           168.601 
    PUs[13].U_.._S0_add_18_10    72     1.087     75.611   117.785        193.396           194.483 
    PUs[12].U_.._S0_add_18_10    73     1.087     73.062   102.761        175.823           176.909 
    addinc_PUs.._S1_add_18_16    73     1.078     71.048    87.304        158.352           159.430 
    addinc_PUs.._S1_add_18_16    73     1.071     67.910    85.018        152.928           153.999 
    addinc_PUs.._S1_add_18_16    73     1.069     72.073    89.263        161.336           162.405 
    PUs[7].U_F.._S0_add_18_10    72     1.066     67.278   100.802        168.080           169.146 
    PUs[0].U_F.._S0_add_18_10    71     1.066     75.757   110.321        186.077           187.143 
    PUs[1].U_F.._S0_add_18_10    71     1.065     75.439   114.474        189.913           190.978 
    addinc_PUs.._S1_add_18_16    74     1.063     73.766    92.550        166.315           167.379 
    PUs[3].U_F.._S0_add_18_10    71     1.063     74.401   114.429        188.830           189.892 
    addinc_PUs.._S1_add_18_16    74     1.022     59.847    69.902        129.749           130.771 
    PUs[14].U_.._S0_add_18_10    71     1.004     75.852   110.827        186.679           187.682 
    addinc_PUs.._S1_add_18_16    73     1.000     63.948    72.191        136.138           137.138 
    addinc_PUs.._S1_add_18_16    73     0.982     63.035    72.783        135.818           136.800 
    addinc_PUs.._S1_add_18_16    73     0.977     67.445    77.697        145.142           146.119 
    addinc_PUs.._S1_add_18_16    73     0.962     66.715    79.584        146.299           147.260 
    addinc_PUs.._S1_add_18_16    73     0.950     62.084    71.672        133.756           134.706 
    PUs[16].U_..S16_add_18_10    99     0.944    137.534   164.972        302.506           303.450 
    PUs[11].U_..S16_add_18_10    99     0.943    134.926   163.114        298.040           298.983 
    PUs[2].U_F..S16_add_18_10    99     0.943    137.774   167.353        305.127           306.070 
    PUs[5].U_F..S16_add_18_10    99     0.943    139.042   169.677        308.719           309.662 
    PUs[6].U_F..S16_add_18_10    99     0.942    132.109   162.790        294.899           295.841 
    PUs[9].U_F..S16_add_18_10    99     0.942    133.132   162.527        295.659           296.601 
    PUs[15].U_..S16_add_18_10    99     0.942    137.418   166.807        304.225           305.167 
    PUs[10].U_..S16_add_18_10    99     0.942    134.714   165.065        299.778           300.720 
    PUs[12].U_..S16_add_18_10    99     0.941    132.614   161.031        293.646           294.587 
    PUs[14].U_..S16_add_18_10    99     0.941    138.062   167.897        305.959           306.900 
    PUs[13].U_..S16_add_18_10    99     0.940    133.056   162.680        295.737           296.676 
    PUs[7].U_F..S16_add_18_10    99     0.939    131.802   161.094        292.896           293.836 
    PUs[1].U_F..S16_add_18_10    99     0.939    140.162   170.564        310.726           311.665 
    PUs[4].U_F..S16_add_18_10    99     0.938    141.607   170.521        312.127           313.065 
    PUs[8].U_F..S16_add_18_10    99     0.938    134.823   164.191        299.014           299.952 
    PUs[3].U_F..S16_add_18_10    99     0.937    141.566   171.848        313.414           314.351 
    PUs[0].U_F..S16_add_18_10    99     0.932    137.107   171.775        308.882           309.814 
    csa_tree_P.._18_10_groupi   104     0.862    148.908   159.757        308.665           309.527 
    csa_tree_P.._18_10_groupi   104     0.860    146.765   157.573        304.338           305.198 
    csa_tree_P.._18_10_groupi   104     0.860    147.084   159.062        306.147           307.006 
    csa_tree_P.._18_10_groupi   104     0.859    150.437   163.968        314.405           315.264 
    csa_tree_P.._18_10_groupi   104     0.859    148.845   158.617        307.462           308.321 
    csa_tree_P.._18_10_groupi   104     0.859    152.904   165.724        318.628           319.486 
    csa_tree_P.._18_10_groupi   104     0.858    149.571   158.702        308.273           309.131 
    csa_tree_P.._18_10_groupi   104     0.858    150.692   160.784        311.476           312.335 
    csa_tree_P.._18_10_groupi   104     0.857    149.871   161.493        311.364           312.222 
    csa_tree_P.._18_10_groupi   104     0.857    153.171   165.012        318.183           319.040 
    csa_tree_P.._18_10_groupi   104     0.857    152.900   163.804        316.705           317.561 
    csa_tree_P.._18_10_groupi   104     0.857    146.916   160.699        307.616           308.472 
    csa_tree_P.._18_10_groupi   104     0.856    144.751   154.185        298.936           299.792 
    csa_tree_P.._18_10_groupi   104     0.856    151.262   163.867        315.129           315.985 
    csa_tree_P.._18_10_groupi   104     0.856    151.061   165.460        316.520           317.376 
    csa_tree_P.._18_10_groupi   104     0.855    147.900   158.376        306.276           307.131 
    csa_tree_P.._18_10_groupi   104     0.855    149.006   159.278        308.284           309.139 
    csa_tree_P.._18_10_groupi   104     0.855    148.908   160.438        309.346           310.201 
    csa_tree_P.._18_10_groupi   104     0.854    149.586   161.864        311.450           312.305 
    csa_tree_P.._18_10_groupi   104     0.854    140.903   154.025        294.928           295.782 
    csa_tree_P.._18_10_groupi   104     0.854    145.236   156.566        301.801           302.655 
    csa_tree_P.._18_10_groupi   104     0.854    145.681   154.690        300.371           301.225 
    csa_tree_P.._18_10_groupi   104     0.851    148.275   160.593        308.868           309.720 
    csa_tree_P.._18_10_groupi   106     0.841    148.978   167.784        316.762           317.603 
    PUs[15].U_.._S0_add_18_10    66     0.823     65.006    91.391        156.397           157.220 
    PUs[0].U_F.._S0_add_18_10    66     0.796     53.138    74.180        127.318           128.114 
    PUs[3].U_F..S15_add_41_16    95     0.726     67.293    83.760        151.054           151.780 
    PUs[12].U_..S15_add_41_16    95     0.717     64.269    80.676        144.946           145.663 
    PUs[15].U_..S15_add_41_16    95     0.717     68.504    85.277        153.781           154.498 
    PUs[0].U_F..S15_add_41_16    94     0.716     64.870    81.872        146.742           147.459 
    PUs[8].U_F..S15_add_41_16    94     0.710     62.929    79.323        142.251           142.961 
    PUs[5].U_F..S15_add_41_16    94     0.706     64.601    81.869        146.470           147.177 
    PUs[0].U_F.._S0_add_18_10    66     0.706     51.361    70.295        121.656           122.362 
    PUs[10].U_..S15_add_41_16    94     0.701     67.854    88.226        156.080           156.781 
    PUs[6].U_F..S15_add_41_16    94     0.700     67.700    86.599        154.299           154.999 
    PUs[7].U_F..S15_add_41_16    94     0.699     58.307    77.363        135.670           136.369 
    PUs[4].U_F..S15_add_41_16    94     0.698     64.590    83.789        148.379           149.078 
    PUs[16].U_..S15_add_41_16    93     0.697     66.815    83.220        150.035           150.732 
    PUs[9].U_F..S15_add_41_16    94     0.697     65.827    81.761        147.588           148.285 
    PUs[14].U_..S15_add_41_16    94     0.696     67.846    86.636        154.481           155.177 
    PUs[16].U_.._S0_add_18_10    66     0.695     54.366    73.106        127.472           128.167 
    PUs[11].U_..S15_add_41_16    94     0.695     65.245    84.012        149.257           149.952 
    PUs[2].U_F..S15_add_41_16    94     0.693     67.567    86.619        154.186           154.878 
    PUs[1].U_F..S15_add_41_16    94     0.692     65.714    84.953        150.667           151.360 
    PUs[13].U_..S15_add_41_16    94     0.691     66.404    84.770        151.174           151.865 
    csa_tree_P.._18_10_groupi    39     0.601     59.789    48.800        108.589           109.191 
    csa_tree_P.._18_10_groupi    39     0.594     59.225    47.151        106.377           106.971 
    csa_tree_P.._18_10_groupi    39     0.578     62.042    48.618        110.659           111.238 
    csa_tree_P.._18_10_groupi    39     0.575     58.853    47.260        106.113           106.688 
    csa_tree_P.._18_10_groupi    43     0.574     58.535    48.441        106.976           107.550 
    csa_tree_P.._18_10_groupi    39     0.572     61.652    48.544        110.196           110.768 
    csa_tree_P.._18_10_groupi    43     0.571     63.163    51.898        115.061           115.632 
    csa_tree_P.._18_10_groupi    43     0.570     60.553    48.124        108.677           109.247 
    PUs[4].U_F..S11_add_41_16    63     0.569     46.326    54.718        101.044           101.613 
    csa_tree_P.._18_10_groupi    39     0.567     57.655    44.636        102.292           102.859 
    csa_tree_P.._18_10_groupi    43     0.566     63.594    52.391        115.985           116.551 
    csa_tree_P.._18_10_groupi    39     0.566     58.854    46.285        105.139           105.705 
    PUs[11].U_..S11_add_41_16    63     0.564     45.206    54.462         99.669           100.233 
    csa_tree_P.._18_10_groupi    39     0.560     58.676    46.317        104.993           105.553 
