============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 24 2019  03:39:52 am
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
--------------------------------------------------------------------------------
HS65_LSS_XNOR2X12         496    3352.960      6.652     947.300    CORE65LPSVT 
HS65_LSS_XNOR2X18          66     686.400      1.466     125.151    CORE65LPSVT 
HS65_LSS_XNOR2X24           8      99.840      0.240      19.519    CORE65LPSVT 
HS65_LSS_XNOR2X3            2       8.320      0.007       0.760    CORE65LPSVT 
HS65_LSS_XNOR2X6         2073    8623.680     14.095    1420.117    CORE65LPSVT 
HS65_LSS_XNOR3X2            2      16.640      0.009       1.137    CORE65LPSVT 
HS65_LSS_XOR2X12           41     255.840      0.514      95.730    CORE65LPSVT 
HS65_LSS_XOR2X17            2      19.760      0.043       2.847    CORE65LPSVT 
HS65_LSS_XOR2X6          1556    6472.960      9.288    1392.577    CORE65LPSVT 
HS65_LSS_XOR3X4            66     686.400      0.667      47.181    CORE65LPSVT 
HS65_LS_AND2ABX18           6      24.960      0.050       4.691    CORE65LPSVT 
HS65_LS_AND2ABX27           3      17.160      0.038       2.401    CORE65LPSVT 
HS65_LS_AND2ABX35           2      12.480      0.037       5.834    CORE65LPSVT 
HS65_LS_AND2ABX9            2       7.280      0.009       0.953    CORE65LPSVT 
HS65_LS_AND2X18           460    1674.400      4.107     411.140    CORE65LPSVT 
HS65_LS_AND2X27           124     709.280      1.793     134.838    CORE65LPSVT 
HS65_LS_AND2X35            45     280.800      0.875      63.260    CORE65LPSVT 
HS65_LS_AND2X4            494    1284.400      1.096     213.399    CORE65LPSVT 
HS65_LS_AND2X9            456    1422.720      2.001     271.920    CORE65LPSVT 
HS65_LS_AND3ABCX9           1       4.680      0.004       0.000    CORE65LPSVT 
HS65_LS_AND3X18             1       4.680      0.016       0.733    CORE65LPSVT 
HS65_LS_AND3X9              2       7.280      0.007       0.092    CORE65LPSVT 
HS65_LS_AO12X18            35     145.600      0.367      64.880    CORE65LPSVT 
HS65_LS_AO12X27             1       6.760      0.015       1.529    CORE65LPSVT 
HS65_LS_AO12X35            25     195.000      0.558      61.590    CORE65LPSVT 
HS65_LS_AO12X9            142     516.880      0.671      79.305    CORE65LPSVT 
HS65_LS_AO222X18         3018   20401.680     31.869    7595.867    CORE65LPSVT 
HS65_LS_AO222X4          6474   37031.280     18.618    6485.078    CORE65LPSVT 
HS65_LS_AO222X9           326    2034.240      1.593     466.646    CORE65LPSVT 
HS65_LS_AO22X9             19      79.040      0.092      10.466    CORE65LPSVT 
HS65_LS_AO32X18             9      51.480      0.090      22.884    CORE65LPSVT 
HS65_LS_AOI112X9            2      12.480      0.020       1.053    CORE65LPSVT 
HS65_LS_AOI12X12           95     494.000      0.747      93.880    CORE65LPSVT 
HS65_LS_AOI12X17          375    2535.000      5.411     595.522    CORE65LPSVT 
HS65_LS_AOI12X2            96     249.600      0.101      12.407    CORE65LPSVT 
HS65_LS_AOI12X23          203    1794.520      3.962     405.315    CORE65LPSVT 
HS65_LS_AOI12X35           67     871.000      2.042     156.442    CORE65LPSVT 
HS65_LS_AOI12X46            9     154.440      0.317      27.747    CORE65LPSVT 
HS65_LS_AOI12X6            45     140.400      0.156      24.598    CORE65LPSVT 
HS65_LS_AOI13X10            9      56.160      0.135       6.543    CORE65LPSVT 
