============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 27 2019  03:04:18 am
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                                       Module                   Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------------------------
FME_PIPE_8                                                                                 206377    1276812    494058      1770870 
  U_inter                                        interpolation_bit_width10                  73454     421559    147450       569010 
    PUs[16].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5           116        637       191          828 
    PUs[14].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_3           116        637       191          828 
    PUs[20].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_9           117        629       192          821 
    PUs[19].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_8           117        629       192          821 
    PUs[18].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_7           117        629       192          821 
    PUs[17].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_6           117        620       192          812 
    PUs[15].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_4           116        616       191          807 
    PUs[11].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2             116        615       191          806 
    PUs[12].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1           115        600       189          789 
    PUs[13].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_2           108        586       174          760 
    PUs[21].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_5363         111        549       210          759 
    PUs[4].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370_4       109        576       173          749 
    PUs[5].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370_5       108        576       171          747 
    PUs[2].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370_2       108        576       171          747 
    PUs[1].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370_1       108        576       171          747 
    PUs[10].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_5370_10      109        573       173          745 
    PUs[9].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370_9       109        573       173          745 
    PUs[3].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370_3       108        569       171          741 
    PUs[7].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370_7       108        567       171          738 
    PUs[8].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370_8       108        564       171          735 
    PUs[6].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370_6       108        564       171          735 
    PUs[19].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_8            103        567       165          732 
    PUs[17].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_6            101        564       164          728 
    PUs[16].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_5            101        564       164          728 
    PUs[13].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_2            101        557       164          721 
    PUs[14].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_3            100        551       161          712 
    PUs[9].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371_9      106        539       171          710 
    PUs[8].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371_8      106        539       171          710 
    PUs[1].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371_1      106        539       171          710 
    PUs[10].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5371_10     106        536       171          707 
    PUs[6].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371_6      106        536       171          707 
    PUs[3].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371_3      106        536       171          707 
    PUs[5].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371_5      106        535       171          706 
    PUs[4].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371_4      106        534       171          705 
    PUs[20].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_9            101        541       164          705 
    PUs[18].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_7            101        541       164          704 
    PUs[12].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_1            101        541       164          704 
    PUs[11].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2              101        541       164          704 
    PUs[15].U_F8_csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_2_4            101        539       164          702 
    PUs[7].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371_7      106        531       171          702 
    PUs[2].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371_2      106        529       171          700 
    PUs[0].U_F8_csa_tree_U_S26_add_18_10_groupi  csa_tree_U_S26_add_18_10_group_2_5371        106        529       171          700 
    PUs[0].U_F8_csa_tree_U_S6_add_18_10_groupi   csa_tree_U_S6_add_18_10_group_2_5370          88        527       138          665 
    PUs[31].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366_9     66        408       120          528 
    PUs[30].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366_8     66        408       120          528 
    PUs[29].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366_7     66        408       120          528 
    PUs[28].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366_6     66        408       120          528 
    PUs[27].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366_5     66        408       120          528 
    PUs[26].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366_4     66        408       120          528 
    PUs[25].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366_3     66        408       120          528 
    PUs[24].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366_2     66        408       120          528 
    PUs[23].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366_1     66        408       120          528 
    PUs[22].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_1_5366       66        408       120          528 
    PUs[21].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5364         61        413       110          524 
    PUs[64].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_10      66        398       120          517 
    PUs[63].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_9       66        398       120          517 
    PUs[62].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_8       66        398       120          517 
    PUs[61].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_7       66        398       120          517 
    PUs[60].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_6       66        398       120          517 
    PUs[59].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_5       66        398       120          517 
    PUs[58].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_4       66        398       120          517 
    PUs[57].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_3       66        398       120          517 
    PUs[56].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_2       66        398       120          517 
    PUs[55].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381_1       66        398       120          517 
    PUs[54].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5381         66        398       120          517 
    PUs[53].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_10      66        398       120          517 
    PUs[52].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_9       66        398       120          517 
    PUs[51].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_8       66        398       120          517 
    PUs[50].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_7       66        398       120          517 
    PUs[49].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_6       66        398       120          517 
    PUs[48].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_5       66        398       120          517 
    PUs[47].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_4       66        398       120          517 
    PUs[46].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_3       66        398       120          517 
    PUs[45].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_2       66        398       120          517 
    PUs[44].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376_1       66        398       120          517 
    PUs[43].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5376         66        398       120          517 
    PUs[42].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5386_10      66        398       120          517 
    PUs[41].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5386_9       66        398       120          517 
    PUs[40].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5386_8       66        398       120          517 
    PUs[39].U_F8_csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_2_5386_7       66        398       120          517 
