============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 27 2019  03:04:58 am
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library     
----------------------------------------------------------------------------------
HS65_LSS_XNOR2X12          81      547.560      1.140     111.607    CORE65LPSVT  
HS65_LSS_XNOR2X18          54      561.600      1.193     167.106    CORE65LPSVT  
HS65_LSS_XNOR2X24           1       12.480      0.031       4.295    CORE65LPSVT  
HS65_LSS_XNOR2X3           34      141.440      0.124      19.857    CORE65LPSVT  
HS65_LSS_XNOR2X6         2769    11519.040     19.003    2150.040    CORE65LPSVT  
HS65_LSS_XOR2X12            8       49.920      0.105      13.347    CORE65LPSVT  
HS65_LSS_XOR2X17           11      108.680      0.230      49.976    CORE65LPSVT  
HS65_LSS_XOR2X3             7       29.120      0.024       6.358    CORE65LPSVT  
HS65_LSS_XOR2X6          3187    13257.920     18.700    3536.808    CORE65LPSVT  
HS65_LSS_XOR3X2             1        7.800      0.005       0.846    CORE65LPSVT  
HS65_LSS_XOR3X4           130     1352.000      1.315     135.436    CORE65LPSVT  
HS65_LS_AND2ABX18           7       29.120      0.055       0.219    CORE65LPSVT  
HS65_LS_AND2ABX27           2       11.440      0.025       0.678    CORE65LPSVT  
HS65_LS_AND2ABX35           4       24.960      0.064       0.000    CORE65LPSVT  
HS65_LS_AND2ABX9           10       36.400      0.042       2.883    CORE65LPSVT  
HS65_LS_AND2X18           765     2784.600      6.906     804.450    CORE65LPSVT  
HS65_LS_AND2X27           187     1069.640      2.678     272.980    CORE65LPSVT  
HS65_LS_AND2X35            71      443.040      1.470     163.498    CORE65LPSVT  
HS65_LS_AND2X4           1328     3452.800      2.702     614.784    CORE65LPSVT  
HS65_LS_AND2X9            466     1453.920      2.017     337.677    CORE65LPSVT  
HS65_LS_AO112X18            1        4.680      0.010       1.133    CORE65LPSVT  
HS65_LS_AO112X9             2        8.320      0.009       1.533    CORE65LPSVT  
HS65_LS_AO12X18            83      345.280      0.881     143.814    CORE65LPSVT  
HS65_LS_AO12X27             2       13.520      0.035       4.818    CORE65LPSVT  
HS65_LS_AO12X35             1        7.800      0.022       4.759    CORE65LPSVT  
HS65_LS_AO12X9            347     1263.080      1.580     274.623    CORE65LPSVT  
HS65_LS_AO212X4           278     1301.040      0.992     315.188    CORE65LPSVT  
HS65_LS_AO222X18           49      331.240      0.524     111.081    CORE65LPSVT  
HS65_LS_AO222X4         36005   205948.600    103.735   35471.248    CORE65LPSVT  
HS65_LS_AO222X9           145      904.800      0.711     202.757    CORE65LPSVT  
HS65_LS_AO22X18             1        5.720      0.011       0.980    CORE65LPSVT  
HS65_LS_AO22X9            127      528.320      0.596     128.759    CORE65LPSVT  
HS65_LS_AOI112X13           1        8.840      0.008       2.045    CORE65LPSVT  
HS65_LS_AOI12X12          486     2527.200      4.313     633.166    CORE65LPSVT  
HS65_LS_AOI12X17          326     2203.760      4.300     606.945    CORE65LPSVT  
HS65_LS_AOI12X2           184      478.400      0.205      34.713    CORE65LPSVT  
HS65_LS_AOI12X23          213     1882.920      3.959     534.793    CORE65LPSVT  
HS65_LS_AOI12X35           87     1131.000      2.444     288.363    CORE65LPSVT  
HS65_LS_AOI12X46           24      411.840      0.886      81.368    CORE65LPSVT  
HS65_LS_AOI12X6            44      137.280      0.157      21.676    CORE65LPSVT  
HS65_LS_AOI13X10           78      486.720      0.823     102.117    CORE65LPSVT  
HS65_LS_AOI13X15           40      353.600      0.788      70.218    CORE65LPSVT  
HS65_LS_AOI13X20            3       35.880      0.092       6.179    CORE65LPSVT  
HS65_LS_AOI13X5            38      138.320      0.113      26.472    CORE65LPSVT  
HS65_LS_AOI21X12           56      291.200      0.517      88.030    CORE65LPSVT  
HS65_LS_AOI21X17            2       13.520      0.024       1.964    CORE65LPSVT  
HS65_LS_AOI21X2             2        5.200      0.002       0.381    CORE65LPSVT  
HS65_LS_AOI21X23           15      132.600      0.268      27.211    CORE65LPSVT  
HS65_LS_AOI21X35           75      975.000      2.037     171.824    CORE65LPSVT  
HS65_LS_AOI21X6            13       40.560      0.026       5.102    CORE65LPSVT  
HS65_LS_AOI22X4            12       43.680      0.033      10.054    CORE65LPSVT  
HS65_LS_AOI22X6          1273     4633.720      4.398    1224.736    CORE65LPSVT  
HS65_LS_AOI31X10            7       43.680      0.049       5.390    CORE65LPSVT  
HS65_LS_AOI31X15            3       26.520      0.058       4.251    CORE65LPSVT  
HS65_LS_AOI31X20            1       11.960      0.026       1.802    CORE65LPSVT  
HS65_LS_AOI31X31            1       17.160      0.039       3.499    CORE65LPSVT  
HS65_LS_AOI31X5            29      105.560      0.090       9.159    CORE65LPSVT  
HS65_LS_AOI32X5            44      183.040      0.106      29.266    CORE65LPSVT  
HS65_LS_BFX106             29      346.840      1.658     156.147    CORE65LPSVT  
HS65_LS_BFX142            145     2262.000     11.263    1007.492    CORE65LPSVT  
HS65_LS_BFX18              38      118.560      0.307      48.431    CORE65LPSVT  
HS65_LS_BFX213             25      559.000      2.965     294.090    CORE65LPSVT  
HS65_LS_BFX27             119      433.160      1.506     156.462    CORE65LPSVT  
HS65_LS_BFX284              2       60.320      0.334      35.906    CORE65LPSVT  
HS65_LS_BFX35               1        5.200      0.017       2.228    CORE65LPSVT  
HS65_LS_BFX44              11       62.920      0.245      30.151    CORE65LPSVT  
HS65_LS_BFX53              68      424.320      1.838     153.435    CORE65LPSVT  
HS65_LS_BFX62              47      366.600      1.520     148.274    CORE65LPSVT  
HS65_LS_BFX71              88      732.160      3.274     332.056    CORE65LPSVT  
HS65_LS_BFX9              218      453.440      0.760     123.305    CORE65LPSVT  
