============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 23 2020  03:00:19 am
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

   Instance               Module             Cells  Cell Area  Net Area   Total Area 
-------------------------------------------------------------------------------------
filter_regular                              283556    1723765    703109      2426874 
  S0[16].U0    filter_6taps_bit_width10_16    1990      11516      4464        15980 
  S0[28].U0    filter_6taps_bit_width10_28    1999      11469      4496        15965 
  S0[39].U0    filter_6taps_bit_width10_39    2000      11461      4498        15959 
  S0[17].U0    filter_6taps_bit_width10_17    2003      11469      4487        15956 
  S0[29].U0    filter_6taps_bit_width10_29    1991      11488      4467        15955 
  S0[30].U0    filter_6taps_bit_width10_30    2003      11466      4487        15953 
  S0[20].U0    filter_6taps_bit_width10_20    2000      11463      4482        15945 
  S0[119].U0   filter_6taps_bit_width10_119   1990      11483      4462        15945 
  S0[116].U0   filter_6taps_bit_width10_116   1990      11483      4462        15945 
  S0[55].U0    filter_6taps_bit_width10_55    1990      11482      4462        15944 
  S0[35].U0    filter_6taps_bit_width10_35    1992      11478      4465        15944 
  S0[15].U0    filter_6taps_bit_width10_15    2000      11444      4498        15942 
  S0[70].U0    filter_6taps_bit_width10_70    1990      11480      4462        15942 
  S0[3].U0     filter_6taps_bit_width10_3     2000      11469      4472        15940 
  S0[58].U0    filter_6taps_bit_width10_58    1988      11481      4460        15940 
  S0[113].U0   filter_6taps_bit_width10_113   1989      11478      4461        15940 
  S0[110].U0   filter_6taps_bit_width10_110   1989      11477      4461        15938 
  S0[65].U0    filter_6taps_bit_width10_65    2005      11445      4491        15936 
  S0[23].U0    filter_6taps_bit_width10_23    2001      11436      4499        15935 
  S0[33].U0    filter_6taps_bit_width10_33    2003      11447      4487        15934 
  S0[96].U0    filter_6taps_bit_width10_96    2005      11436      4496        15932 
  S0[24].U0    filter_6taps_bit_width10_24    1987      11473      4458        15932 
  S0[73].U0    filter_6taps_bit_width10_73    1989      11470      4461        15931 
  S0[36].U0    filter_6taps_bit_width10_36    2003      11441      4487        15928 
  S0[59].U0    filter_6taps_bit_width10_59    2001      11435      4489        15924 
  S0[75].U0    filter_6taps_bit_width10_75    2005      11433      4491        15924 
  S0[122].U0   filter_6taps_bit_width10_122   1989      11462      4461        15923 
  S0[126].U0   filter_6taps_bit_width10_126   2011      11398      4523        15921 
  S0[41].U0    filter_6taps_bit_width10_41    2005      11428      4490        15918 
  S0[48].U0    filter_6taps_bit_width10_48    1998      11450      4466        15916 
  S0[105].U0   filter_6taps_bit_width10_105   2003      11425      4487        15913 
  S0[68].U0    filter_6taps_bit_width10_68    2003      11421      4487        15908 
  S0[25].U0    filter_6taps_bit_width10_25    2004      11418      4489        15906 
  S0[22].U0    filter_6taps_bit_width10_22    1989      11444      4461        15905 
  S0[38].U0    filter_6taps_bit_width10_38    1989      11443      4461        15904 
  S0[11].U0    filter_6taps_bit_width10_11    2000      11418      4485        15903 
  S0[85].U0    filter_6taps_bit_width10_85    1987      11444      4458        15902 
  S0[43].U0    filter_6taps_bit_width10_43    1986      11445      4457        15902 
  S0[9].U0     filter_6taps_bit_width10_9     2016      11392      4509        15902 
  S0[50].U0    filter_6taps_bit_width10_50    2003      11413      4487        15900 
  S0[8].U0     filter_6taps_bit_width10_8     1988      11440      4460        15900 
  S0[53].U0    filter_6taps_bit_width10_53    2003      11412      4487        15900 
  S0[40].U0    filter_6taps_bit_width10_40    1988      11438      4461        15899 
  S0[117].U0   filter_6taps_bit_width10_117   2003      11410      4487        15897 
  S0[95].U0    filter_6taps_bit_width10_95    1988      11436      4461        15897 
  S0[114].U0   filter_6taps_bit_width10_114   2003      11409      4487        15896 
  S0[111].U0   filter_6taps_bit_width10_111   2003      11409      4487        15896 
  S0[108].U0   filter_6taps_bit_width10_108   2003      11409      4487        15896 
  S0[94].U0    filter_6taps_bit_width10_94    1990      11423      4473        15896 
  S0[44].U0    filter_6taps_bit_width10_44    1990      11430      4464        15894 
  S0[6].U0     filter_6taps_bit_width10_6     2003      11403      4487        15890 
  S0[61].U0    filter_6taps_bit_width10_61    2003      11402      4487        15889 
  S0[102].U0   filter_6taps_bit_width10_102   1989      11423      4463        15886 
  S0[12].U0    filter_6taps_bit_width10_12    2004      11397      4489        15886 
  S0[91].U0    filter_6taps_bit_width10_91    2005      11394      4489        15883 
  S0[52].U0    filter_6taps_bit_width10_52    1986      11424      4457        15881 
  S0[81].U0    filter_6taps_bit_width10_81    1983      11430      4451        15881 
  S0[32].U0    filter_6taps_bit_width10_32    1985      11426      4454        15881 
  S0[42].U0    filter_6taps_bit_width10_42    1988      11433      4447        15880 
  S0[71].U0    filter_6taps_bit_width10_71    2003      11393      4487        15880 
  S0[93].U0    filter_6taps_bit_width10_93    1987      11418      4458        15876 
  S0[10].U0    filter_6taps_bit_width10_10    2005      11399      4477        15876 
  S0[56].U0    filter_6taps_bit_width10_56    2003      11389      4487        15876 
  S0[120].U0   filter_6taps_bit_width10_120   2003      11381      4487        15868 
  S0[45].U0    filter_6taps_bit_width10_45    2004      11379      4489        15868 
  S0[104].U0   filter_6taps_bit_width10_104   1990      11402      4464        15866 
  S0[14].U0    filter_6taps_bit_width10_14    1983      11412      4452        15865 
  S0[5].U0     filter_6taps_bit_width10_5     1989      11403      4461        15864 
  S0[31].U0    filter_6taps_bit_width10_31    1986      11415      4444        15859 
  S0[19].U0    filter_6taps_bit_width10_19    1987      11400      4457        15857 
  S0[107].U0   filter_6taps_bit_width10_107   1987      11399      4458        15857 
  S0[1].U0     filter_6taps_bit_width10_1     1990      11401      4453        15854 
  S0[18].U0    filter_6taps_bit_width10_18    1987      11408      4446        15853 
  S0[90].U0    filter_6taps_bit_width10_90    1991      11387      4465        15852 
  S0[49].U0    filter_6taps_bit_width10_49    1987      11392      4460        15852 
  S0[87].U0    filter_6taps_bit_width10_87    1984      11392      4454        15846 
  S0[26].U0    filter_6taps_bit_width10_26    1988      11397      4449        15846 
