============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 23 2020  03:00:20 am
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                                 Module                    Cells  Cell Area  Net Area   Total Area 
-------------------------------------------------------------------------------------------------------------------------
filter_regular                                                                  283556    1723765    703109      2426874 
  S0[16].U0                         filter_6taps_bit_width10_16                   1990      11516      4464        15980 
    csa_tree_U_S63_add_90_9_groupi  csa_tree_U_S63_add_90_9_group_1609_1_4454       56        423       108          532 
    csa_tree_U_S65_add_90_9_groupi  csa_tree_U_S65_add_90_9_group_133_1_4455        59        390       115          505 
    csa_tree_U_S35_add_90_9_groupi  csa_tree_U_S35_add_90_9_group_147_1_4449        53        378       107          485 
    csa_tree_U_S55_add_90_9_groupi  csa_tree_U_S55_add_90_9_group_138_1_4453        49        378        99          477 
    csa_tree_U_S45_add_90_9_groupi  csa_tree_U_S45_add_90_9_group_143_1_4451        49        349        97          447 
    csa_tree_U_S43_add_90_9_groupi  csa_tree_U_S43_add_90_9_group_1619_1_4450       42        331        75          406 
    csa_tree_U_S12_add_90_9_groupi  csa_tree_U_S12_add_90_9_group_155_1_4446        37        322        75          397 
    csa_tree_U_S23_add_90_9_groupi  csa_tree_U_S23_add_90_9_group_1627_4429_1       33        323        60          383 
    csa_tree_U_S_40_add_90_9_groupi csa_tree_U_S_40_add_90_9_group_111_4443_1       68        255       125          380 
    csa_tree_U_S94_add_90_9_groupi  csa_tree_U_S94_add_90_9_group_117_1_4458        39        291        71          361 
    csa_tree_U_S_24_add_90_9_groupi csa_tree_U_S_24_add_90_9_group_113_1_4459       38        291        68          359 
    csa_tree_U_S84_add_90_9_groupi  csa_tree_U_S84_add_90_9_group_119_1_4457        44        282        76          358 
    csa_tree_U_S53_add_90_9_groupi  csa_tree_U_S53_add_90_9_group_1614_1_4452       33        290        56          346 
    csa_tree_U_S13_add_90_9_groupi  csa_tree_U_S13_add_90_9_group_153_1_4447        37        278        65          343 
    csa_tree_U_S25_add_90_9_groupi  csa_tree_U_S25_add_90_9_group_149_1_4448        33        230        60          290 
    csa_tree_U_S2_add_90_9_groupi   csa_tree_U_S2_add_90_9_group_165_4426_1         27        227        50          276 
    csa_tree_U_S_14_add_90_9_groupi csa_tree_U_S_14_add_90_9_group_115_4441_1       27        221        50          271 
    csa_tree_U_S74_add_90_9_groupi  csa_tree_U_S74_add_90_9_group_121_1_4456        27        222        48          270 
    U_S4_add_90_9                   add_signed_343_647                              24        131        31          161 
    U_S14_add_90_9                  add_signed_333_9630                             23        130        29          159 
    U_S_15_add_63_8                 add_signed_262_702                              21        131        26          157 
    U_S85_add_63_8                  add_signed_262_704                              21        131        26          157 
    U_S_25_add_63_8                 add_signed_262_701                              19        129        24          153 
    U_S95_add_63_8                  add_signed_262_703                              19        127        24          151 
    U_S_44_add_63_8                 add_signed_262_699                              20        125        25          150 
    U_S_35_add_63_8                 add_signed_262_700                              19        123        24          146 
  S0[28].U0                         filter_6taps_bit_width10_28                   1999      11469      4496        15965 
    csa_tree_U_S63_add_90_9_groupi  csa_tree_U_S63_add_90_9_group_1609_4364         58        431       113          544 
    csa_tree_U_S65_add_90_9_groupi  csa_tree_U_S65_add_90_9_group_133_4365          59        378       115          493 
    csa_tree_U_S35_add_90_9_groupi  csa_tree_U_S35_add_90_9_group_147_4359          53        378       107          485 
    csa_tree_U_S55_add_90_9_groupi  csa_tree_U_S55_add_90_9_group_138_4363          49        376        99          475 
    csa_tree_U_S45_add_90_9_groupi  csa_tree_U_S45_add_90_9_group_143_4361          49        355        97          452 
    csa_tree_U_S43_add_90_9_groupi  csa_tree_U_S43_add_90_9_group_1619_4360         45        341        81          422 
    csa_tree_U_S12_add_90_9_groupi  csa_tree_U_S12_add_90_9_group_155_4355          38        330        77          407 
    csa_tree_U_S23_add_90_9_groupi  csa_tree_U_S23_add_90_9_group_1627_4357         33        323        60          383 
    csa_tree_U_S_40_add_90_9_groupi csa_tree_U_S_40_add_90_9_group_111_4371         68        255       125          380 
    csa_tree_U_S94_add_90_9_groupi  csa_tree_U_S94_add_90_9_group_117_4368          39        289        71          360 
    csa_tree_U_S84_add_90_9_groupi  csa_tree_U_S84_add_90_9_group_119_4367          44        281        76          357 
    csa_tree_U_S_24_add_90_9_groupi csa_tree_U_S_24_add_90_9_group_113_4370         38        288        68          355 
    csa_tree_U_S53_add_90_9_groupi  csa_tree_U_S53_add_90_9_group_1614_4362         33        295        56          351 
    csa_tree_U_S13_add_90_9_groupi  csa_tree_U_S13_add_90_9_group_153_4356          37        278        65          343 
    csa_tree_U_S25_add_90_9_groupi  csa_tree_U_S25_add_90_9_group_149_4358          33        230        60          290 
    csa_tree_U_S2_add_90_9_groupi   csa_tree_U_S2_add_90_9_group_165_4354           27        226        50          275 
    csa_tree_U_S_14_add_90_9_groupi csa_tree_U_S_14_add_90_9_group_115_4369         27        221        50          271 
    csa_tree_U_S74_add_90_9_groupi  csa_tree_U_S74_add_90_9_group_121_4366          27        222        48          270 
    U_S4_add_90_9                   add_signed_332                                  24        131        31          161 
    U_S14_add_90_9                  add_signed_322                                  23        130        29          159 
    U_S_15_add_63_8                 add_signed_259_701                              21        129        26          155 
    U_S85_add_63_8                  add_signed_259                                  21        129        26          155 
    U_S_25_add_63_8                 add_signed_259_700                              19        131        24          154 
    U_S95_add_63_8                  add_signed_259_702                              19        129        24          153 
    U_S_44_add_63_8                 add_signed_259_698                              20        125        25          150 
    U_S_35_add_63_8                 add_signed_259_699                              19        123        24          146 
  S0[39].U0                         filter_6taps_bit_width10_39                   2000      11461      4498        15959 
    csa_tree_U_S63_add_90_9_groupi  csa_tree_U_S63_add_90_9_group_1609_4400         58        435       113          548 
    csa_tree_U_S65_add_90_9_groupi  csa_tree_U_S65_add_90_9_group_133_4401          59        378       115          493 
    csa_tree_U_S35_add_90_9_groupi  csa_tree_U_S35_add_90_9_group_147_4395          53        372       107          480 
    csa_tree_U_S55_add_90_9_groupi  csa_tree_U_S55_add_90_9_group_138_4399          49        376        99          475 
    csa_tree_U_S45_add_90_9_groupi  csa_tree_U_S45_add_90_9_group_143_4397          49        355        97          452 
    csa_tree_U_S43_add_90_9_groupi  csa_tree_U_S43_add_90_9_group_1619_4396         45        341        81          422 
    csa_tree_U_S12_add_90_9_groupi  csa_tree_U_S12_add_90_9_group_155_4391          38        330        77          407 
    csa_tree_U_S23_add_90_9_groupi  csa_tree_U_S23_add_90_9_group_1627_4393         33        329        60          389 
    csa_tree_U_S_40_add_90_9_groupi csa_tree_U_S_40_add_90_9_group_111_4407         68        255       125          380 
    csa_tree_U_S94_add_90_9_groupi  csa_tree_U_S94_add_90_9_group_117_4404          39        289        71          360 
    csa_tree_U_S84_add_90_9_groupi  csa_tree_U_S84_add_90_9_group_119_4403          44        282        76          358 
    csa_tree_U_S_24_add_90_9_groupi csa_tree_U_S_24_add_90_9_group_113_4406         38        288        68          355 
    csa_tree_U_S53_add_90_9_groupi  csa_tree_U_S53_add_90_9_group_1614_4398         33        296        56          352 
    csa_tree_U_S13_add_90_9_groupi  csa_tree_U_S13_add_90_9_group_153_4392          37        278        65          343 
    csa_tree_U_S25_add_90_9_groupi  csa_tree_U_S25_add_90_9_group_149_4394          33        230        60          290 
    csa_tree_U_S2_add_90_9_groupi   csa_tree_U_S2_add_90_9_group_165_4390           27        226        50          275 
    csa_tree_U_S_14_add_90_9_groupi csa_tree_U_S_14_add_90_9_group_115_4405         27        221        50          271 
    csa_tree_U_S74_add_90_9_groupi  csa_tree_U_S74_add_90_9_group_121_4402          27        222        48          270 
    U_S4_add_90_9                   add_signed_350                                  24        131        31          161 
    U_S14_add_90_9                  add_signed_340                                  23        130        29          159 
    U_S_15_add_63_8                 add_signed_277_715                              21        131        26          157 
    U_S85_add_63_8                  add_signed_277                                  21        131        26          157 
