============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 23 2020  03:01:01 am
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library    
---------------------------------------------------------------------------------
HS65_LSS_XNOR2X12          12       81.120      0.159       8.007    CORE65LPSVT 
HS65_LSS_XNOR2X3           51      212.160      0.184       7.280    CORE65LPSVT 
HS65_LSS_XNOR2X6         4689    19506.240     31.607    1104.941    CORE65LPSVT 
HS65_LSS_XNOR3X12           1       24.440      0.027       1.097    CORE65LPSVT 
HS65_LSS_XNOR3X2           64      532.480      0.292      10.502    CORE65LPSVT 
HS65_LSS_XNOR3X4           21      207.480      0.185       4.892    CORE65LPSVT 
HS65_LSS_XOR2X12           36      224.640      0.480      35.904    CORE65LPSVT 
HS65_LSS_XOR2X3            42      174.720      0.142      11.171    CORE65LPSVT 
HS65_LSS_XOR2X6          6392    26590.720     37.499    1932.564    CORE65LPSVT 
HS65_LSS_XOR3X12            2       50.960      0.063       2.609    CORE65LPSVT 
HS65_LSS_XOR3X2           919     7168.200      5.040     174.800    CORE65LPSVT 
HS65_LSS_XOR3X4            58      603.200      0.603      19.007    CORE65LPSVT 
HS65_LSS_XOR3X8             2       39.520      0.036       1.377    CORE65LPSVT 
HS65_LS_AND2ABX18          18       74.880      0.168       4.855    CORE65LPSVT 
HS65_LS_AND2ABX27           1        5.720      0.014       0.231    CORE65LPSVT 
HS65_LS_AND2ABX9          111      404.040      0.523      22.261    CORE65LPSVT 
HS65_LS_AND2X18           610     2220.400      5.754     134.340    CORE65LPSVT 
HS65_LS_AND2X27           166      949.520      2.225      57.527    CORE65LPSVT 
HS65_LS_AND2X35             4       24.960      0.076       2.018    CORE65LPSVT 
HS65_LS_AND2X4           2840     7384.000      6.355     391.320    CORE65LPSVT 
HS65_LS_AND2X9            684     2134.080      3.097     117.192    CORE65LPSVT 
HS65_LS_AND3X18             3       14.040      0.035       0.722    CORE65LPSVT 
HS65_LS_AND3X27             7       47.320      0.124       2.514    CORE65LPSVT 
HS65_LS_AND3X35             1        7.800      0.025       0.599    CORE65LPSVT 
HS65_LS_AND3X9             17       61.880      0.092       2.669    CORE65LPSVT 
HS65_LS_AO112X9           134      557.440      0.535      26.320    CORE65LPSVT 
HS65_LS_AO12X18          1117     4646.720     12.499     295.120    CORE65LPSVT 
HS65_LS_AO12X27            53      358.280      0.928      21.545    CORE65LPSVT 
HS65_LS_AO12X35            39      304.200      0.901      22.085    CORE65LPSVT 
HS65_LS_AO12X9           3492    12710.880     17.025     573.251    CORE65LPSVT 
HS65_LS_AO22X9            296     1231.360      1.281      97.635    CORE65LPSVT 
HS65_LS_AO31X18             9       46.800      0.106       3.924    CORE65LPSVT 
HS65_LS_AO31X9            223      927.680      1.087      38.511    CORE65LPSVT 
HS65_LS_AO32X4            939     4394.520      2.186     200.399    CORE65LPSVT 
HS65_LS_AOI12X12          108      561.600      1.072      20.593    CORE65LPSVT 
HS65_LS_AOI12X17           84      567.840      1.283      22.538    CORE65LPSVT 
HS65_LS_AOI12X2          1289     3351.400      1.771      70.393    CORE65LPSVT 
HS65_LS_AOI12X6           517     1613.040      2.433      49.156    CORE65LPSVT 
HS65_LS_AOI13X10            9       56.160      0.063       2.170    CORE65LPSVT 
HS65_LS_AOI13X15            9       79.560      0.108       3.378    CORE65LPSVT 
HS65_LS_AOI211X13           2       17.680      0.026       0.376    CORE65LPSVT 
HS65_LS_AOI211X4           71      258.440      0.285       7.012    CORE65LPSVT 
HS65_LS_AOI21X12           76      395.200      0.656      17.186    CORE65LPSVT 
HS65_LS_AOI21X17           50      338.000      0.572       9.662    CORE65LPSVT 
HS65_LS_AOI21X23            2       17.680      0.040       1.106    CORE65LPSVT 
HS65_LS_AOI21X6           297      926.640      1.223      37.737    CORE65LPSVT 
HS65_LS_AOI22X11            1        6.240      0.009       0.164    CORE65LPSVT 
HS65_LS_AOI22X6           511     1860.040      1.565     130.165    CORE65LPSVT 
HS65_LS_BFX106            343     4102.280     19.602     333.444    CORE65LPSVT 
HS65_LS_BFX142            231     3603.600     17.848     310.265    CORE65LPSVT 
HS65_LS_BFX18             120      374.400      0.965      22.090    CORE65LPSVT 
HS65_LS_BFX2                1        2.080      0.002       0.055    CORE65LPSVT 
HS65_LS_BFX213            164     3667.040     19.324     310.543    CORE65LPSVT 
HS65_LS_BFX27             630     2293.200      7.971     157.191    CORE65LPSVT 
HS65_LS_BFX284              1       30.160      0.161       4.209    CORE65LPSVT 
HS65_LS_BFX35             166      863.200      2.888      53.017    CORE65LPSVT 
HS65_LS_BFX44             187     1069.640      4.168      98.075    CORE65LPSVT 
HS65_LS_BFX53             199     1241.760      5.362      98.104    CORE65LPSVT 
