============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 21 2020  10:52:48 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

   Instance               Module             Cells  Cell Area  Net Area   Total Area 
-------------------------------------------------------------------------------------
filter_regular                              249572    1496708    640496      2137204 
  S0[60].U0    filter_6taps_bit_width10_60    1744       9775      4033        13808 
  S0[83].U0    filter_6taps_bit_width10_83    1744       9773      4033        13807 
  S0[128].U0   filter_6taps_bit_width10_128   1742       9774      4032        13806 
  S0[74].U0    filter_6taps_bit_width10_74    1744       9773      4033        13806 
  S0[64].U0    filter_6taps_bit_width10_64    1744       9773      4033        13806 
  S0[44].U0    filter_6taps_bit_width10_44    1744       9773      4033        13806 
  S0[104].U0   filter_6taps_bit_width10_104   1743       9775      4030        13806 
  S0[90].U0    filter_6taps_bit_width10_90    1743       9775      4030        13806 
  S0[85].U0    filter_6taps_bit_width10_85    1743       9775      4030        13806 
  S0[125].U0   filter_6taps_bit_width10_125   1742       9774      4032        13806 
  S0[95].U0    filter_6taps_bit_width10_95    1743       9773      4032        13805 
  S0[101].U0   filter_6taps_bit_width10_101   1745       9770      4033        13803 
  S0[98].U0    filter_6taps_bit_width10_98    1745       9770      4033        13803 
  S0[87].U0    filter_6taps_bit_width10_87    1745       9770      4033        13803 
  S0[82].U0    filter_6taps_bit_width10_82    1745       9770      4033        13803 
  S0[79].U0    filter_6taps_bit_width10_79    1745       9770      4033        13803 
  S0[78].U0    filter_6taps_bit_width10_78    1745       9770      4033        13803 
  S0[49].U0    filter_6taps_bit_width10_49    1743       9771      4032        13803 
  S0[40].U0    filter_6taps_bit_width10_40    1743       9771      4032        13803 
  S0[29].U0    filter_6taps_bit_width10_29    1743       9771      4032        13803 
  S0[24].U0    filter_6taps_bit_width10_24    1743       9771      4032        13803 
  S0[16].U0    filter_6taps_bit_width10_16    1743       9771      4032        13803 
  S0[102].U0   filter_6taps_bit_width10_102   1742       9772      4031        13803 
  S0[81].U0    filter_6taps_bit_width10_81    1742       9772      4031        13803 
  S0[2].U0     filter_6taps_bit_width10_2     1742       9771      4031        13802 
  S0[103].U0   filter_6taps_bit_width10_103   1741       9773      4028        13802 
  S0[89].U0    filter_6taps_bit_width10_89    1741       9773      4028        13802 
  S0[84].U0    filter_6taps_bit_width10_84    1741       9773      4028        13802 
  S0[122].U0   filter_6taps_bit_width10_122   1742       9770      4031        13801 
  S0[119].U0   filter_6taps_bit_width10_119   1742       9770      4031        13801 
  S0[116].U0   filter_6taps_bit_width10_116   1742       9770      4031        13801 
  S0[113].U0   filter_6taps_bit_width10_113   1742       9770      4031        13801 
  S0[110].U0   filter_6taps_bit_width10_110   1742       9770      4031        13801 
  S0[107].U0   filter_6taps_bit_width10_107   1742       9770      4031        13801 
  S0[99].U0    filter_6taps_bit_width10_99    1742       9770      4031        13801 
  S0[93].U0    filter_6taps_bit_width10_93    1742       9770      4031        13801 
  S0[88].U0    filter_6taps_bit_width10_88    1742       9770      4031        13801 
  S0[80].U0    filter_6taps_bit_width10_80    1742       9770      4031        13801 
  S0[77].U0    filter_6taps_bit_width10_77    1742       9770      4031        13801 
  S0[73].U0    filter_6taps_bit_width10_73    1742       9770      4031        13801 
  S0[70].U0    filter_6taps_bit_width10_70    1742       9770      4031        13801 
  S0[67].U0    filter_6taps_bit_width10_67    1742       9770      4031        13801 
  S0[63].U0    filter_6taps_bit_width10_63    1742       9770      4031        13801 
  S0[58].U0    filter_6taps_bit_width10_58    1742       9770      4031        13801 
  S0[55].U0    filter_6taps_bit_width10_55    1742       9770      4031        13801 
  S0[52].U0    filter_6taps_bit_width10_52    1742       9770      4031        13801 
  S0[47].U0    filter_6taps_bit_width10_47    1742       9770      4031        13801 
