============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 20 2020  10:38:38 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                  Instance                                   Module                   Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------------------
filter_regular                                                                        76139     422866    162311       585177 
  S0[14].U0                                 filter_6taps_bit_width10_14                4391      23834      8864        32698 
    csa_tree_U_S63_add_90_9_groupi          csa_tree_U_S63_add_90_9_group_1609_335      160        929       301         1230 
    csa_tree_U_S65_add_90_9_groupi          csa_tree_U_S65_add_90_9_group_133_336       138        804       263         1068 
    csa_tree_U_S53_add_90_9_groupi          csa_tree_U_S53_add_90_9_group_1614_333      128        810       229         1039 
    csa_tree_U_S55_add_90_9_groupi          csa_tree_U_S55_add_90_9_group_138_334       130        770       260         1031 
    csa_tree_U_S_24_add_90_9_groupi         csa_tree_U_S_24_add_90_9_group_113_341      140        760       259         1019 
    csa_tree_U_S23_add_90_9_groupi          csa_tree_U_S23_add_90_9_group_1627_328      132        783       222         1005 
    csa_tree_U_S94_add_90_9_groupi          csa_tree_U_S94_add_90_9_group_117_339       144        721       268          989 
    csa_tree_U_S43_add_90_9_groupi          csa_tree_U_S43_add_90_9_group_1619_331      125        696       234          930 
    csa_tree_U_S35_add_90_9_groupi          csa_tree_U_S35_add_90_9_group_147_330        80        740       152          892 
    csa_tree_U_S12_add_90_9_groupi          csa_tree_U_S12_add_90_9_group_155_326       113        653       216          870 
    csa_tree_U_S2_add_90_9_groupi           csa_tree_U_S2_add_90_9_group_165_325         93        563       177          740 
    csa_tree_U_S45_add_90_9_groupi          csa_tree_U_S45_add_90_9_group_143_332        75        596       143          739 
    csa_tree_U_S13_add_90_9_groupi          csa_tree_U_S13_add_90_9_group_153_327       125        495       238          733 
