============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  11:55:42 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

   Instance               Module            Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------
filter_regular                              32974     199666     84499       284165 
  S0[16].U0    filter_6taps_bit_width10_16   1750       9862      4049        13911 
  S0[13].U0    filter_6taps_bit_width10_13   1749       9858      4049        13907 
  S0[0].U0     filter_6taps_bit_width10      1742       9862      4042        13904 
  S0[5].U0     filter_6taps_bit_width10_5    1746       9858      4045        13903 
  S0[6].U0     filter_6taps_bit_width10_6    1742       9859      4044        13903 
  S0[3].U0     filter_6taps_bit_width10_3    1742       9859      4044        13903 
  S0[4].U0     filter_6taps_bit_width10_4    1742       9860      4043        13903 
  S0[7].U0     filter_6taps_bit_width10_7    1745       9859      4042        13902 
  S0[11].U0    filter_6taps_bit_width10_11   1742       9858      4044        13901 
  S0[12].U0    filter_6taps_bit_width10_12   1742       9856      4044        13899 
  S0[15].U0    filter_6taps_bit_width10_15   1741       9856      4041        13897 
  S0[1].U0     filter_6taps_bit_width10_1    1741       9857      4034        13892 
  S0[10].U0    filter_6taps_bit_width10_10   1743       9856      4035        13891 
  S0[9].U0     filter_6taps_bit_width10_9    1743       9856      4035        13891 
  S0[8].U0     filter_6taps_bit_width10_8    1743       9856      4035        13891 
  S0[2].U0     filter_6taps_bit_width10_2    1742       9853      4030        13883 
  S0[14].U0    filter_6taps_bit_width10_14   1738       9852      4030        13882 
