============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 21 2020  09:15:15 am
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

   Instance               Module            Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------
filter_regular                              34316     208681     86824       295505 
  S0[9].U0     filter_6taps_bit_width10_9    1824      10412      4127        14538 
  S0[10].U0    filter_6taps_bit_width10_10   1823      10391      4125        14516 
  S0[5].U0     filter_6taps_bit_width10_5    1815      10355      4145        14500 
  S0[13].U0    filter_6taps_bit_width10_13   1821      10339      4155        14494 
  S0[12].U0    filter_6taps_bit_width10_12   1813      10364      4126        14490 
  S0[8].U0     filter_6taps_bit_width10_8    1822      10365      4124        14489 
  S0[11].U0    filter_6taps_bit_width10_11   1812      10366      4120        14486 
  S0[7].U0     filter_6taps_bit_width10_7    1809      10357      4128        14485 
  S0[14].U0    filter_6taps_bit_width10_14   1817      10350      4126        14476 
  S0[6].U0     filter_6taps_bit_width10_6    1809      10342      4118        14460 
  S0[4].U0     filter_6taps_bit_width10_4    1809      10335      4122        14457 
  S0[1].U0     filter_6taps_bit_width10_1    1810      10330      4122        14452 
  S0[2].U0     filter_6taps_bit_width10_2    1820      10290      4158        14449 
  S0[15].U0    filter_6taps_bit_width10_15   1820      10308      4138        14446 
  S0[16].U0    filter_6taps_bit_width10_16   1815      10290      4156        14446 
  S0[0].U0     filter_6taps_bit_width10      1820      10297      4146        14443 
  S0[3].U0     filter_6taps_bit_width10_3    1807      10314      4114        14428 
