============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 21 2020  10:53:50 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

   Instance               Module            Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------
filter_regular                              96483     562520    223781       786301 
  S0[31].U0    filter_6taps_bit_width10_31   2773      15423      5916        21339 
  S0[3].U0     filter_6taps_bit_width10_3    2727      15334      5851        21185 
  S0[30].U0    filter_6taps_bit_width10_30   2755      15215      5892        21107 
  S0[20].U0    filter_6taps_bit_width10_20   2727      15195      5862        21057 
  S0[4].U0     filter_6taps_bit_width10_4    2736      15170      5880        21051 
  S0[22].U0    filter_6taps_bit_width10_22   2741      15086      5895        20980 
  S0[16].U0    filter_6taps_bit_width10_16   2725      15153      5825        20977 
  S0[8].U0     filter_6taps_bit_width10_8    2672      15222      5754        20976 
  S0[25].U0    filter_6taps_bit_width10_25   2728      15094      5869        20963 
  S0[24].U0    filter_6taps_bit_width10_24   2710      15127      5831        20958 
  S0[7].U0     filter_6taps_bit_width10_7    2726      15083      5866        20948 
  S0[14].U0    filter_6taps_bit_width10_14   2738      15061      5883        20943 
  S0[12].U0    filter_6taps_bit_width10_12   2752      15048      5894        20942 
  S0[27].U0    filter_6taps_bit_width10_27   2706      15107      5824        20930 
  S0[1].U0     filter_6taps_bit_width10_1    2713      15091      5838        20928 
  S0[17].U0    filter_6taps_bit_width10_17   2713      15133      5784        20916 
  S0[19].U0    filter_6taps_bit_width10_19   2709      15110      5766        20876 
  S0[9].U0     filter_6taps_bit_width10_9    2718      15039      5836        20875 
  S0[23].U0    filter_6taps_bit_width10_23   2683      15060      5793        20853 
  S0[32].U0    filter_6taps_bit_width10_32   2715      14983      5829        20812 
  S0[29].U0    filter_6taps_bit_width10_29   2700      15005      5800        20805 
  S0[6].U0     filter_6taps_bit_width10_6    2702      14975      5818        20793 
  S0[15].U0    filter_6taps_bit_width10_15   2693      14984      5779        20763 
  S0[26].U0    filter_6taps_bit_width10_26   2665      15015      5745        20760 
  S0[21].U0    filter_6taps_bit_width10_21   2710      14989      5771        20760 
  S0[28].U0    filter_6taps_bit_width10_28   2717      14913      5844        20757 
  S0[11].U0    filter_6taps_bit_width10_11   2724      14919      5824        20743 
  S0[5].U0     filter_6taps_bit_width10_5    2675      14968      5762        20729 
  S0[18].U0    filter_6taps_bit_width10_18   2703      14948      5774        20722 
  S0[0].U0     filter_6taps_bit_width10      2700      14842      5816        20659 
  S0[2].U0     filter_6taps_bit_width10_2    2695      14830      5792        20622 
  S0[13].U0    filter_6taps_bit_width10_13   2699      14837      5768        20605 
  S0[10].U0    filter_6taps_bit_width10_10   2687      14778      5767        20545 
