============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 22 2020  01:47:13 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
--------------------------------------------------------------------------------
HS65_LSS_XNOR2X12          26     175.760      0.355      25.958    CORE65LPSVT 
HS65_LSS_XNOR2X3            3      12.480      0.011       0.240    CORE65LPSVT 
HS65_LSS_XNOR2X6         3063   12742.080     20.732     815.370    CORE65LPSVT 
HS65_LSS_XNOR3X2           22     183.040      0.100       3.435    CORE65LPSVT 
HS65_LSS_XNOR3X4           37     365.560      0.324       8.018    CORE65LPSVT 
HS65_LSS_XOR2X12            6      37.440      0.080       6.842    CORE65LPSVT 
HS65_LSS_XOR2X6          3220   13395.200     18.822     943.402    CORE65LPSVT 
HS65_LSS_XOR3X2           331    2581.800      1.810      59.873    CORE65LPSVT 
HS65_LSS_XOR3X4            54     561.600      0.562      17.655    CORE65LPSVT 
HS65_LS_AND2X18           351    1277.640      3.395     105.040    CORE65LPSVT 
HS65_LS_AND2X27            98     560.560      1.348      36.043    CORE65LPSVT 
HS65_LS_AND2X35            25     156.000      0.547      13.409    CORE65LPSVT 
HS65_LS_AND2X4           1916    4981.600      4.366     232.619    CORE65LPSVT 
HS65_LS_AND2X9            832    2595.840      3.675     148.944    CORE65LPSVT 
HS65_LS_AND3X18            43     201.240      0.509      12.112    CORE65LPSVT 
HS65_LS_AND3X27           105     709.800      1.913      43.353    CORE65LPSVT 
HS65_LS_AND3X35            42     327.600      1.059      21.992    CORE65LPSVT 
HS65_LS_AO112X18            7      32.760      0.077       4.991    CORE65LPSVT 
HS65_LS_AO112X9           194     807.040      0.914      62.473    CORE65LPSVT 
HS65_LS_AO12X18          1005    4180.800     11.384     265.562    CORE65LPSVT 
HS65_LS_AO12X27            96     648.960      1.571      36.479    CORE65LPSVT 
HS65_LS_AO12X35            28     218.400      0.663      15.504    CORE65LPSVT 
HS65_LS_AO12X9           2468    8983.520     11.986     447.025    CORE65LPSVT 
HS65_LS_AO212X4            63     294.840      0.221      12.229    CORE65LPSVT 
HS65_LS_AO22X9            132     549.120      0.623      45.738    CORE65LPSVT 
HS65_LS_AO31X9             30     124.800      0.158       6.013    CORE65LPSVT 
HS65_LS_AO32X4             87     407.160      0.205      18.137    CORE65LPSVT 
HS65_LS_AO32X9              1       5.200      0.005       0.244    CORE65LPSVT 
HS65_LS_AOI12X12          132     686.400      1.228      25.597    CORE65LPSVT 
HS65_LS_AOI12X17           38     256.880      0.603      10.515    CORE65LPSVT 
HS65_LS_AOI12X2           523    1359.800      0.689      30.450    CORE65LPSVT 
HS65_LS_AOI12X23            7      61.880      0.155       2.447    CORE65LPSVT 
HS65_LS_AOI12X35            1      13.000      0.032       0.610    CORE65LPSVT 
HS65_LS_AOI12X6           345    1076.400      1.645      40.405    CORE65LPSVT 
HS65_LS_AOI13X15            2      17.680      0.025       0.936    CORE65LPSVT 
HS65_LS_AOI13X20            1      11.960      0.016       0.711    CORE65LPSVT 
HS65_LS_AOI13X31           18     308.880      0.431      14.156    CORE65LPSVT 
HS65_LS_AOI211X4           41     149.240      0.165       3.842    CORE65LPSVT 
HS65_LS_AOI212X4          156     648.960      0.587      37.111    CORE65LPSVT 
HS65_LS_AOI21X12            6      31.200      0.050       2.245    CORE65LPSVT 
HS65_LS_AOI21X6            25      78.000      0.099       2.717    CORE65LPSVT 
HS65_LS_AOI22X6           213     775.320      0.646      47.284    CORE65LPSVT 
HS65_LS_BFX106            185    2212.600     10.566     184.949    CORE65LPSVT 
HS65_LS_BFX142            109    1700.400      8.398     154.337    CORE65LPSVT 
HS65_LS_BFX18              39     121.680      0.310       6.789    CORE65LPSVT 
HS65_LS_BFX213             26     581.360      3.062      52.722    CORE65LPSVT 
HS65_LS_BFX27             260     946.400      3.290      63.495    CORE65LPSVT 
HS65_LS_BFX35              78     405.600      1.357      24.852    CORE65LPSVT 
HS65_LS_BFX44             134     766.480      2.986      53.976    CORE65LPSVT 
