============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 20 2020  05:42:27 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                 Instance                                   Module                   Cells  Cell Area  Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------------------
filter_regular                                                                       40202     220837     85773       306610 
  S0[5].U0                                 filter_6taps_bit_width10_5                 4447      23735      9012        32748 
    csa_tree_U_S63_add_90_9_groupi         csa_tree_U_S63_add_90_9_group_1609_239      157        888       294         1182 
    csa_tree_U_S55_add_90_9_groupi         csa_tree_U_S55_add_90_9_group_138_238       137        868       269         1137 
    csa_tree_U_S65_add_90_9_groupi         csa_tree_U_S65_add_90_9_group_133_240       134        827       261         1089 
    csa_tree_U_S23_add_90_9_groupi         csa_tree_U_S23_add_90_9_group_1627_232      136        843       233         1076 
    csa_tree_U_S_24_add_90_9_groupi        csa_tree_U_S_24_add_90_9_group_113_245      138        749       257         1006 
    csa_tree_U_S94_add_90_9_groupi         csa_tree_U_S94_add_90_9_group_117_243       142        725       265          990 
    csa_tree_U_S53_add_90_9_groupi         csa_tree_U_S53_add_90_9_group_1614_237      122        739       221          961 
    csa_tree_U_S43_add_90_9_groupi         csa_tree_U_S43_add_90_9_group_1619_235      125        704       235          939 
    csa_tree_U_S12_add_90_9_groupi         csa_tree_U_S12_add_90_9_group_155_230       130        634       246          880 
    csa_tree_U_S35_add_90_9_groupi         csa_tree_U_S35_add_90_9_group_147_234        77        717       146          863 
    csa_tree_U_S13_add_90_9_groupi         csa_tree_U_S13_add_90_9_group_153_231       134        585       253          838 
    csa_tree_U_S45_add_90_9_groupi         csa_tree_U_S45_add_90_9_group_143_236        76        638       145          783 
    csa_tree_U_S74_add_90_9_groupi         csa_tree_U_S74_add_90_9_group_121_241       112        514       210          724 
    csa_tree_U_S2_add_90_9_groupi          csa_tree_U_S2_add_90_9_group_165_229         92        539       175          714 
    csa_tree_U_S84_add_90_9_groupi         csa_tree_U_S84_add_90_9_group_119_242        74        493       128          621 
    csa_tree_U_S_40_add_90_9_groupi        csa_tree_U_S_40_add_90_9_group_111_246      103        433       187          620 
    csa_tree_U_S_14_add_90_9_groupi        csa_tree_U_S_14_add_90_9_group_115_244       95        400       188          588 
    U_S95_add_63_8                         add_signed_247_686_598                       89        324       149          473 
    csa_tree_U_S25_add_90_9_groupi         csa_tree_U_S25_add_90_9_group_149_233        57        371       100          471 
    U_S_25_add_63_8                        add_signed_247_684_605                       89        322       149          471 
    U_S14_add_90_9                         add_signed_310_616                           36        299        48          347 
    U_S_44_add_63_8                        add_signed_247_676                           44        250        57          307 
    U_S_35_add_63_8                        add_signed_247_677                           35        257        47          304 
    U_S85_add_63_8                         add_signed_247_599                           43        245        58          303 
    U_S4_add_90_9                          add_signed_320_620                           46        239        64          302 
    U_S_15_add_63_8                        add_signed_247_685_600                       40        245        50          296 
  S0[6].U0                                 filter_6taps_bit_width10_6                 4443      23437      9005        32442 
    csa_tree_U_S63_add_90_9_groupi         csa_tree_U_S63_add_90_9_group_1609_1_256    164        922       303         1225 
    csa_tree_U_S23_add_90_9_groupi         csa_tree_U_S23_add_90_9_group_1627_232_1    137        872       234         1106 
    csa_tree_U_S55_add_90_9_groupi         csa_tree_U_S55_add_90_9_group_138_1_255     138        812       275         1086 
    csa_tree_U_S65_add_90_9_groupi         csa_tree_U_S65_add_90_9_group_133_1_257     132        809       259         1068 
    csa_tree_U_S53_add_90_9_groupi         csa_tree_U_S53_add_90_9_group_1614_1_254    132        783       233         1016 
    csa_tree_U_S_24_add_90_9_groupi        csa_tree_U_S_24_add_90_9_group_113_1_261    133        666       250          916 
    csa_tree_U_S43_add_90_9_groupi         csa_tree_U_S43_add_90_9_group_1619_1_252    120        655       226          881 
    csa_tree_U_S94_add_90_9_groupi         csa_tree_U_S94_add_90_9_group_117_1_260     137        603       257          860 
