============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  08:33:11 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                      Leakage   Dynamic    Total   
   Instance    Cells Power(uW) Power(uW) Power(uW) 
---------------------------------------------------
filter_regular 17502    96.257 19098.706 19194.963 
  S0[1].U0      1741     8.559  1400.888  1409.447 
  S0[2].U0      1741     8.558  1413.128  1421.687 
  S0[4].U0      1751     8.558  1386.972  1395.530 
  S0[8].U0      1747     8.558  1364.473  1373.031 
  S0[3].U0      1745     8.553  1419.468  1428.021 
  S0[0].U0      1738     8.547  1390.489  1399.036 
  S0[7].U0      1743     8.538  1406.286  1414.823 
  S0[5].U0      1745     8.537  1375.244  1383.781 
  S0[6].U0      1744     8.516  1364.964  1373.479 

