============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  08:33:10 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
filter_regular                17502    96.257 10945.082  8153.624      19098.706         19194.963 
  S0[1].U0                     1741     8.559   630.578   770.310       1400.888          1409.447 
    csa_tree_U..d_90_9_groupi    55     0.270    35.768    36.397         72.165            72.435 
    csa_tree_U..d_90_9_groupi    49     0.262    33.791    33.792         67.583            67.845 
    csa_tree_U..d_90_9_groupi    49     0.258    34.097    33.733         67.830            68.088 
    csa_tree_U..d_90_9_groupi    47     0.250    33.425    32.801         66.226            66.476 
    csa_tree_U..d_90_9_groupi    43     0.228    19.921    21.961         41.882            42.110 
    csa_tree_U..d_90_9_groupi    37     0.215    19.006    21.093         40.099            40.314 
    csa_tree_U..d_90_9_groupi    44     0.212    15.839    18.483         34.321            34.533 
    csa_tree_U..d_90_9_groupi    39     0.207    15.994    17.675         33.669            33.876 
    csa_tree_U..d_90_9_groupi    37     0.204    10.950    11.969         22.919            23.122 
    csa_tree_U..d_90_9_groupi    38     0.201    16.055    17.657         33.713            33.914 
    csa_tree_U..d_90_9_groupi    33     0.180    16.195    17.909         34.104            34.284 
    csa_tree_U..d_90_9_groupi    33     0.171    17.595    16.635         34.230            34.401 
    csa_tree_U..d_90_9_groupi    32     0.170    13.756    15.467         29.224            29.394 
    csa_tree_U..d_90_9_groupi    32     0.170    13.515    18.077         31.592            31.762 
    csa_tree_U..d_90_9_groupi    27     0.159    12.600    13.210         25.810            25.968 
    csa_tree_U..d_90_9_groupi    27     0.156    12.929    14.352         27.282            27.438 
    csa_tree_U..d_90_9_groupi    27     0.154    12.371    13.537         25.908            26.062 
    csa_tree_U..d_90_9_groupi    26     0.151     6.709     7.011         13.720            13.871 
    U_S_44_add_63_8              19     0.102    10.025     8.334         18.358            18.460 
    U_S14_add_90_9               19     0.096    10.694     8.912         19.606            19.701 
    U_S95_add_63_8               19     0.096    12.180    10.733         22.913            23.009 
    U_S85_add_63_8               19     0.095    13.773    11.815         25.587            25.683 
    U_S_25_add_63_8              19     0.095    14.113    12.338         26.451            26.546 
    U_S4_add_90_9                19     0.095     8.431     7.224         15.655            15.751 
    U_S_15_add_63_8              19     0.095    12.336    10.665         23.001            23.096 
    U_S_35_add_63_8              18     0.091    11.255     9.741         20.996            21.086 
  S0[2].U0                     1741     8.558   635.092   778.037       1413.128          1421.687 
    csa_tree_U..d_90_9_groupi    55     0.269    36.572    37.090         73.662            73.931 
    csa_tree_U..d_90_9_groupi    49     0.262    34.147    34.432         68.579            68.841 
    csa_tree_U..d_90_9_groupi    49     0.258    34.199    34.027         68.226            68.484 
    csa_tree_U..d_90_9_groupi    47     0.251    33.488    33.173         66.661            66.912 
    csa_tree_U..d_90_9_groupi    43     0.229    21.154    23.517         44.671            44.900 
    csa_tree_U..d_90_9_groupi    37     0.215    17.271    19.401         36.672            36.887 
    csa_tree_U..d_90_9_groupi    44     0.212    14.689    17.080         31.770            31.982 
    csa_tree_U..d_90_9_groupi    39     0.207    16.093    17.795         33.888            34.095 
    csa_tree_U..d_90_9_groupi    37     0.204    11.036    12.101         23.137            23.341 
    csa_tree_U..d_90_9_groupi    38     0.202    15.605    17.171         32.775            32.977 
    csa_tree_U..d_90_9_groupi    33     0.180    17.203    18.954         36.157            36.337 
    csa_tree_U..d_90_9_groupi    33     0.171    18.322    17.439         35.762            35.933 
    csa_tree_U..d_90_9_groupi    32     0.170    15.578    20.585         36.163            36.333 
    csa_tree_U..d_90_9_groupi    32     0.170    16.435    18.421         34.856            35.026 
    csa_tree_U..d_90_9_groupi    27     0.158    12.301    12.942         25.243            25.402 
    csa_tree_U..d_90_9_groupi    27     0.157    13.395    15.072         28.467            28.623 
    csa_tree_U..d_90_9_groupi    27     0.154    11.574    12.710         24.284            24.439 
    csa_tree_U..d_90_9_groupi    26     0.151     7.522     7.926         15.449            15.600 
    U_S_44_add_63_8              19     0.096    10.322     8.693         19.015            19.111 
    U_S_25_add_63_8              19     0.096    13.003    11.057         24.060            24.156 
    U_S_15_add_63_8              19     0.096    11.941    10.155         22.096            22.191 
    U_S95_add_63_8               19     0.096    11.916    10.129         22.044            22.140 
    U_S4_add_90_9                19     0.095     9.387     7.961         17.348            17.444 
    U_S85_add_63_8               19     0.095    12.512    10.788         23.300            23.395 
    U_S14_add_90_9               19     0.095    11.195     9.379         20.574            20.669 
    U_S_35_add_63_8              18     0.091    10.946     9.350         20.295            20.387 
  S0[4].U0                     1751     8.558   622.810   764.162       1386.972          1395.530 
    csa_tree_U..d_90_9_groupi    55     0.270    34.101    34.585         68.685            68.955 
    csa_tree_U..d_90_9_groupi    49     0.262    34.023    34.012         68.036            68.298 
    csa_tree_U..d_90_9_groupi    49     0.257    34.936    34.613         69.549            69.806 
    csa_tree_U..d_90_9_groupi    47     0.250    32.979    32.659         65.638            65.888 
    csa_tree_U..d_90_9_groupi    43     0.228    19.906    21.955         41.861            42.089 
    csa_tree_U..d_90_9_groupi    37     0.215    18.316    20.495         38.811            39.026 
    csa_tree_U..d_90_9_groupi    44     0.212    15.000    17.579         32.578            32.791 
    csa_tree_U..d_90_9_groupi    39     0.207    14.981    16.603         31.584            31.791 
    csa_tree_U..d_90_9_groupi    37     0.204    10.658    11.772         22.430            22.634 
    csa_tree_U..d_90_9_groupi    38     0.201    15.400    17.102         32.501            32.703 
    csa_tree_U..d_90_9_groupi    33     0.179    17.183    18.962         36.145            36.324 
    csa_tree_U..d_90_9_groupi    33     0.171    17.530    16.721         34.251            34.422 
    csa_tree_U..d_90_9_groupi    32     0.170    15.406    20.562         35.968            36.138 
    csa_tree_U..d_90_9_groupi    32     0.170    14.888    16.710         31.599            31.769 
    csa_tree_U..d_90_9_groupi    27     0.159    12.469    13.702         26.172            26.331 
    csa_tree_U..d_90_9_groupi    27     0.157    12.596    13.673         26.269            26.426 
    csa_tree_U..d_90_9_groupi    27     0.155    12.258    13.632         25.890            26.045 
    csa_tree_U..d_90_9_groupi    26     0.151     7.707     8.087         15.794            15.945 
    U_S14_add_90_9               19     0.096    10.376     8.775         19.151            19.247 
    U_S95_add_63_8               19     0.096    11.796     9.753         21.548            21.644 
    U_S_44_add_63_8              19     0.096    10.540     8.839         19.379            19.474 
    U_S85_add_63_8               19     0.095    11.705     9.935         21.641            21.736 
    U_S_15_add_63_8              19     0.095    11.636     9.585         21.220            21.316 
    U_S4_add_90_9                19     0.095     8.797     7.412         16.208            16.304 
    U_S_25_add_63_8              19     0.095    13.217    10.974         24.192            24.287 
    U_S_35_add_63_8              18     0.091    11.259     9.271         20.530            20.621 
  S0[8].U0                     1747     8.558   614.798   749.675       1364.473          1373.031 
    csa_tree_U..d_90_9_groupi    55     0.270    35.245    35.976         71.221            71.491 
    csa_tree_U..d_90_9_groupi    49     0.261    33.461    33.421         66.881            67.143 
    csa_tree_U..d_90_9_groupi    49     0.257    33.850    33.440         67.289            67.546 
    csa_tree_U..d_90_9_groupi    47     0.250    34.542    33.765         68.306            68.557 
    csa_tree_U..d_90_9_groupi    43     0.228    19.012    21.059         40.071            40.299 
    csa_tree_U..d_90_9_groupi    37     0.215    17.038    19.176         36.214            36.429 
    csa_tree_U..d_90_9_groupi    44     0.212    14.142    16.441         30.583            30.796 
    csa_tree_U..d_90_9_groupi    39     0.207    15.986    17.781         33.767            33.973 
    csa_tree_U..d_90_9_groupi    37     0.204    10.518    11.530         22.048            22.253 
    csa_tree_U..d_90_9_groupi    38     0.201    15.651    17.229         32.880            33.081 
    csa_tree_U..d_90_9_groupi    33     0.180    14.728    16.351         31.079            31.259 
    csa_tree_U..d_90_9_groupi    33     0.171    19.459    18.597         38.056            38.227 
    csa_tree_U..d_90_9_groupi    32     0.170    15.159    20.155         35.313            35.483 
    csa_tree_U..d_90_9_groupi    32     0.170    14.072    15.722         29.795            29.964 
    csa_tree_U..d_90_9_groupi    27     0.159    12.765    14.031         26.796            26.955 
    csa_tree_U..d_90_9_groupi    27     0.157    12.435    13.733         26.168            26.324 
    csa_tree_U..d_90_9_groupi    27     0.154    11.699    12.766         24.465            24.620 
    csa_tree_U..d_90_9_groupi    26     0.150     7.987     8.409         16.396            16.547 
    U_S_44_add_63_8              19     0.101     9.983     8.091         18.075            18.176 
    U_S4_add_90_9                19     0.096     9.521     8.216         17.737            17.833 
    U_S14_add_90_9               19     0.096    10.233     8.747         18.980            19.076 
    U_S_15_add_63_8              19     0.096    11.666     9.832         21.498            21.593 
    U_S85_add_63_8               19     0.095    11.019     9.205         20.223            20.319 
    U_S95_add_63_8               19     0.095    11.342     9.503         20.845            20.940 
    U_S_25_add_63_8              19     0.095    13.106    10.946         24.053            24.148 
    U_S_35_add_63_8              18     0.091    10.614     8.925         19.539            19.629 
  S0[3].U0                     1745     8.553   638.321   781.146       1419.468          1428.021 
    csa_tree_U..d_90_9_groupi    55     0.270    36.824    37.402         74.227            74.496 
    csa_tree_U..d_90_9_groupi    49     0.262    34.849    34.893         69.742            70.004 
    csa_tree_U..d_90_9_groupi    49     0.257    35.917    35.592         71.509            71.766 
    csa_tree_U..d_90_9_groupi    47     0.250    33.672    33.019         66.691            66.941 
    csa_tree_U..d_90_9_groupi    43     0.229    20.741    23.034         43.775            44.004 
    csa_tree_U..d_90_9_groupi    37     0.216    18.077    20.214         38.291            38.507 
    csa_tree_U..d_90_9_groupi    44     0.212    14.563    17.025         31.588            31.800 
    csa_tree_U..d_90_9_groupi    39     0.207    15.471    17.034         32.505            32.712 
    csa_tree_U..d_90_9_groupi    37     0.204    10.531    11.710         22.241            22.445 
    csa_tree_U..d_90_9_groupi    38     0.202    17.027    18.875         35.902            36.104 
    csa_tree_U..d_90_9_groupi    33     0.180    16.299    17.930         34.229            34.409 
    csa_tree_U..d_90_9_groupi    33     0.171    18.753    17.756         36.510            36.681 
    csa_tree_U..d_90_9_groupi    32     0.170    14.937    19.962         34.898            35.069 
    csa_tree_U..d_90_9_groupi    32     0.170    15.726    17.674         33.400            33.570 
    csa_tree_U..d_90_9_groupi    27     0.158    12.932    14.143         27.075            27.234 
    csa_tree_U..d_90_9_groupi    27     0.157    12.916    14.267         27.183            27.340 
    csa_tree_U..d_90_9_groupi    27     0.154    12.084    13.305         25.389            25.543 
    csa_tree_U..d_90_9_groupi    26     0.137     7.016     7.685         14.700            14.838 
    U_S4_add_90_9                19     0.096    10.070     8.691         18.761            18.857 
    U_S85_add_63_8               19     0.096    12.626    10.583         23.210            23.306 
    U_S95_add_63_8               19     0.096    11.935    10.040         21.975            22.070 
    U_S_25_add_63_8              19     0.095    13.687    11.628         25.316            25.411 
    U_S_44_add_63_8              19     0.095    10.171     8.525         18.696            18.792 
    U_S_15_add_63_8              19     0.095    12.193    10.315         22.507            22.602 
    U_S14_add_90_9               19     0.095    10.716     8.903         19.619            19.714 
    U_S_35_add_63_8              18     0.091    11.428     9.773         21.201            21.291 
  S0[0].U0                     1738     8.547   626.735   763.754       1390.489          1399.036 
    csa_tree_U..d_90_9_groupi    55     0.269    34.943    35.685         70.628            70.897 
    csa_tree_U..d_90_9_groupi    49     0.262    33.369    33.395         66.765            67.027 
    csa_tree_U..d_90_9_groupi    49     0.258    32.878    32.746         65.624            65.881 
    csa_tree_U..d_90_9_groupi    47     0.251    32.472    31.976         64.448            64.699 
    csa_tree_U..d_90_9_groupi    43     0.228    20.860    23.175         44.035            44.263 
    csa_tree_U..d_90_9_groupi    37     0.215    16.931    18.995         35.926            36.142 
    csa_tree_U..d_90_9_groupi    44     0.212    15.339    17.878         33.217            33.429 
    csa_tree_U..d_90_9_groupi    39     0.207    15.624    17.408         33.032            33.239 
    csa_tree_U..d_90_9_groupi    37     0.204    11.819    13.012         24.830            25.035 
    csa_tree_U..d_90_9_groupi    38     0.201    15.959    17.672         33.631            33.832 
    csa_tree_U..d_90_9_groupi    33     0.180    17.684    19.710         37.395            37.575 
    csa_tree_U..d_90_9_groupi    33     0.171    18.898    18.073         36.971            37.142 
    csa_tree_U..d_90_9_groupi    32     0.170    16.181    21.646         37.827            37.997 
    csa_tree_U..d_90_9_groupi    32     0.170    16.010    18.014         34.024            34.194 
    csa_tree_U..d_90_9_groupi    27     0.158    12.294    12.919         25.213            25.372 
    csa_tree_U..d_90_9_groupi    27     0.157    12.051    13.676         25.727            25.884 
    csa_tree_U..d_90_9_groupi    27     0.154    13.021    14.213         27.234            27.388 
    csa_tree_U..d_90_9_groupi    26     0.151     7.712     8.021         15.733            15.884 
    U_S_44_add_63_8              19     0.101     9.885     8.243         18.128            18.229 
    U_S4_add_90_9                19     0.096     9.172     7.829         17.001            17.097 
    U_S14_add_90_9               19     0.096    10.782     9.138         19.920            20.016 
    U_S85_add_63_8               19     0.096    11.634     9.732         21.366            21.461 
    U_S_25_add_63_8              19     0.095    13.304    11.155         24.459            24.554 
    U_S95_add_63_8               19     0.095    12.497    10.725         23.222            23.318 
    U_S_15_add_63_8              19     0.095    12.430    10.703         23.133            23.228 
    U_S_35_add_63_8              18     0.091    11.778    10.069         21.847            21.938 
  S0[7].U0                     1743     8.538   633.633   772.653       1406.286          1414.823 
    csa_tree_U..d_90_9_groupi    55     0.270    35.880    36.449         72.329            72.599 
    csa_tree_U..d_90_9_groupi    49     0.261    33.423    33.105         66.528            66.789 
    csa_tree_U..d_90_9_groupi    49     0.257    35.769    35.491         71.260            71.517 
    csa_tree_U..d_90_9_groupi    47     0.250    32.642    32.342         64.983            65.233 
    csa_tree_U..d_90_9_groupi    43     0.228    21.698    23.942         45.639            45.868 
    csa_tree_U..d_90_9_groupi    37     0.215    18.121    20.157         38.278            38.494 
    csa_tree_U..d_90_9_groupi    44     0.212    14.347    16.702         31.049            31.261 
    csa_tree_U..d_90_9_groupi    39     0.207    14.640    16.394         31.034            31.241 
    csa_tree_U..d_90_9_groupi    37     0.204    10.778    11.844         22.623            22.827 
    csa_tree_U..d_90_9_groupi    38     0.202    15.456    17.170         32.626            32.827 
    csa_tree_U..d_90_9_groupi    33     0.180    17.565    19.364         36.929            37.110 
    csa_tree_U..d_90_9_groupi    32     0.171    16.147    21.490         37.637            37.808 
    csa_tree_U..d_90_9_groupi    33     0.171    19.033    18.087         37.120            37.291 
