============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  08:45:23 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
filter_regular                18851   128.955 14161.925  9393.689      23555.614         23684.569 
  S0[0].U0                     1885    12.404   783.622   859.977       1643.599          1656.003 
    csa_tree_U..d_90_9_groupi    50     0.589    44.393    33.945         78.338            78.927 
    csa_tree_U..d_90_9_groupi    39     0.399    29.453    26.915         56.368            56.767 
    csa_tree_U..d_90_9_groupi    59     0.377    43.263    40.771         84.035            84.412 
    csa_tree_U..d_90_9_groupi    53     0.334    39.612    37.107         76.720            77.054 
    csa_tree_U..d_90_9_groupi    48     0.332    38.815    34.391         73.206            73.539 
    csa_tree_U..d_90_9_groupi    49     0.296    36.887    34.433         71.320            71.616 
    csa_tree_U..d_90_9_groupi    37     0.290    23.165    24.656         47.822            48.112 
    csa_tree_U..d_90_9_groupi    32     0.289    24.156    26.185         50.341            50.630 
    U_S_44_add_63_8              27     0.273    19.809    14.305         34.114            34.387 
    csa_tree_U..d_90_9_groupi    37     0.272    20.331    19.869         40.200            40.472 
    csa_tree_U..d_90_9_groupi    37     0.236    13.003    13.488         26.490            26.726 
    csa_tree_U..d_90_9_groupi    38     0.235    18.158    19.019         37.177            37.412 
    csa_tree_U..d_90_9_groupi    39     0.231    17.091    18.074         35.165            35.396 
    csa_tree_U..d_90_9_groupi    44     0.212    15.248    18.198         33.446            33.658 
    csa_tree_U..d_90_9_groupi    35     0.187    19.786    18.153         37.939            38.126 
    csa_tree_U..d_90_9_groupi    27     0.180    13.561    14.807         28.368            28.549 
    csa_tree_U..d_90_9_groupi    27     0.158    12.326    13.242         25.568            25.727 
    csa_tree_U..d_90_9_groupi    26     0.155     7.777     8.922         16.700            16.855 
    csa_tree_U..d_90_9_groupi    27     0.154    13.044    14.544         27.589            27.742 
    U_S4_add_90_9                19     0.115     9.857     7.844         17.701            17.816 
    U_S_15_add_63_8              21     0.105    13.346    11.069         24.415            24.520 
    U_S95_add_63_8               19     0.103    13.033    10.977         24.011            24.113 
    U_S85_add_63_8               21     0.103    12.302    10.176         22.478            22.581 
    U_S_25_add_63_8              19     0.103    13.840    11.311         25.151            25.253 
    U_S14_add_90_9               19     0.098    10.935     9.268         20.203            20.302 
    U_S_35_add_63_8              18     0.091    11.791    10.069         21.860            21.951 
  S0[2].U0                     1902    12.267   798.756   875.839       1674.595          1686.862 
    csa_tree_U..d_90_9_groupi    49     0.571    45.223    36.050         81.273            81.844 
    csa_tree_U..d_90_9_groupi    40     0.364    27.583    26.992         54.575            54.939 
    csa_tree_U..d_90_9_groupi    32     0.352    30.087    24.285         54.372            54.724 
    csa_tree_U..d_90_9_groupi    59     0.341    43.600    42.616         86.216            86.557 
    csa_tree_U..d_90_9_groupi    51     0.331    41.263    37.470         78.733            79.064 
    csa_tree_U..d_90_9_groupi    53     0.325    40.956    38.188         79.144            79.470 
    csa_tree_U..d_90_9_groupi    48     0.316    40.186    35.384         75.570            75.886 
    csa_tree_U..d_90_9_groupi    32     0.290    23.869    25.491         49.360            49.650 
    U_S_44_add_63_8              27     0.275    18.759    13.686         32.444            32.720 
    csa_tree_U..d_90_9_groupi    37     0.244    19.042    20.270         39.312            39.556 
    csa_tree_U..d_90_9_groupi    44     0.223    14.975    17.517         32.492            32.715 
    csa_tree_U..d_90_9_groupi    39     0.219    17.105    18.367         35.472            35.691 
    csa_tree_U..d_90_9_groupi    37     0.219    11.869    12.471         24.341            24.559 
    csa_tree_U..d_90_9_groupi    38     0.219    16.468    17.785         34.252            34.471 
    csa_tree_U..d_90_9_groupi    35     0.188    19.126    17.587         36.713            36.901 
    csa_tree_U..d_90_9_groupi    27     0.180    15.251    16.190         31.441            31.621 
    csa_tree_U..d_90_9_groupi    27     0.158    12.336    13.245         25.580            25.739 
    csa_tree_U..d_90_9_groupi    26     0.155     7.667     8.855         16.522            16.677 
    csa_tree_U..d_90_9_groupi    27     0.154    11.594    13.040         24.634            24.788 
    U_S_15_add_63_8              21     0.107    12.871    10.562         23.433            23.540 
    U_S85_add_63_8               21     0.107    13.539    11.250         24.789            24.896 
    U_S4_add_90_9                19     0.104     9.894     8.062         17.955            18.059 
    U_S_25_add_63_8              19     0.103    13.422    11.179         24.601            24.704 
    U_S95_add_63_8               19     0.103    12.473    10.394         22.867            22.970 
    U_S14_add_90_9               19     0.098    11.367     9.561         20.928            21.026 
    U_S_35_add_63_8              18     0.091    10.960     9.350         20.310            20.401 
  S0[1].U0                     1897    12.251   777.442   859.278       1636.720          1648.971 
    csa_tree_U..d_90_9_groupi    49     0.533    40.014    32.909         72.923            73.457 
    csa_tree_U..d_90_9_groupi    40     0.366    25.827    24.960         50.787            51.153 
    csa_tree_U..d_90_9_groupi    39     0.352    23.780    21.912         45.692            46.044 
    csa_tree_U..d_90_9_groupi    51     0.336    41.847    37.130         78.977            79.313 
    csa_tree_U..d_90_9_groupi    53     0.321    39.550    37.327         76.878            77.199 
    csa_tree_U..d_90_9_groupi    57     0.313    40.543    39.639         80.182            80.495 
    csa_tree_U..d_90_9_groupi    32     0.289    20.499    21.859         42.358            42.647 
    csa_tree_U..d_90_9_groupi    46     0.275    36.381    33.625         70.007            70.281 
    U_S_44_add_63_8              27     0.274    18.127    14.141         32.268            32.542 
    csa_tree_U..d_90_9_groupi    39     0.264    20.144    19.728         39.872            40.136 
    csa_tree_U..d_90_9_groupi    39     0.243    18.307    18.442         36.749            36.992 
    csa_tree_U..d_90_9_groupi    37     0.236    12.391    12.537         24.928            25.164 
    csa_tree_U..d_90_9_groupi    37     0.232    20.005    21.576         41.580            41.813 
    csa_tree_U..d_90_9_groupi    44     0.231    16.547    19.087         35.634            35.865 
    csa_tree_U..d_90_9_groupi    35     0.188    18.417    16.783         35.201            35.388 
    csa_tree_U..d_90_9_groupi    27     0.180    14.577    15.338         29.916            30.096 
    csa_tree_U..d_90_9_groupi    27     0.159    12.641    13.462         26.104            26.262 
    csa_tree_U..d_90_9_groupi    26     0.155     6.831     7.865         14.697            14.852 
    csa_tree_U..d_90_9_groupi    27     0.154    12.398    13.839         26.237            26.391 
    U_S_15_add_63_8              21     0.105    13.163    10.957         24.120            24.225 
    U_S4_add_90_9                19     0.104     8.854     7.303         16.156            16.261 
    U_S95_add_63_8               19     0.103    12.793    11.020         23.813            23.916 
    U_S85_add_63_8               21     0.102    14.474    12.282         26.757            26.859 
    U_S_25_add_63_8              19     0.102    14.742    12.548         27.290            27.393 
    U_S14_add_90_9               19     0.098    10.838     9.029         19.867            19.966 
    U_S_35_add_63_8              18     0.091    11.267     9.741         21.008            21.099 
  S0[6].U0                     1902    12.159   756.754   837.955       1594.709          1606.868 
    csa_tree_U..d_90_9_groupi    57     0.472    37.218    35.404         72.622            73.094 
    csa_tree_U..d_90_9_groupi    33     0.432    32.870    27.842         60.712            61.144 
    csa_tree_U..d_90_9_groupi    38     0.428    30.213    25.441         55.654            56.082 
    csa_tree_U..d_90_9_groupi    51     0.367    43.028    36.086         79.114            79.481 
    csa_tree_U..d_90_9_groupi    53     0.320    38.342    37.596         75.938            76.258 
    csa_tree_U..d_90_9_groupi    57     0.319    39.721    38.725         78.446            78.764 
    csa_tree_U..d_90_9_groupi    46     0.294    37.586    33.205         70.791            71.085 
    csa_tree_U..d_90_9_groupi    32     0.254    21.178    19.744         40.922            41.176 
    csa_tree_U..d_90_9_groupi    37     0.236    11.365    11.476         22.841            23.077 
    csa_tree_U..d_90_9_groupi    37     0.235    18.579    19.732         38.311            38.545 
    csa_tree_U..d_90_9_groupi    38     0.233    17.143    17.708         34.852            35.085 
    csa_tree_U..d_90_9_groupi    39     0.229    15.996    16.873         32.869            33.098 
    csa_tree_U..d_90_9_groupi    44     0.220    15.859    18.501         34.360            34.580 
    csa_tree_U..d_90_9_groupi    27     0.176    14.169    15.642         29.811            29.986 
    csa_tree_U..d_90_9_groupi    33     0.173    18.708    17.624         36.331            36.504 
    csa_tree_U..d_90_9_groupi    26     0.170     8.091     8.103         16.193            16.363 
    csa_tree_U..d_90_9_groupi    27     0.158    12.215    13.311         25.526            25.684 
    csa_tree_U..d_90_9_groupi    27     0.155    11.333    12.625         23.957            24.112 
    U_S85_add_63_8               20     0.116    12.983    10.267         23.251            23.367 
    U_S4_add_90_9                20     0.114     9.307     7.706         17.013            17.127 
    U_S_44_add_63_8              19     0.107    10.856     9.047         19.902            20.010 
    U_S_15_add_63_8              20     0.107    12.073     9.697         21.770            21.877 
    U_S_25_add_63_8              19     0.104    12.736    10.216         22.953            23.057 
    U_S95_add_63_8               19     0.103    11.672     9.579         21.251            21.354 
    U_S14_add_90_9               19     0.102    10.641     8.831         19.472            19.574 
    U_S_35_add_63_8              18     0.094    11.084     9.470         20.554            20.648 
  S0[3].U0                     1892    12.063   789.904   870.458       1660.362          1672.425 
    csa_tree_U..d_90_9_groupi    53     0.583    44.716    37.517         82.233            82.816 
    csa_tree_U..d_90_9_groupi    38     0.454    32.576    26.342         58.919            59.373 
    csa_tree_U..d_90_9_groupi    51     0.371    45.231    38.831         84.063            84.433 
    csa_tree_U..d_90_9_groupi    33     0.368    28.043    26.836         54.879            55.248 
    csa_tree_U..d_90_9_groupi    59     0.332    42.963    42.153         85.116            85.449 
    csa_tree_U..d_90_9_groupi    54     0.317    42.442    40.334         82.776            83.093 
    csa_tree_U..d_90_9_groupi    48     0.298    38.364    34.504         72.868            73.167 
    csa_tree_U..d_90_9_groupi    31     0.288    24.594    22.821         47.416            47.704 
    csa_tree_U..d_90_9_groupi    37     0.245    19.967    21.151         41.117            41.362 
    csa_tree_U..d_90_9_groupi    37     0.219    11.176    11.906         23.082            23.300 
    csa_tree_U..d_90_9_groupi    38     0.216    17.981    19.489         37.470            37.686 
    csa_tree_U..d_90_9_groupi    39     0.212    15.638    17.345         32.983            33.196 
    csa_tree_U..d_90_9_groupi    44     0.212    14.471    17.271         31.742            31.954 
    csa_tree_U..d_90_9_groupi    27     0.185    14.909    15.346         30.254            30.440 
    csa_tree_U..d_90_9_groupi    35     0.185    19.196    17.974         37.171            37.355 
    csa_tree_U..d_90_9_groupi    26     0.161     7.767     7.966         15.733            15.895 
