============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 28 2020  04:16:23 am
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                         Instance                                             Module                    Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------------------------------------
top_level                                                                                              585155    3393943   1503218      4897161 
  GEN[110].U_MULTIi_SHRP                                   filter_sharp_bit_width10_110                  2565      14501      5921        20422 
  GEN[31].U_MULTIi_SHRP                                    filter_sharp_bit_width10_31                   2545      14501      5903        20405 
  GEN[4].U_MULTIi_SHRP                                     filter_sharp_bit_width10_4                    2546      14499      5905        20404 
  GEN[112].U_MULTIi_SHRP                                   filter_sharp_bit_width10_112                  2544      14495      5905        20400 
  GEN[6].U_MULTIi_SHRP                                     filter_sharp_bit_width10_6                    2545      14496      5903        20399 
  GEN[5].U_MULTIi_SHRP                                     filter_sharp_bit_width10_5                    2545      14496      5903        20399 
  GEN[111].U_MULTIi_SHRP                                   filter_sharp_bit_width10_111                  2545      14497      5903        20399 
  GEN[64].U_MULTIi_SHRP                                    filter_sharp_bit_width10_64                   2542      14496      5902        20397 
  GEN[11].U_MULTIi_SHRP                                    filter_sharp_bit_width10_11                   2542      14496      5900        20396 
  GEN[98].U_MULTIi_SHRP                                    filter_sharp_bit_width10_98                   2543      14495      5901        20396 
  GEN[113].U_MULTIi_SHRP                                   filter_sharp_bit_width10_113                  2543      14491      5903        20395 
  GEN[36].U_MULTIi_SHRP                                    filter_sharp_bit_width10_36                   2542      14491      5902        20393 
  GEN[88].U_MULTIi_SHRP                                    filter_sharp_bit_width10_88                   2543      14492      5901        20393 
  GEN[13].U_MULTIi_SHRP                                    filter_sharp_bit_width10_13                   2544      14490      5903        20393 
  GEN[30].U_MULTIi_SHRP                                    filter_sharp_bit_width10_30                   2542      14492      5900        20393 
  GEN[105].U_MULTIi_SHRP                                   filter_sharp_bit_width10_105                  2544      14489      5903        20392 
  GEN[21].U_MULTIi_SHRP                                    filter_sharp_bit_width10_21                   2542      14492      5900        20392 
  GEN[97].U_MULTIi_SHRP                                    filter_sharp_bit_width10_97                   2543      14490      5901        20391 
  GEN[62].U_MULTIi_SHRP                                    filter_sharp_bit_width10_62                   2543      14490      5900        20390 
