============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 28 2020  04:16:26 am
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                         Instance                                             Module                    Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------------------------------------
top_level                                                                                              585155    3393943   1503218      4897161 
  GEN[110].U_MULTIi_SHRP                                   filter_sharp_bit_width10_110                  2565      14501      5921        20422 
    csa_tree_U_S9_6_add_64_12_groupi                       csa_tree_U_S9_6_add_64_12_group_276_1_534       55        432       116          548 
    csa_tree_U_S7_6_add_64_12_groupi                       csa_tree_U_S7_6_add_64_12_group_278_1_532       55        432       116          548 
    csa_tree_U_S10_6_add_64_12_groupi                      csa_tree_U_S10_6_add_64_12_group_284_1_536      47        360        94          454 
    csa_tree_U_S6_6_add_64_12_groupi                       csa_tree_U_S6_6_add_64_12_group_286_1_530       47        360        94          454 
    csa_tree_U_S3_6_add_64_8_groupi                        csa_tree_U_S3_6_add_64_8_group_310_1_524        44        348        90          439 
    csa_tree_U_S13_6_add_64_8_groupi                       csa_tree_U_S13_6_add_64_8_group_308_1_541       43        340        89          429 
    csa_tree_U_S12_6_add_64_12_groupi                      csa_tree_U_S12_6_add_64_12_group_258_1_540      40        320        81          402 
    csa_tree_U_S9_3_add_91_9_groupi                        csa_tree_U_S9_3_add_91_9_group_280_1_533        40        255        69          325 
    csa_tree_U_S7_3_add_91_9_groupi                        csa_tree_U_S7_3_add_91_9_group_282_1_531        40        255        69          325 
    csa_tree_U_S15_4_add_64_8_groupi                       csa_tree_U_S15_4_add_64_8_group_328_1_543       31        261        63          324 
    csa_tree_U_S1_4_add_64_8_groupi                        csa_tree_U_S1_4_add_64_8_group_330_1_522        31        261        63          324 
    csa_tree_U_S4_7_add_64_12_groupi                       csa_tree_U_S4_7_add_64_12_group_296_1_526       39        252        71          322 
    csa_tree_U_S12_3_add_91_9_groupi                       csa_tree_U_S12_3_add_91_9_group_260_1_539       36        254        63          317 
    csa_tree_U_S4_2_add_91_9_groupi                        csa_tree_U_S4_2_add_91_9_group_304_1_525        32        246        60          307 
    csa_tree_U_S14_3_add_91_9_groupi                       csa_tree_U_S14_3_add_91_9_group_318_1_542       40        236        67          302 
