============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 28 2020  04:17:57 am
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library     
----------------------------------------------------------------------------------
HS65_LSS_XNOR2X3          121      503.360      0.427      43.039    CORE65LPSVT  
HS65_LSS_XNOR2X6        15189    63186.240    101.988    9076.471    CORE65LPSVT  
HS65_LSS_XNOR3X2         3497    29095.040     15.932    1458.895    CORE65LPSVT  
HS65_LSS_XNOR3X4            4       39.520      0.035       3.864    CORE65LPSVT  
HS65_LSS_XOR2X3            71      295.360      0.238      30.876    CORE65LPSVT  
HS65_LSS_XOR2X6         16235    67537.600     94.870   10064.876    CORE65LPSVT  
HS65_LSS_XOR3X2         11782    91899.600     64.810    8643.270    CORE65LPSVT  
HS65_LS_AND2ABX18          52      216.320      0.469      77.440    CORE65LPSVT  
HS65_LS_AND2ABX9           32      116.480      0.151      32.427    CORE65LPSVT  
HS65_LS_AND2X4           5407    14058.200     11.944    1411.694    CORE65LPSVT  
HS65_LS_AND2X9              2        6.240      0.011       0.922    CORE65LPSVT  
HS65_LS_AND3X9             51      185.640      0.304      19.027    CORE65LPSVT  
HS65_LS_AO112X9           709     2949.440      3.277     276.468    CORE65LPSVT  
HS65_LS_AO12X18             4       16.640      0.043       3.069    CORE65LPSVT  
HS65_LS_AO12X9          10012    36443.680     48.651    6070.064    CORE65LPSVT  
HS65_LS_AO212X4            37      173.160      0.096      16.608    CORE65LPSVT  
HS65_LS_AO22X9           1180     4908.800      5.539    2157.264    CORE65LPSVT  
HS65_LS_AO311X9             5       23.400      0.024       3.901    CORE65LPSVT  
HS65_LS_AO312X9            13       74.360      0.066       9.693    CORE65LPSVT  
HS65_LS_AO31X9             80      332.800      0.346      25.208    CORE65LPSVT  
HS65_LS_AO32X4           3117    14587.560      6.968    2097.090    CORE65LPSVT  
HS65_LS_AO33X9             10       57.200      0.046       5.448    CORE65LPSVT  
HS65_LS_AOI112X4          135      491.400      0.561      34.398    CORE65LPSVT  
HS65_LS_AOI12X12            2       10.400      0.021       1.204    CORE65LPSVT  
HS65_LS_AOI12X2          5860    15236.000      8.331     696.007    CORE65LPSVT  
HS65_LS_AOI12X6             4       12.480      0.019       1.133    CORE65LPSVT  
HS65_LS_AOI13X5             3       10.920      0.009       0.975    CORE65LPSVT  
HS65_LS_AOI211X4          180      655.200      0.635      36.299    CORE65LPSVT  
HS65_LS_AOI212X4           28      116.480      0.104      11.940    CORE65LPSVT  
HS65_LS_AOI21X2           437     1136.200      0.563      48.887    CORE65LPSVT  
HS65_LS_AOI222X2            4       20.800      0.008       1.116    CORE65LPSVT  
HS65_LS_AOI22X6           313     1139.320      0.961     238.398    CORE65LPSVT  
