============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  11:23:13 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                         Instance                                           Module                    Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------------------------------
top_level                                                                                             97832     573259    233559       806819 
  GEN[13].U_MULTIi_SHRP                                   filter_sharp_bit_width10_13                  3653      21133      7898        29031 
  GEN[5].U_MULTIi_SHRP                                    filter_sharp_bit_width10_5                   3663      21010      7888        28898 
  GEN[10].U_MULTIi_SHRP                                   filter_sharp_bit_width10_10                  3570      21022      7730        28751 
  GEN[7].U_MULTIi_SHRP                                    filter_sharp_bit_width10_7                   3664      20792      7922        28714 
  GEN[8].U_MULTIi_SHRP                                    filter_sharp_bit_width10_8                   3614      20859      7818        28677 
  GEN[3].U_MULTIi_SHRP                                    filter_sharp_bit_width10_3                   3609      20775      7777        28552 
  GEN[11].U_MULTIi_SHRP                                   filter_sharp_bit_width10_11                  3600      20744      7773        28517 
  GEN[1].U_MULTIi_SHRP                                    filter_sharp_bit_width10_1                   3600      20599      7786        28385 
  GEN[12].U_MULTIi_SHRP                                   filter_sharp_bit_width10_12                  3575      20628      7740        28368 
  GEN[9].U_MULTIi_SHRP                                    filter_sharp_bit_width10_9                   3534      20602      7665        28267 
  GEN[4].U_MULTIi_REGU_csa_tree_U_S63_add_91_9_groupi     csa_tree_U_S63_add_91_9_group_11469_440       112        548       212          761 
  GEN[0].U_MULTIi_REGU_csa_tree_U_S63_add_91_9_groupi     csa_tree_U_S63_add_91_9_group_11469           114        539       214          753 
  GEN[6].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi   csa_tree_U_S7_6_add_64_12_group_278_1_480      67        608       139          747 
  GEN[4].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi   csa_tree_U_S7_6_add_64_12_group_278_436        67        604       139          743 
  GEN[12].U_MULTIi_REGU_csa_tree_U_S63_add_91_9_groupi    csa_tree_U_S63_add_91_9_group_6483            104        537       197          734 
  GEN[2].U_MULTIi_REGU_csa_tree_U_S63_add_91_9_groupi     csa_tree_U_S63_add_91_9_group_11469_1         111        516       213          730 
  GEN[14].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278_525        66        591       137          728 
  GEN[6].U_MULTIi_REGU_csa_tree_U_S63_add_91_9_groupi     csa_tree_U_S63_add_91_9_group_11469_1_483     111        510       214          723 
  GEN[0].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi   csa_tree_U_S7_6_add_64_12_group_278            66        583       138          721 
  GEN[15].U_MULTIi_REGU_csa_tree_U_S63_add_91_9_groupi    csa_tree_U_S63_add_91_9_group_11469_1_572     111        508       213          721 
  GEN[13].U_MULTIi_REGU_csa_tree_U_S63_add_91_9_groupi    csa_tree_U_S63_add_91_9_group_6483_860        109        510       208          719 
  GEN[2].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi   csa_tree_U_S7_6_add_64_12_group_278_1          66        579       138          718 
  GEN[4].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi   csa_tree_U_S9_6_add_64_12_group_276_430        59        585       123          708 
  GEN[15].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278_1_569      63        577       131          708 
  GEN[14].U_MULTIi_REGU_csa_tree_U_S63_add_91_9_groupi    csa_tree_U_S63_add_91_9_group_11469_529       111        487       213          700 
  GEN[6].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi   csa_tree_U_S9_6_add_64_12_group_276_1_476      62        564       128          692 
  GEN[14].U_MULTIi_SHRP_csa_tree_U_S6_6_add_64_12_groupi  csa_tree_U_S6_6_add_64_12_group_286_530        62        564       121          684 
  GEN[2].U_MULTIi_SHRP_csa_tree_U_S6_6_add_64_12_groupi   csa_tree_U_S6_6_add_64_12_group_286_1          61        562       121          683 
  GEN[0].U_MULTIi_SHRP_csa_tree_U_S6_6_add_64_12_groupi   csa_tree_U_S6_6_add_64_12_group_286            61        559       121          680 
  GEN[14].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi  csa_tree_U_S9_6_add_64_12_group_276_519        59        549       123          673 
  GEN[15].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi  csa_tree_U_S9_6_add_64_12_group_276_1_565      59        549       123          672 
  GEN[2].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi   csa_tree_U_S9_6_add_64_12_group_276_1          57        548       120          668 
  GEN[0].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi   csa_tree_U_S9_6_add_64_12_group_276            57        548       120          668 
  GEN[4].U_MULTIi_SHRP_csa_tree_U_S6_6_add_64_12_groupi   csa_tree_U_S6_6_add_64_12_group_286_441        65        529       127          657 
  GEN[15].U_MULTIi_SHRP_csa_tree_U_S10_6_add_64_12_groupi csa_tree_U_S10_6_add_64_12_group_284_1_562     60        535       121          656 
  GEN[0].U_MULTIi_SHRP_csa_tree_U_S3_6_add_64_8_groupi    csa_tree_U_S3_6_add_64_8_group_310             68        514       134          648 
  GEN[6].U_MULTIi_SHRP_csa_tree_U_S6_6_add_64_12_groupi   csa_tree_U_S6_6_add_64_12_group_286_1_484      64        521       126          647 
  GEN[14].U_MULTIi_SHRP_csa_tree_U_S10_6_add_64_12_groupi csa_tree_U_S10_6_add_64_12_group_284_516       69        508       137          645 
  GEN[6].U_MULTIi_SHRP_csa_tree_U_S3_6_add_64_8_groupi    csa_tree_U_S3_6_add_64_8_group_310_1_495       63        521       123          644 
  GEN[2].U_MULTIi_SHRP_csa_tree_U_S13_6_add_64_8_groupi   csa_tree_U_S13_6_add_64_8_group_308_1          46        548        94          642 
  GEN[0].U_MULTIi_SHRP_csa_tree_U_S13_6_add_64_8_groupi   csa_tree_U_S13_6_add_64_8_group_308            46        548        94          642 
  GEN[15].U_MULTIi_SHRP_csa_tree_U_S13_6_add_64_8_groupi  csa_tree_U_S13_6_add_64_8_group_308_1_556      47        543        96          639 
  GEN[14].U_MULTIi_SHRP_csa_tree_U_S13_6_add_64_8_groupi  csa_tree_U_S13_6_add_64_8_group_308_506        47        543        96          639 
  GEN[6].U_MULTIi_SHRP_csa_tree_U_S13_6_add_64_8_groupi   csa_tree_U_S13_6_add_64_8_group_308_1_467      46        543        94          638 
  GEN[4].U_MULTIi_SHRP_csa_tree_U_S13_6_add_64_8_groupi   csa_tree_U_S13_6_add_64_8_group_308_417        46        543        94          638 
  GEN[4].U_MULTIi_SHRP_csa_tree_U_S3_6_add_64_8_groupi    csa_tree_U_S3_6_add_64_8_group_310_454         62        514       121          635 
  GEN[2].U_MULTIi_SHRP_csa_tree_U_S3_6_add_64_8_groupi    csa_tree_U_S3_6_add_64_8_group_310_1           66        505       130          635 
  GEN[15].U_MULTIi_SHRP_csa_tree_U_S6_6_add_64_12_groupi  csa_tree_U_S6_6_add_64_12_group_286_1_573      60        514       118          632 
  GEN[6].U_MULTIi_SHRP_csa_tree_U_S4_4_add_64_8_groupi    csa_tree_U_S4_4_add_64_8_group_302_437_1       79        479       144          623 
  GEN[4].U_MULTIi_SHRP_csa_tree_U_S4_4_add_64_8_groupi    csa_tree_U_S4_4_add_64_8_group_302_437         79        479       144          623 
  GEN[3].U_MULTIi_REGU_csa_tree_U_S43_add_91_9_groupi     csa_tree_U_S43_add_91_9_group_6495_808         98        439       183          622 
  GEN[14].U_MULTIi_SHRP_csa_tree_U_S3_6_add_64_8_groupi   csa_tree_U_S3_6_add_64_8_group_310_543         59        504       117          622 
  GEN[6].U_MULTIi_REGU_csa_tree_U_S43_add_91_9_groupi     csa_tree_U_S43_add_91_9_group_11481_1_491     100        435       187          621 
  GEN[12].U_MULTIi_REGU_csa_tree_U_S43_add_91_9_groupi    csa_tree_U_S43_add_91_9_group_6495             97        438       183          621 
  GEN[14].U_MULTIi_SHRP_csa_tree_U_S4_4_add_64_8_groupi   csa_tree_U_S4_4_add_64_8_group_302_526         77        479       141          620 
  GEN[15].U_MULTIi_SHRP_csa_tree_U_S3_6_add_64_8_groupi   csa_tree_U_S3_6_add_64_8_group_310_1_584       59        501       117          618 
