============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  11:23:14 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                         Instance                                           Module                    Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------------------------------
top_level                                                                                             97832     573259    233559       806819 
  GEN[13].U_MULTIi_SHRP                                   filter_sharp_bit_width10_13                  3653      21133      7898        29031 
    csa_tree_U_S7_6_add_64_12_groupi                      csa_tree_U_S7_6_add_64_12_group_277_832        68        625       140          765 
    csa_tree_U_S9_6_add_64_12_groupi                      csa_tree_U_S9_6_add_64_12_group_275_837        71        580       144          724 
    csa_tree_U_S12_2_add_91_9_groupi                      csa_tree_U_S12_2_add_91_9_group_299_842        90        508       162          670 
    csa_tree_U_S4_4_add_64_8_groupi                       csa_tree_U_S4_4_add_64_8_group_301_825         78        488       143          631 
    csa_tree_U_S3_6_add_64_8_groupi                       csa_tree_U_S3_6_add_64_8_group_309_822         63        504       126          630 
    csa_tree_U_S13_6_add_64_8_groupi                      csa_tree_U_S13_6_add_64_8_group_307_845        44        529        93          622 
    csa_tree_fac1_groupi                                  csa_tree_fac1_group_255_851                    87        462       154          616 
    csa_tree_U_S10_6_add_64_12_groupi                     csa_tree_U_S10_6_add_64_12_group_283_839       60        489       120          609 
    csa_tree_U_S9_4_add_64_8_groupi                       csa_tree_U_S9_4_add_64_8_group_269_836         79        457       146          603 
    csa_tree_U_S6_6_add_64_12_groupi                      csa_tree_U_S6_6_add_64_12_group_285_830        63        474       126          600 
    csa_tree_U_S3_5_add_64_8_groupi                       csa_tree_U_S3_5_add_64_8_group_323_821         86        440       152          592 
    csa_tree_fac2_groupi                                  csa_tree_fac2_group_253_852                    86        433       149          582 
    csa_tree_U_S1_4_add_64_8_groupi                       csa_tree_U_S1_4_add_64_8_group_329_817         75        428       142          570 
    csa_tree_U_S12_6_add_64_12_groupi                     csa_tree_U_S12_6_add_64_12_group_257_844       54        453       107          560 
    csa_tree_U_S14_5_add_64_8_groupi                      csa_tree_U_S14_5_add_64_8_group_267_847        81        400       146          546 
    csa_tree_U_S15_4_add_64_8_groupi                      csa_tree_U_S15_4_add_64_8_group_327_849        59        354       116          469 
    csa_tree_U_S1_5_add_64_8_groupi                       csa_tree_U_S1_5_add_64_8_group_325_818         70        323       134          457 
    csa_tree_U_S11_6_add_64_12_groupi                     csa_tree_U_S11_6_add_64_12_group_261_841       37        347        67          414 
    csa_tree_U_S9_3_add_91_9_groupi                       csa_tree_U_S9_3_add_91_9_group_279_835         51        318        88          406 
    csa_tree_U_S2_6_add_64_8_groupi                       csa_tree_U_S2_6_add_64_8_group_313_820         27        343        50          392 
    csa_tree_U_S7_3_add_91_9_groupi                       csa_tree_U_S7_3_add_91_9_group_281_831         48        300        82          382 
    csa_tree_U_S14_6_add_64_8_groupi                      csa_tree_U_S14_6_add_64_8_group_311_848        27        319        50          368 
    csa_tree_U_S4_2_add_91_9_groupi                       csa_tree_U_S4_2_add_91_9_group_303_823         33        292        62          354 
    csa_tree_U_S4_7_add_64_12_groupi                      csa_tree_U_S4_7_add_64_12_group_295_826        41        268        73          341 
    csa_tree_U_S15_5_add_64_8_groupi                      csa_tree_U_S15_5_add_64_8_group_321_850        28        287        51          338 
    csa_tree_U_S12_3_add_91_9_groupi                      csa_tree_U_S12_3_add_91_9_group_259_843        38        271        66          337 
    csa_tree_U_S5_7_add_64_12_groupi                      csa_tree_U_S5_7_add_64_12_group_293_828        40        262        73          335 
    csa_tree_U_S4_3_add_91_9_groupi                       csa_tree_U_S4_3_add_91_9_group_301_824         34        261        60          321 
    csa_tree_U_S14_3_add_91_9_groupi                      csa_tree_U_S14_3_add_91_9_group_317_846        41        249        68          317 
    csa_tree_U_S2_3_add_91_9_groupi                       csa_tree_U_S2_3_add_91_9_group_319_819         41        244        68          312 
    csa_tree_U_S8_7_add_64_12_groupi                      csa_tree_U_S8_7_add_64_12_group_271_834        30        226        54          280 
    csa_tree_U_S8_5_add_64_8_groupi                       csa_tree_U_S8_5_add_64_8_group_273_833         30        228        51          279 
    csa_tree_U_S5_2_add_91_9_groupi                       csa_tree_U_S5_2_add_91_9_group_291_827         30        224        52          276 
    csa_tree_U_S6_3_add_91_9_groupi                       csa_tree_U_S6_3_add_91_9_group_287_829         29        217        50          266 
    csa_tree_U_S11_3_add_91_9_groupi                      csa_tree_U_S11_3_add_91_9_group_263_840        29        211        47          258 
    csa_tree_U_S10_3_add_91_9_groupi                      csa_tree_U_S10_3_add_91_9_group_265_838        29        209        49          257 
    U_S12_7_add_64_8                                      add_signed_401_795                             27        194        35          230 
    U_S3_7_add_64_8                                       add_signed_401_796                             34        177        45          222 
    U_S10_7_add_64_8                                      add_signed_361                                 32        170        42          212 
    U_S6_7_add_64_8                                       add_signed_361_2831                            32        170        42          212 
    U_S9_7_add_64_8                                       add_signed_361_811                             27        169        35          204 
    U_S7_7_add_64_8                                       add_signed_361_811_2827                        27        169        35          204 
    U_S13_7_add_64_8                                      add_signed_401_794                             34        154        44          198 
    U_S15_6_add_64_8                                      add_signed_442_767                             27        150        35          185 
    U_S1_6_add_64_8                                       add_signed_442_768                             26        147        33          180 
    U_S2_7_add_64_8                                       add_signed_413_779_2844                        27        145        35          180 
    U_S11_7_add_64_8                                      add_signed_361_808                             22        149        27          176 
    U_S14_7_add_64_8                                      add_signed_413_779                             27        139        35          173 
  GEN[5].U_MULTIi_SHRP                                    filter_sharp_bit_width10_5                   3663      21010      7888        28898 
    csa_tree_U_S9_6_add_64_12_groupi                      csa_tree_U_S9_6_add_64_12_group_275_610        55        565       115          681 
    csa_tree_U_S7_6_add_64_12_groupi                      csa_tree_U_S7_6_add_64_12_group_277_605        55        562       115          677 
    csa_tree_U_S9_4_add_64_8_groupi                       csa_tree_U_S9_4_add_64_8_group_269_609         85        511       152          663 
    csa_tree_U_S3_6_add_64_8_groupi                       csa_tree_U_S3_6_add_64_8_group_309_595         65        534       127          661 
    csa_tree_U_S12_2_add_91_9_groupi                      csa_tree_U_S12_2_add_91_9_group_299_615        86        486       157          643 
    csa_tree_U_S13_6_add_64_8_groupi                      csa_tree_U_S13_6_add_64_8_group_307_618        49        539       100          640 
    csa_tree_U_S6_6_add_64_12_groupi                      csa_tree_U_S6_6_add_64_12_group_285_603        64        508       126          634 
    csa_tree_fac2_groupi                                  csa_tree_fac2_group_253_625                    88        472       151          623 
    csa_tree_U_S10_6_add_64_12_groupi                     csa_tree_U_S10_6_add_64_12_group_283_612       63        484       123          607 
    csa_tree_U_S4_4_add_64_8_groupi                       csa_tree_U_S4_4_add_64_8_group_301_598         76        457       141          598 
    csa_tree_U_S3_5_add_64_8_groupi                       csa_tree_U_S3_5_add_64_8_group_323_594         81        428       146          574 
    csa_tree_U_S1_4_add_64_8_groupi                       csa_tree_U_S1_4_add_64_8_group_329_590         72        434       136          570 
    csa_tree_U_S15_4_add_64_8_groupi                      csa_tree_U_S15_4_add_64_8_group_327_622        76        425       142          567 
    csa_tree_fac1_groupi                                  csa_tree_fac1_group_255_624                    81        399       148          547 
    csa_tree_U_S12_6_add_64_12_groupi                     csa_tree_U_S12_6_add_64_12_group_257_617       55        432       110          542 
    csa_tree_U_S14_5_add_64_8_groupi                      csa_tree_U_S14_5_add_64_8_group_267_620        82        385       150          535 
    csa_tree_U_S1_5_add_64_8_groupi                       csa_tree_U_S1_5_add_64_8_group_325_591         80        342       150          492 
    csa_tree_U_S15_5_add_64_8_groupi                      csa_tree_U_S15_5_add_64_8_group_321_623        80        333       150          483 
    csa_tree_U_S7_3_add_91_9_groupi                       csa_tree_U_S7_3_add_91_9_group_281_604         52        311        88          400 
    csa_tree_U_S9_3_add_91_9_groupi                       csa_tree_U_S9_3_add_91_9_group_279_608         45        300        76          376 
    csa_tree_U_S11_6_add_64_12_groupi                     csa_tree_U_S11_6_add_64_12_group_261_614       32        313        58          371 
    csa_tree_U_S14_6_add_64_8_groupi                      csa_tree_U_S14_6_add_64_8_group_311_621        27        313        50          363 
    csa_tree_U_S2_6_add_64_8_groupi                       csa_tree_U_S2_6_add_64_8_group_313_593         27        310        50          359 
    csa_tree_U_S5_7_add_64_12_groupi                      csa_tree_U_S5_7_add_64_12_group_293_601        43        277        77          354 
    csa_tree_U_S4_7_add_64_12_groupi                      csa_tree_U_S4_7_add_64_12_group_295_599        41        276        73          349 
