============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 24 2020  03:30:48 am
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                         Instance                                           Module                    Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------------------------------
top_level                                                                                            159359     933336    399707      1333043 
  GEN[28].U_MULTIi_SHRP                                   filter_sharp_bit_width10_28                  2998      16851      6712        23563 
  GEN[29].U_MULTIi_SHRP                                   filter_sharp_bit_width10_29                  2939      16685      6596        23281 
  GEN[15].U_MULTIi_SHRP                                   filter_sharp_bit_width10_15                  2906      16703      6537        23240 
  GEN[3].U_MULTIi_SHRP                                    filter_sharp_bit_width10_3                   2935      16635      6584        23219 
  GEN[9].U_MULTIi_SHRP                                    filter_sharp_bit_width10_9                   2913      16585      6554        23139 
  GEN[6].U_MULTIi_SHRP                                    filter_sharp_bit_width10_6                   2909      16556      6556        23112 
  GEN[16].U_MULTIi_SHRP                                   filter_sharp_bit_width10_16                  2903      16590      6516        23106 
  GEN[24].U_MULTIi_SHRP                                   filter_sharp_bit_width10_24                  2899      16580      6510        23090 
  GEN[2].U_MULTIi_SHRP                                    filter_sharp_bit_width10_2                   2904      16563      6517        23080 
  GEN[26].U_MULTIi_SHRP                                   filter_sharp_bit_width10_26                  2899      16548      6525        23073 
  GEN[19].U_MULTIi_SHRP                                   filter_sharp_bit_width10_19                  2893      16535      6506        23042 
  GEN[13].U_MULTIi_SHRP                                   filter_sharp_bit_width10_13                  2894      16520      6515        23036 
  GEN[21].U_MULTIi_SHRP                                   filter_sharp_bit_width10_21                  2902      16516      6519        23035 
  GEN[12].U_MULTIi_SHRP                                   filter_sharp_bit_width10_12                  2825      16660      6365        23025 
  GEN[25].U_MULTIi_SHRP                                   filter_sharp_bit_width10_25                  2887      16457      6484        22942 
  GEN[5].U_MULTIi_SHRP                                    filter_sharp_bit_width10_5                   2886      16356      6494        22849 
  GEN[27].U_MULTIi_SHRP                                   filter_sharp_bit_width10_27                  2830      16421      6383        22804 
  GEN[0].U_MULTIi_SHRP                                    filter_sharp_bit_width10                     2844      16368      6400        22768 
  GEN[17].U_MULTIi_SHRP                                   filter_sharp_bit_width10_17                  2798      16322      6309        22631 
  GEN[14].U_MULTIi_SHRP                                   filter_sharp_bit_width10_14                  2802      16219      6314        22533 
  GEN[11].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278_1_512      55        468       116          584 
  GEN[10].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278_467        55        468       116          584 
  GEN[7].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi   csa_tree_U_S7_6_add_64_12_group_278_571        56        464       117          581 
  GEN[8].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi   csa_tree_U_S7_6_add_64_12_group_278_1_618      56        463       117          580 
  GEN[23].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278_1          55        458       116          574 
  GEN[22].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278            55        458       116          574 
  GEN[23].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi  csa_tree_U_S9_6_add_64_12_group_276_1          56        453       119          572 
  GEN[4].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi   csa_tree_U_S9_6_add_64_12_group_276_1_704      55        456       116          572 
  GEN[1].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi   csa_tree_U_S9_6_add_64_12_group_276_657        55        456       116          572 
  GEN[31].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi  csa_tree_U_S9_6_add_64_12_group_276_1_417      56        452       119          571 
  GEN[31].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278_1_421      55        454       116          571 
  GEN[30].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278_375        55        454       116          571 
  GEN[8].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi   csa_tree_U_S9_6_add_64_12_group_276_1_614      55        454       116          571 
  GEN[7].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi   csa_tree_U_S9_6_add_64_12_group_276_563        55        454       116          571 
  GEN[22].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi  csa_tree_U_S9_6_add_64_12_group_276            56        450       119          569 
  GEN[20].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi  csa_tree_U_S9_6_add_64_12_group_276_1_325      55        453       116          569 
  GEN[20].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278_1_329      55        453       116          569 
  GEN[18].U_MULTIi_SHRP_csa_tree_U_S9_6_add_64_12_groupi  csa_tree_U_S9_6_add_64_12_group_276_278        55        453       116          569 
  GEN[18].U_MULTIi_SHRP_csa_tree_U_S7_6_add_64_12_groupi  csa_tree_U_S7_6_add_64_12_group_278_285        55        453       116          569 
