============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 24 2020  03:31:13 am
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
--------------------------------------------------------------------------------
HS65_LSS_XNOR2X12           8      54.080      0.107      17.381    CORE65LPSVT 
HS65_LSS_XNOR2X18           8      83.200      0.177      29.438    CORE65LPSVT 
HS65_LSS_XNOR2X24           2      24.960      0.059      11.891    CORE65LPSVT 
HS65_LSS_XNOR2X3           27     112.320      0.094      12.817    CORE65LPSVT 
HS65_LSS_XNOR2X6         2426   10092.160     16.206    1868.815    CORE65LPSVT 
HS65_LSS_XNOR3X12           1      24.440      0.027       3.674    CORE65LPSVT 
HS65_LSS_XNOR3X2            1       8.320      0.004       0.453    CORE65LPSVT 
HS65_LSS_XOR2X12            5      31.200      0.066       9.434    CORE65LPSVT 
HS65_LSS_XOR2X17            5      49.400      0.102       9.187    CORE65LPSVT 
HS65_LSS_XOR2X3             3      12.480      0.010       1.093    CORE65LPSVT 
HS65_LSS_XOR2X6          3335   13873.600     19.090    3344.224    CORE65LPSVT 
HS65_LSS_XOR3X2           285    2223.000      1.567     228.730    CORE65LPSVT 
HS65_LS_AND2ABX18           1       4.160      0.009       0.920    CORE65LPSVT 
HS65_LS_AND2ABX9           14      50.960      0.066       8.258    CORE65LPSVT 
HS65_LS_AND2X18           148     538.720      1.511     176.106    CORE65LPSVT 
HS65_LS_AND2X27            32     183.040      0.469      45.922    CORE65LPSVT 
HS65_LS_AND2X35             7      43.680      0.136      14.345    CORE65LPSVT 
HS65_LS_AND2X4           2295    5967.000      5.114    1070.237    CORE65LPSVT 
HS65_LS_AND2X9            327    1020.240      1.513     193.038    CORE65LPSVT 
HS65_LS_AND3ABCX9           2       9.360      0.011       1.245    CORE65LPSVT 
HS65_LS_AND3X18             9      42.120      0.105       4.736    CORE65LPSVT 
HS65_LS_AND3X27             4      27.040      0.072       3.136    CORE65LPSVT 
HS65_LS_AND3X9             22      80.080      0.129       9.389    CORE65LPSVT 
HS65_LS_AND4X13             1       6.240      0.017       0.427    CORE65LPSVT 
HS65_LS_AND4X6              4      20.800      0.029       0.938    CORE65LPSVT 
HS65_LS_AO112X18            3      14.040      0.028       2.557    CORE65LPSVT 
HS65_LS_AO112X27            1       8.840      0.016       1.511    CORE65LPSVT 
HS65_LS_AO112X9           143     594.880      0.707      80.823    CORE65LPSVT 
HS65_LS_AO12X18           290    1206.400      3.192     252.965    CORE65LPSVT 
HS65_LS_AO12X27             9      60.840      0.146      11.424    CORE65LPSVT 
HS65_LS_AO12X35             3      23.400      0.062       4.536    CORE65LPSVT 
HS65_LS_AO12X9           2686    9777.040     13.014    2429.617    CORE65LPSVT 
HS65_LS_AO212X18            1       6.240      0.010       0.869    CORE65LPSVT 
HS65_LS_AO212X4            32     149.760      0.101      36.385    CORE65LPSVT 
HS65_LS_AO22X9             77     320.320      0.359      74.557    CORE65LPSVT 
