============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  02:03:38 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                       Instance                                         Module                   Cells  Cell Area  Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------------------------------
top_level                                                                                        46044     252509     98037       350546 
  GEN[0].U_MULTIi_SHRP                                 filter_sharp_bit_width10                   7080      38103     14408        52511 
    csa_tree_U_S7_6_add_64_12_groupi                   csa_tree_U_S7_6_add_64_12_group_277_221     184       1107       342         1449 
    csa_tree_U_S6_6_add_64_12_groupi                   csa_tree_U_S6_6_add_64_12_group_285_219     144       1100       277         1377 
    csa_tree_U_S9_6_add_64_12_groupi                   csa_tree_U_S9_6_add_64_12_group_275_226     181       1010       335         1345 
    csa_tree_U_S13_6_add_64_8_groupi                   csa_tree_U_S13_6_add_64_8_group_307_234     152        933       283         1216 
    csa_tree_U_S12_6_add_64_12_groupi                  csa_tree_U_S12_6_add_64_12_group_257_233    167        916       298         1214 
    csa_tree_U_S3_6_add_64_8_groupi                    csa_tree_U_S3_6_add_64_8_group_309_211      160        915       296         1211 
    csa_tree_U_S10_6_add_64_12_groupi                  csa_tree_U_S10_6_add_64_12_group_283_228    147        924       279         1203 
    csa_tree_U_S12_2_add_91_9_groupi                   csa_tree_U_S12_2_add_91_9_group_299_231     138        791       243         1034 
    csa_tree_U_S4_4_add_64_8_groupi                    csa_tree_U_S4_4_add_64_8_group_301_214      107        835       193         1027 
    csa_tree_U_S9_4_add_64_8_groupi                    csa_tree_U_S9_4_add_64_8_group_269_225      121        739       210          949 
    csa_tree_fac2_groupi                               csa_tree_fac2_group_253_241                 121        740       201          942 
    csa_tree_U_S3_5_add_64_8_groupi                    csa_tree_U_S3_5_add_64_8_group_323_210      128        725       213          938 
    csa_tree_fac1_groupi                               csa_tree_fac1_group_255_240                 121        681       199          880 
    csa_tree_U_S5_7_add_64_12_groupi                   csa_tree_U_S5_7_add_64_12_group_293_217     121        636       229          865 
    csa_tree_U_S4_3_add_91_9_groupi                    csa_tree_U_S4_3_add_91_9_group_301_213      117        654       210          864 
    csa_tree_U_S4_2_add_91_9_groupi                    csa_tree_U_S4_2_add_91_9_group_303_212      122        627       232          858 
    csa_tree_U_S11_6_add_64_12_groupi                  csa_tree_U_S11_6_add_64_12_group_261_230    120        623       222          846 
    csa_tree_U_S1_4_add_64_8_groupi                    csa_tree_U_S1_4_add_64_8_group_329_206      102        653       176          829 
    csa_tree_U_S14_5_add_64_8_groupi                   csa_tree_U_S14_5_add_64_8_group_267_236     111        625       194          819 
    csa_tree_U_S15_4_add_64_8_groupi                   csa_tree_U_S15_4_add_64_8_group_327_238     102        622       189          811 
    csa_tree_U_S1_5_add_64_8_groupi                    csa_tree_U_S1_5_add_64_8_group_325_207       94        550       173          723 
    csa_tree_U_S9_3_add_91_9_groupi                    csa_tree_U_S9_3_add_91_9_group_279_224       87        514       151          666 
    csa_tree_U_S4_7_add_64_12_groupi                   csa_tree_U_S4_7_add_64_12_group_295_215      70        540       125          665 
    csa_tree_U_S15_5_add_64_8_groupi                   csa_tree_U_S15_5_add_64_8_group_321_239      90        498       166          664 
    csa_tree_U_S8_5_add_64_8_groupi                    csa_tree_U_S8_5_add_64_8_group_273_222      102        474       187          661 
    csa_tree_U_S2_6_add_64_8_groupi                    csa_tree_U_S2_6_add_64_8_group_313_209       87        500       160          660 
    csa_tree_U_S14_6_add_64_8_groupi                   csa_tree_U_S14_6_add_64_8_group_311_237      89        499       157          656 
    csa_tree_U_S7_3_add_91_9_groupi                    csa_tree_U_S7_3_add_91_9_group_281_220       84        493       146          639 
    U_S12_7_add_64_8                                   add_signed_433_818                           97        469       164          633 
    U_S7_7_add_64_8                                    add_signed_393_834                           96        468       162          630 
    U_S3_7_add_64_8                                    add_signed_433_819                           99        441       167          608 
    U_S13_7_add_64_8                                   add_signed_433_817                           96        427       162          589 
    U_S9_7_add_64_8                                    add_signed_393_833                           98        421       163          584 
    U_S6_7_add_64_8                                    add_signed_393_784                           97        392       166          557 
    csa_tree_U_S12_3_add_91_9_groupi                   csa_tree_U_S12_3_add_91_9_group_259_232      61        431       112          543 
    U_S10_7_add_64_8                                   add_signed_393                               97        377       166          543 
    U_S14_7_add_64_8                                   add_signed_445_802                           92        376       153          529 
    U_S2_7_add_64_8                                    add_signed_445_803                           96        363       160          523 
    csa_tree_U_S14_3_add_91_9_groupi                   csa_tree_U_S14_3_add_91_9_group_317_235      65        405       114          519 
    U_S11_7_add_64_8                                   add_signed_393_831                           95        347       156          504 
    csa_tree_U_S2_3_add_91_9_groupi                    csa_tree_U_S2_3_add_91_9_group_319_208       69        381       122          502 
    csa_tree_U_S8_7_add_64_12_groupi                   csa_tree_U_S8_7_add_64_12_group_271_223      50        374        89          463 
    csa_tree_U_S5_2_add_91_9_groupi                    csa_tree_U_S5_2_add_91_9_group_291_216       48        375        79          454 
    csa_tree_U_S6_3_add_91_9_groupi                    csa_tree_U_S6_3_add_91_9_group_287_218       55        357        93          451 
    csa_tree_U_S10_3_add_91_9_groupi                   csa_tree_U_S10_3_add_91_9_group_265_227      53        331        89          419 
    csa_tree_U_S11_3_add_91_9_groupi                   csa_tree_U_S11_3_add_91_9_group_263_229      43        336        68          404 
    U_S1_6_add_64_8                                    add_signed_464_791                           54        311        77          389 
    U_S15_6_add_64_8                                   add_signed_464_790                           50        257        69          326 
  GEN[3].U_MULTIi_SHRP                                 filter_sharp_bit_width10_3                 7042      37706     14365        52071 
    csa_tree_U_S7_6_add_64_12_groupi                   csa_tree_U_S7_6_add_64_12_group_277         180       1130       334         1464 
    csa_tree_U_S9_6_add_64_12_groupi                   csa_tree_U_S9_6_add_64_12_group_275         175       1034       329         1363 
    csa_tree_U_S12_6_add_64_12_groupi                  csa_tree_U_S12_6_add_64_12_group_257        176        997       308         1305 
    csa_tree_U_S13_6_add_64_8_groupi                   csa_tree_U_S13_6_add_64_8_group_307         165        990       305         1295 
    csa_tree_U_S10_6_add_64_12_groupi                  csa_tree_U_S10_6_add_64_12_group_283        149        969       285         1255 
    csa_tree_U_S6_6_add_64_12_groupi                   csa_tree_U_S6_6_add_64_12_group_285         138        957       267         1224 
    csa_tree_U_S3_6_add_64_8_groupi                    csa_tree_U_S3_6_add_64_8_group_309          159        922       296         1219 
    csa_tree_U_S4_4_add_64_8_groupi                    csa_tree_U_S4_4_add_64_8_group_301          115        836       205         1041 
    csa_tree_U_S9_4_add_64_8_groupi                    csa_tree_U_S9_4_add_64_8_group_269          131        807       226         1033 
    csa_tree_U_S12_2_add_91_9_groupi                   csa_tree_U_S12_2_add_91_9_group_299         135        793       234         1027 
    csa_tree_fac2_groupi                               csa_tree_fac2_group_253                     129        757       215          972 
    csa_tree_U_S4_2_add_91_9_groupi                    csa_tree_U_S4_2_add_91_9_group_303          125        665       237          902 
    csa_tree_U_S3_5_add_64_8_groupi                    csa_tree_U_S3_5_add_64_8_group_323          121        691       204          895 
    csa_tree_fac1_groupi                               csa_tree_fac1_group_255                     116        681       195          876 
    csa_tree_U_S11_6_add_64_12_groupi                  csa_tree_U_S11_6_add_64_12_group_261        117        656       220          875 
    csa_tree_U_S14_5_add_64_8_groupi                   csa_tree_U_S14_5_add_64_8_group_267         111        647       198          845 
    csa_tree_U_S5_7_add_64_12_groupi                   csa_tree_U_S5_7_add_64_12_group_293         113        590       218          808 
    csa_tree_U_S15_4_add_64_8_groupi                   csa_tree_U_S15_4_add_64_8_group_327         101        600       186          786 
    csa_tree_U_S1_4_add_64_8_groupi                    csa_tree_U_S1_4_add_64_8_group_329           91        614       165          779 
    csa_tree_U_S1_5_add_64_8_groupi                    csa_tree_U_S1_5_add_64_8_group_325           97        516       177          692 
    csa_tree_U_S8_5_add_64_8_groupi                    csa_tree_U_S8_5_add_64_8_group_273          102        504       187          691 
    U_S6_7_add_64_8                                    add_signed_378_783                          104        511       176          687 
    csa_tree_U_S15_5_add_64_8_groupi                   csa_tree_U_S15_5_add_64_8_group_321          90        511       168          679 
    csa_tree_U_S2_6_add_64_8_groupi                    csa_tree_U_S2_6_add_64_8_group_313           83        522       155          677 
    U_S10_7_add_64_8                                   add_signed_378                              103        499       173          672 
    csa_tree_U_S7_3_add_91_9_groupi                    csa_tree_U_S7_3_add_91_9_group_281           90        493       157          650 
    U_S7_7_add_64_8                                    add_signed_378_818                           98        471       166          636 
    csa_tree_U_S9_3_add_91_9_groupi                    csa_tree_U_S9_3_add_91_9_group_279           88        483       151          634 
    U_S3_7_add_64_8                                    add_signed_418_803                          103        453       173          626 
    U_S13_7_add_64_8                                   add_signed_418_801                           97        461       162          623 
    csa_tree_U_S14_6_add_64_8_groupi                   csa_tree_U_S14_6_add_64_8_group_311          88        452       157          609 
    csa_tree_U_S4_7_add_64_12_groupi                   csa_tree_U_S4_7_add_64_12_group_295          67        471       122          593 
    U_S12_7_add_64_8                                   add_signed_418_802                           94        430       159          589 
    csa_tree_U_S4_3_add_91_9_groupi                    csa_tree_U_S4_3_add_91_9_group_301           63        458       108          566 
    csa_tree_U_S12_3_add_91_9_groupi                   csa_tree_U_S12_3_add_91_9_group_259          65        438       119          557 
    U_S9_7_add_64_8                                    add_signed_378_817                           94        393       156          549 
    U_S2_7_add_64_8                                    add_signed_430_787                           95        380       158          538 
    U_S14_7_add_64_8                                   add_signed_430_786                           92        373       153          526 
    U_S11_7_add_64_8                                   add_signed_378_815                           91        364       154          518 
    csa_tree_U_S14_3_add_91_9_groupi                   csa_tree_U_S14_3_add_91_9_group_317          68        386       121          507 
    csa_tree_U_S2_3_add_91_9_groupi                    csa_tree_U_S2_3_add_91_9_group_319           72        371       128          499 
    csa_tree_U_S8_7_add_64_12_groupi                   csa_tree_U_S8_7_add_64_12_group_271          57        388        97          485 
    csa_tree_U_S6_3_add_91_9_groupi                    csa_tree_U_S6_3_add_91_9_group_287           56        362        92          454 
    csa_tree_U_S5_2_add_91_9_groupi                    csa_tree_U_S5_2_add_91_9_group_291           50        372        82          454 
    csa_tree_U_S10_3_add_91_9_groupi                   csa_tree_U_S10_3_add_91_9_group_265          55        341        89          430 
    csa_tree_U_S11_3_add_91_9_groupi                   csa_tree_U_S11_3_add_91_9_group_263          44        324        70          394 
    U_S1_6_add_64_8                                    add_signed_449_775                           50        269        71          340 
    U_S15_6_add_64_8                                   add_signed_449_774                           49        256        69          325 
  GEN[2].U_MULTIi_SHRP                                 filter_sharp_bit_width10_2                 7022      37467     14322        51789 
    csa_tree_U_S7_6_add_64_12_groupi                   csa_tree_U_S7_6_add_64_12_group_277_283     183       1145       340         1485 
    csa_tree_U_S9_6_add_64_12_groupi                   csa_tree_U_S9_6_add_64_12_group_275_288     173       1069       325         1394 
    csa_tree_U_S12_6_add_64_12_groupi                  csa_tree_U_S12_6_add_64_12_group_257_295    165        971       301         1272 
    csa_tree_U_S10_6_add_64_12_groupi                  csa_tree_U_S10_6_add_64_12_group_283_290    153        980       288         1268 
    csa_tree_U_S4_4_add_64_8_groupi                    csa_tree_U_S4_4_add_64_8_group_301_276      140       1002       246         1248 
    csa_tree_U_S3_6_add_64_8_groupi                    csa_tree_U_S3_6_add_64_8_group_309_273      154        942       284         1226 
    csa_tree_U_S13_6_add_64_8_groupi                   csa_tree_U_S13_6_add_64_8_group_307_296     148        943       279         1222 
