============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2020  03:21:12 am
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                         Instance                                            Module                    Cells  Cell Area  Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------------------------------------
top_level                                                                                             312282    1780265    784676      2564941 
  GEN[31].U_MULTIi_SHRP                                   filter_sharp_bit_width10_31                   2685      15359      6132        21491 
  GEN[11].U_MULTIi_SHRP                                   filter_sharp_bit_width10_11                   2683      15357      6129        21486 
  GEN[46].U_MULTIi_SHRP                                   filter_sharp_bit_width10_46                   2673      15313      6116        21429 
  GEN[30].U_MULTIi_SHRP                                   filter_sharp_bit_width10_30                   2684      15295      6131        21426 
  GEN[44].U_MULTIi_SHRP                                   filter_sharp_bit_width10_44                   2672      15289      6110        21399 
  GEN[1].U_MULTIi_SHRP                                    filter_sharp_bit_width10_1                    2681      15277      6113        21389 
  GEN[35].U_MULTIi_SHRP                                   filter_sharp_bit_width10_35                   2671      15273      6115        21388 
  GEN[38].U_MULTIi_SHRP                                   filter_sharp_bit_width10_38                   2672      15277      6106        21383 
  GEN[15].U_MULTIi_SHRP                                   filter_sharp_bit_width10_15                   2674      15277      6106        21383 
  GEN[10].U_MULTIi_SHRP                                   filter_sharp_bit_width10_10                   2669      15278      6101        21379 
  GEN[48].U_MULTIi_SHRP                                   filter_sharp_bit_width10_48                   2669      15270      6107        21377 
  GEN[43].U_MULTIi_SHRP                                   filter_sharp_bit_width10_43                   2666      15286      6088        21375 
  GEN[45].U_MULTIi_SHRP                                   filter_sharp_bit_width10_45                   2671      15260      6107        21367 
  GEN[3].U_MULTIi_SHRP                                    filter_sharp_bit_width10_3                    2667      15270      6096        21366 
  GEN[52].U_MULTIi_SHRP                                   filter_sharp_bit_width10_52                   2676      15246      6106        21352 
  GEN[25].U_MULTIi_SHRP                                   filter_sharp_bit_width10_25                   2658      15276      6076        21352 
  GEN[5].U_MULTIi_SHRP                                    filter_sharp_bit_width10_5                    2660      15271      6081        21352 
  GEN[19].U_MULTIi_SHRP                                   filter_sharp_bit_width10_19                   2668      15260      6088        21348 
  GEN[16].U_MULTIi_SHRP                                   filter_sharp_bit_width10_16                   2664      15242      6105        21347 
  GEN[42].U_MULTIi_SHRP                                   filter_sharp_bit_width10_42                   2669      15251      6092        21343 
  GEN[7].U_MULTIi_SHRP                                    filter_sharp_bit_width10_7                    2663      15261      6079        21340 
  GEN[6].U_MULTIi_SHRP                                    filter_sharp_bit_width10_6                    2666      15241      6091        21333 
  GEN[8].U_MULTIi_SHRP                                    filter_sharp_bit_width10_8                    2663      15246      6082        21329 
  GEN[28].U_MULTIi_SHRP                                   filter_sharp_bit_width10_28                   2659      15238      6081        21319 
  GEN[4].U_MULTIi_SHRP                                    filter_sharp_bit_width10_4                    2672      15219      6099        21318 
  GEN[21].U_MULTIi_SHRP                                   filter_sharp_bit_width10_21                   2656      15244      6072        21316 
  GEN[50].U_MULTIi_SHRP                                   filter_sharp_bit_width10_50                   2664      15227      6084        21311 
  GEN[18].U_MULTIi_SHRP                                   filter_sharp_bit_width10_18                   2669      15213      6098        21311 
  GEN[36].U_MULTIi_SHRP                                   filter_sharp_bit_width10_36                   2671      15211      6094        21305 
  GEN[57].U_MULTIi_SHRP                                   filter_sharp_bit_width10_57                   2657      15222      6075        21297 
  GEN[22].U_MULTIi_SHRP                                   filter_sharp_bit_width10_22                   2654      15238      6057        21294 
  GEN[51].U_MULTIi_SHRP                                   filter_sharp_bit_width10_51                   2655      15219      6073        21291 
  GEN[27].U_MULTIi_SHRP                                   filter_sharp_bit_width10_27                   2651      15225      6063        21288 
  GEN[39].U_MULTIi_SHRP                                   filter_sharp_bit_width10_39                   2664      15197      6081        21278 
  GEN[20].U_MULTIi_SHRP                                   filter_sharp_bit_width10_20                   2659      15198      6072        21270 
  GEN[17].U_MULTIi_SHRP                                   filter_sharp_bit_width10_17                   2648      15220      6041        21262 
  GEN[59].U_MULTIi_SHRP                                   filter_sharp_bit_width10_59                   2664      15166      6088        21254 
  GEN[60].U_MULTIi_SHRP                                   filter_sharp_bit_width10_60                   2655      15183      6070        21253 
  GEN[53].U_MULTIi_SHRP                                   filter_sharp_bit_width10_53                   2659      15176      6075        21250 
  GEN[61].U_MULTIi_SHRP                                   filter_sharp_bit_width10_61                   2648      15195      6053        21249 
  GEN[56].U_MULTIi_SHRP                                   filter_sharp_bit_width10_56                   2654      15165      6068        21233 
  GEN[54].U_MULTIi_SHRP                                   filter_sharp_bit_width10_54                   2650      15169      6039        21208 
