============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2020  03:21:13 am
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                         Instance                                            Module                    Cells  Cell Area  Net Area   Total Area 
-----------------------------------------------------------------------------------------------------------------------------------------------
top_level                                                                                             312282    1780265    784676      2564941 
  GEN[31].U_MULTIi_SHRP                                   filter_sharp_bit_width10_31                   2685      15359      6132        21491 
    csa_tree_U_S7_6_add_64_12_groupi                      csa_tree_U_S7_6_add_64_12_group_277_1781        55        437       116          553 
    csa_tree_U_S9_6_add_64_12_groupi                      csa_tree_U_S9_6_add_64_12_group_275_1786        55        436       116          552 
    csa_tree_U_S6_6_add_64_12_groupi                      csa_tree_U_S6_6_add_64_12_group_285_1779        47        369        94          464 
    csa_tree_U_S10_6_add_64_12_groupi                     csa_tree_U_S10_6_add_64_12_group_283_1788       47        365        94          459 
    csa_tree_U_S3_6_add_64_8_groupi                       csa_tree_U_S3_6_add_64_8_group_309_1771         44        355        90          445 
    csa_tree_U_S13_6_add_64_8_groupi                      csa_tree_U_S13_6_add_64_8_group_307_1794        43        347        92          438 
    csa_tree_U_S12_6_add_64_12_groupi                     csa_tree_U_S12_6_add_64_12_group_257_1793       40        322        81          404 
    csa_tree_U_S9_3_add_91_9_groupi                       csa_tree_U_S9_3_add_91_9_group_279_1784         45        272        76          348 
    csa_tree_U_S7_3_add_91_9_groupi                       csa_tree_U_S7_3_add_91_9_group_281_1780         45        272        76          348 
    csa_tree_U_S15_4_add_64_8_groupi                      csa_tree_U_S15_4_add_64_8_group_327_1798        31        270        63          333 
    csa_tree_U_S1_4_add_64_8_groupi                       csa_tree_U_S1_4_add_64_8_group_329_1766         31        270        63          333 
    csa_tree_U_S12_3_add_91_9_groupi                      csa_tree_U_S12_3_add_91_9_group_259_1792        38        259        66          325 
    csa_tree_U_S4_7_add_64_12_groupi                      csa_tree_U_S4_7_add_64_12_group_295_1775        38        252        69          321 
    csa_tree_U_S4_2_add_91_9_groupi                       csa_tree_U_S4_2_add_91_9_group_303_1772         33        251        62          313 
    csa_tree_U_S14_3_add_91_9_groupi                      csa_tree_U_S14_3_add_91_9_group_317_1795        41        238        68          306 
    csa_tree_U_S2_3_add_91_9_groupi                       csa_tree_U_S2_3_add_91_9_group_319_1768         41        238        68          306 
    csa_tree_U_S12_2_add_91_9_groupi                      csa_tree_U_S12_2_add_91_9_group_299_1791        35        245        61          306 
    csa_tree_U_S5_7_add_64_12_groupi                      csa_tree_U_S5_7_add_64_12_group_293_1777        35        241        63          304 
    csa_tree_U_S11_6_add_64_12_groupi                     csa_tree_U_S11_6_add_64_12_group_261_1790       32        245        58          304 
    csa_tree_fac2_groupi                                  csa_tree_fac2_group_253_1801                    28        249        51          300 
    csa_tree_U_S4_4_add_64_8_groupi                       csa_tree_U_S4_4_add_64_8_group_301_1774         31        245        54          299 
    csa_tree_U_S4_3_add_91_9_groupi                       csa_tree_U_S4_3_add_91_9_group_301_1773         35        230        62          292 
    csa_tree_U_S3_5_add_64_8_groupi                       csa_tree_U_S3_5_add_64_8_group_323_1770         27        232        50          282 
    csa_tree_U_S9_4_add_64_8_groupi                       csa_tree_U_S9_4_add_64_8_group_269_1785         29        230        52          282 
    csa_tree_U_S14_5_add_64_8_groupi                      csa_tree_U_S14_5_add_64_8_group_267_1796        29        229        53          282 
    csa_tree_fac1_groupi                                  csa_tree_fac1_group_255_1800                    28        230        51          281 
    csa_tree_U_S2_6_add_64_8_groupi                       csa_tree_U_S2_6_add_64_8_group_313_1769         28        221        49          270 
    csa_tree_U_S5_2_add_91_9_groupi                       csa_tree_U_S5_2_add_91_9_group_291_1776         30        218        52          269 
    csa_tree_U_S8_7_add_64_12_groupi                      csa_tree_U_S8_7_add_64_12_group_271_1783        30        215        54          269 
    csa_tree_U_S6_3_add_91_9_groupi                       csa_tree_U_S6_3_add_91_9_group_287_1778         29        217        50          266 
    csa_tree_U_S15_5_add_64_8_groupi                      csa_tree_U_S15_5_add_64_8_group_321_1799        28        216        50          266 
    csa_tree_U_S1_5_add_64_8_groupi                       csa_tree_U_S1_5_add_64_8_group_325_1767         27        214        50          263 
    csa_tree_U_S14_6_add_64_8_groupi                      csa_tree_U_S14_6_add_64_8_group_311_1797        28        213        49          262 
    csa_tree_U_S10_3_add_91_9_groupi                      csa_tree_U_S10_3_add_91_9_group_265_1787        29        209        49          257 
    csa_tree_U_S11_3_add_91_9_groupi                      csa_tree_U_S11_3_add_91_9_group_263_1789        29        206        47          253 
    csa_tree_U_S8_5_add_64_8_groupi                       csa_tree_U_S8_5_add_64_8_group_273_1782         31        167        53          220 
