============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  03:35:54 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                        Instance                                          Module                   Cells  Cell Area  Net Area   Total Area 
-------------------------------------------------------------------------------------------------------------------------------------------
top_level                                                                                          85082     472685    183916       656601 
  GEN[5].U_MULTIi_SHRP                                   filter_sharp_bit_width10_5                 6569      36101     13522        49623 
    csa_tree_U_S7_6_add_64_12_groupi                     csa_tree_U_S7_6_add_64_12_group_277         171       1026       320         1346 
    csa_tree_U_S9_6_add_64_12_groupi                     csa_tree_U_S9_6_add_64_12_group_275         168       1030       317         1346 
    csa_tree_U_S12_6_add_64_12_groupi                    csa_tree_U_S12_6_add_64_12_group_257        172       1011       305         1316 
    csa_tree_U_S6_6_add_64_12_groupi                     csa_tree_U_S6_6_add_64_12_group_285         144       1022       277         1299 
    csa_tree_U_S13_6_add_64_8_groupi                     csa_tree_U_S13_6_add_64_8_group_307         144        950       271         1221 
    csa_tree_U_S10_6_add_64_12_groupi                    csa_tree_U_S10_6_add_64_12_group_283        156        883       294         1178 
    csa_tree_U_S3_6_add_64_8_groupi                      csa_tree_U_S3_6_add_64_8_group_309          147        829       279         1108 
    csa_tree_U_S12_2_add_91_9_groupi                     csa_tree_U_S12_2_add_91_9_group_299         138        855       241         1096 
    csa_tree_fac2_groupi                                 csa_tree_fac2_group_253                     135        776       221          998 
    csa_tree_U_S4_4_add_64_8_groupi                      csa_tree_U_S4_4_add_64_8_group_301          104        771       185          956 
    csa_tree_fac1_groupi                                 csa_tree_fac1_group_255                     122        718       207          925 
    csa_tree_U_S3_5_add_64_8_groupi                      csa_tree_U_S3_5_add_64_8_group_323          125        694       212          906 
    csa_tree_U_S9_4_add_64_8_groupi                      csa_tree_U_S9_4_add_64_8_group_269          116        687       206          893 
    csa_tree_U_S11_6_add_64_12_groupi                    csa_tree_U_S11_6_add_64_12_group_261        115        627       218          845 
    csa_tree_U_S14_5_add_64_8_groupi                     csa_tree_U_S14_5_add_64_8_group_267          98        663       178          841 
    csa_tree_U_S4_2_add_91_9_groupi                      csa_tree_U_S4_2_add_91_9_group_303          120        577       229          806 
    csa_tree_U_S14_6_add_64_8_groupi                     csa_tree_U_S14_6_add_64_8_group_311          96        629       172          801 
    csa_tree_U_S1_4_add_64_8_groupi                      csa_tree_U_S1_4_add_64_8_group_329           81        588       147          734 
    csa_tree_U_S4_3_add_91_9_groupi                      csa_tree_U_S4_3_add_91_9_group_301          111        528       200          728 
    csa_tree_U_S15_4_add_64_8_groupi                     csa_tree_U_S15_4_add_64_8_group_327          78        556       143          698 
    csa_tree_U_S2_6_add_64_8_groupi                      csa_tree_U_S2_6_add_64_8_group_313           86        517       159          675 
    csa_tree_U_S4_7_add_64_12_groupi                     csa_tree_U_S4_7_add_64_12_group_295          71        539       128          667 
    U_S3_7_add_64_8                                      add_signed_410_795                          100        491       169          660 
    csa_tree_U_S7_3_add_91_9_groupi                      csa_tree_U_S7_3_add_91_9_group_281           83        493       140          633 
    csa_tree_U_S8_5_add_64_8_groupi                      csa_tree_U_S8_5_add_64_8_group_273           96        446       178          624 
    csa_tree_U_S9_3_add_91_9_groupi                      csa_tree_U_S9_3_add_91_9_group_279           82        480       137          617 
    U_S13_7_add_64_8                                     add_signed_410_793                           97        439       166          605 
    U_S12_7_add_64_8                                     add_signed_410_794                           99        427       167          595 
    U_S6_7_add_64_8                                      add_signed_370_1408                          97        406       163          569 
    csa_tree_U_S5_7_add_64_12_groupi                     csa_tree_U_S5_7_add_64_12_group_293          69        441       126          567 
    U_S10_7_add_64_8                                     add_signed_370                               98        395       164          559 
    csa_tree_U_S1_5_add_64_8_groupi                      csa_tree_U_S1_5_add_64_8_group_325           78        416       142          558 
    U_S9_7_add_64_8                                      add_signed_370_809                           92        401       153          554 
