============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  03:36:03 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
--------------------------------------------------------------------------------
HS65_LSS_XNOR2X12         608    4110.080      8.137    2091.131    CORE65LPSVT 
HS65_LSS_XNOR2X18         308    3203.200      6.836    1541.400    CORE65LPSVT 
HS65_LSS_XNOR2X24          99    1235.520      2.969     609.729    CORE65LPSVT 
HS65_LSS_XNOR2X3           89     370.240      0.314      73.148    CORE65LPSVT 
HS65_LSS_XNOR2X6         2375    9880.000     16.073    4180.134    CORE65LPSVT 
HS65_LSS_XNOR3X12          10     244.400      0.269      89.266    CORE65LPSVT 
HS65_LSS_XNOR3X2            1       8.320      0.005       1.337    CORE65LPSVT 
HS65_LSS_XNOR3X4            1       9.880      0.009       1.453    CORE65LPSVT 
HS65_LSS_XNOR3X8            2      37.440      0.030      13.354    CORE65LPSVT 
HS65_LSS_XOR2X12           19     118.560      0.247      51.759    CORE65LPSVT 
HS65_LSS_XOR2X17           10      98.800      0.214      44.401    CORE65LPSVT 
HS65_LSS_XOR2X23            1      12.480      0.028       5.591    CORE65LPSVT 
HS65_LSS_XOR2X3             9      37.440      0.031       6.344    CORE65LPSVT 
HS65_LSS_XOR2X6          1975    8216.000     11.454    3790.797    CORE65LPSVT 
HS65_LSS_XOR3X12           12     305.760      0.372      58.693    CORE65LPSVT 
HS65_LSS_XOR3X2             9      70.200      0.049      10.531    CORE65LPSVT 
HS65_LSS_XOR3X4             2      20.800      0.021       4.659    CORE65LPSVT 
HS65_LS_AND2ABX18           2       8.320      0.018       4.814    CORE65LPSVT 
HS65_LS_AND2ABX27           2      11.440      0.028       5.246    CORE65LPSVT 
HS65_LS_AND2ABX9            1       3.640      0.005       0.644    CORE65LPSVT 
HS65_LS_AND2X18           575    2093.000      5.609    1268.841    CORE65LPSVT 
HS65_LS_AND2X27           205    1172.600      3.209     693.902    CORE65LPSVT 
HS65_LS_AND2X35            90     561.600      1.871     425.272    CORE65LPSVT 
HS65_LS_AND2X4           1013    2633.800      2.359     789.786    CORE65LPSVT 
HS65_LS_AND2X9            596    1859.520      2.793     708.445    CORE65LPSVT 
HS65_LS_AND3ABCX27          1       6.240      0.014       3.957    CORE65LPSVT 
HS65_LS_AND3ABCX35          1       6.760      0.018       1.236    CORE65LPSVT 
HS65_LS_AND3X18            15      70.200      0.159      30.640    CORE65LPSVT 
HS65_LS_AND3X27             3      20.280      0.054       9.850    CORE65LPSVT 
HS65_LS_AND3X35             7      54.600      0.176      22.994    CORE65LPSVT 
HS65_LS_AND3X9              8      29.120      0.037       6.320    CORE65LPSVT 
HS65_LS_AND4X13             3      18.720      0.051       2.982    CORE65LPSVT 
HS65_LS_AND4X19             3      32.760      0.085       6.179    CORE65LPSVT 
HS65_LS_AND4X25             2      26.000      0.070       7.112    CORE65LPSVT 
HS65_LS_AND4X6              4      20.800      0.031       1.615    CORE65LPSVT 
HS65_LS_AO112X18            4      18.720      0.039       5.166    CORE65LPSVT 
HS65_LS_AO112X9             8      33.280      0.037       5.367    CORE65LPSVT 
HS65_LS_AO12X18           201     836.160      2.136     542.195    CORE65LPSVT 
HS65_LS_AO12X27            25     169.000      0.408      78.156    CORE65LPSVT 
HS65_LS_AO12X35             8      62.400      0.198      34.233    CORE65LPSVT 
HS65_LS_AO12X9            270     982.800      1.285     291.631    CORE65LPSVT 
HS65_LS_AO22X9              1       4.160      0.005       2.106    CORE65LPSVT 
HS65_LS_AO311X9             1       4.680      0.005       0.688    CORE65LPSVT 
HS65_LS_AO312X9            17      97.240      0.080      34.469    CORE65LPSVT 
HS65_LS_AO31X18             4      20.800      0.041       4.111    CORE65LPSVT 
HS65_LS_AO31X27             2      17.680      0.033       2.493    CORE65LPSVT 
HS65_LS_AO31X35             5      46.800      0.094       8.295    CORE65LPSVT 
HS65_LS_AO31X9              6      24.960      0.028       5.824    CORE65LPSVT 
HS65_LS_AO32X18             6      34.320      0.062      18.197    CORE65LPSVT 
HS65_LS_AO32X4             21      98.280      0.050      22.985    CORE65LPSVT 
HS65_LS_AO32X9             14      72.800      0.072      14.027    CORE65LPSVT 
HS65_LS_AO33X18             1       6.240      0.012       3.091    CORE65LPSVT 
HS65_LS_AOI112X13           2      17.680      0.023       4.886    CORE65LPSVT 
HS65_LS_AOI112X18           1      12.480      0.017       2.897    CORE65LPSVT 
HS65_LS_AOI112X26           3      51.480      0.085      11.760    CORE65LPSVT 
HS65_LS_AOI112X4            4      14.560      0.015       2.096    CORE65LPSVT 
HS65_LS_AOI112X7            2      12.480      0.013       1.646    CORE65LPSVT 
HS65_LS_AOI112X9            1       6.240      0.009       0.886    CORE65LPSVT 
HS65_LS_AOI12X12          373    1939.600      3.389     603.086    CORE65LPSVT 
HS65_LS_AOI12X17          336    2271.360      5.010     710.346    CORE65LPSVT 
HS65_LS_AOI12X2            58     150.800      0.078      15.716    CORE65LPSVT 
HS65_LS_AOI12X23          215    1900.600      4.466     521.383    CORE65LPSVT 
HS65_LS_AOI12X35           95    1235.000      3.082     279.789    CORE65LPSVT 
HS65_LS_AOI12X4             3       9.360      0.012       1.906    CORE65LPSVT 
HS65_LS_AOI12X46           41     703.560      1.881     134.539    CORE65LPSVT 
HS65_LS_AOI12X6           239     745.680      0.972     168.812    CORE65LPSVT 
HS65_LS_AOI12X9             4      20.800      0.028       5.166    CORE65LPSVT 
HS65_LS_AOI13X10           12      74.880      0.083      26.164    CORE65LPSVT 
HS65_LS_AOI13X15            7      61.880      0.081      25.232    CORE65LPSVT 
HS65_LS_AOI13X20            4      47.840      0.060      33.200    CORE65LPSVT 
HS65_LS_AOI13X5            15      54.600      0.046      26.179    CORE65LPSVT 
HS65_LS_AOI211X18           2      24.960      0.032       4.149    CORE65LPSVT 
HS65_LS_AOI211X26           1      17.160      0.017       2.264    CORE65LPSVT 
HS65_LS_AOI211X4           24      87.360      0.061       8.963    CORE65LPSVT 
HS65_LS_AOI212X13           3      32.760      0.054       9.750    CORE65LPSVT 
HS65_LS_AOI212X18           4      60.320      0.089      19.961    CORE65LPSVT 
HS65_LS_AOI212X4           10      41.600      0.046      12.371    CORE65LPSVT 
HS65_LS_AOI212X9            2      15.600      0.020       4.404    CORE65LPSVT 
HS65_LS_AOI21X12           34     176.800      0.283      65.738    CORE65LPSVT 
HS65_LS_AOI21X17          108     730.080      1.323     250.834    CORE65LPSVT 
HS65_LS_AOI21X2            10      26.000      0.012       2.588    CORE65LPSVT 
HS65_LS_AOI21X23           79     698.360      1.347     268.151    CORE65LPSVT 
HS65_LS_AOI21X35           51     663.000      1.449     178.170    CORE65LPSVT 
HS65_LS_AOI21X46           11     188.760      0.431      37.193    CORE65LPSVT 
HS65_LS_AOI21X6            66     205.920      0.241      60.233    CORE65LPSVT 
HS65_LS_AOI21X9            12      62.400      0.084      15.535    CORE65LPSVT 
HS65_LS_AOI22X11            1       6.240      0.009       1.006    CORE65LPSVT 
HS65_LS_AOI22X17            1       8.840      0.014       2.624    CORE65LPSVT 
HS65_LS_AOI22X33            3      51.480      0.096      12.908    CORE65LPSVT 
HS65_LS_AOI22X44            2      44.720      0.086      12.102    CORE65LPSVT 
HS65_LS_AOI22X6            31     112.840      0.112      29.394    CORE65LPSVT 
HS65_LS_AOI312X4            2      10.400      0.010       3.889    CORE65LPSVT 
HS65_LS_AOI31X10            5      31.200      0.039      12.004    CORE65LPSVT 
HS65_LS_AOI31X15            7      61.880      0.078      25.644    CORE65LPSVT 
HS65_LS_AOI31X20            9     107.640      0.139      40.237    CORE65LPSVT 
HS65_LS_AOI31X31           21     360.360      0.483     123.502    CORE65LPSVT 
HS65_LS_AOI31X41            1      22.360      0.031       8.760    CORE65LPSVT 
