============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 28 2020  11:09:26 am
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                            Leakage   Dynamic    Total   
      Instance       Cells Power(uW) Power(uW) Power(uW) 
---------------------------------------------------------
INTER_2               4202    44.856  4829.140  4873.996 
  gen_filter[2].U_S0   427     4.613   312.175   316.788 
  gen_filter[3].U_S0   427     4.613   328.882   333.495 
  gen_filter[6].U_S0   427     4.613   335.817   340.430 
  gen_filter[7].U_S0   427     4.611   301.313   305.924 
  gen_filter[5].U_S0   427     4.608   324.931   329.539 
  gen_filter[1].U_S0   427     4.606   299.698   304.304 
  gen_filter[4].U_S0   427     4.605   304.037   308.642 
  gen_filter[8].U_S0   428     4.602   302.934   307.537 
  gen_filter[0].U_S0   428     4.601   323.195   327.796 

