============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 27 2020  11:36:32 pm
  Module:                 INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                            Leakage   Dynamic    Total   
      Instance       Cells Power(uW) Power(uW) Power(uW) 
---------------------------------------------------------
INTER_4               7214    68.478  8279.505  8347.983 
  gen_filter[1].U_S0   741     6.941   613.957   620.898 
  gen_filter[8].U_S0   754     6.905   576.210   583.115 
  gen_filter[7].U_S0   747     6.883   553.855   560.738 
  gen_filter[0].U_S0   751     6.883   580.008   586.892 
  gen_filter[2].U_S0   740     6.877   641.510   648.387 
  gen_filter[3].U_S0   737     6.834   675.551   682.385 
  gen_filter[6].U_S0   740     6.829   602.376   609.205 
  gen_filter[5].U_S0   737     6.817   614.510   621.327 
  gen_filter[4].U_S0   737     6.806   648.176   654.981 

