============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Jan 27 2020  09:41:33 pm
  Module:                 INTER_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

              Instance                              Module                 Cells  Cell Area  Net Area   Total Area 
-------------------------------------------------------------------------------------------------------------------
INTER_8                                                                    50253     286924    106750       393674 
  gen_filter[5].U_S0                filter_8_bit_width10_5                  1463       8097      2883        10981 
    csa_tree_U_S16_add_18_10_groupi csa_tree_U_S16_add_18_10_group_36_28     119        776       221          997 
    csa_tree_U_S12_add_18_16_groupi csa_tree_U_S12_add_18_16_group_38_28     107        747       194          942 
    csa_tree_U_S4_add_18_10_groupi  csa_tree_U_S4_add_18_10_group_457_28     108        707       200          907 
    csa_tree_U_S24_add_18_10_groupi csa_tree_U_S24_add_18_10_group_455_28    107        667       199          866 
    csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_40_28      85        655       164          819 
    csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_42_28       89        641       171          812 
    csa_tree_U_S2_add_18_10_groupi  csa_tree_U_S2_add_18_10_group_50_28       90        557       162          719 
    csa_tree_U_S22_add_18_10_groupi csa_tree_U_S22_add_18_10_group_48_28      89        528       163          691 
    U_S17_add_41_16                 add_unsigned_752_4332                     89        439       144          584 
    U_S11_add_41_16                 add_unsigned_765_3596                     81        320       132          452 
    addinc_U_2_U_S1_add_18_16       add_signed_carry_41_3665                  59        199        98          297 
    addinc_U_5_U_S1_add_18_16       add_signed_carry_41_3664                  59        199        97          296 
    U_2_U_S0_add_18_10              add_signed_804_3351                       49        204        78          283 
    U_5_U_S0_add_18_10              add_signed_804_3352                       49        200        78          278 
    U_S15_add_41_16                 add_unsigned_755_3628                     26        211        33          244 
    U_3_U_S1_add_18_10              add_signed_799_4408                       33        158        45          203 
    U_4_U_S1_add_18_10              add_signed_799_4409                       30        151        41          191 
    U_S14_add_41_16                 add_unsigned_757_4268                     19        146        24          169 
    U_3_U_S0_add_18_10              add_signed_804_3462_4474                  22        128        29          158 
    U_4_U_S0_add_18_10              add_signed_804_3462_4473                  20        122        26          148 
    U_S1_add_41_16                  add_unsigned_780_3212                     13         53        14           67 
    U_S21_add_41_16                 add_unsigned_780_3211                     11         49        11           61 
  gen_filter[22].U_S0               filter_8_bit_width10_22                 1455       8098      2881        10979 
    csa_tree_U_S16_add_18_10_groupi csa_tree_U_S16_add_18_10_group_36_15     121        790       224         1014 
    csa_tree_U_S12_add_18_16_groupi csa_tree_U_S12_add_18_16_group_38_15     104        744       192          936 
    csa_tree_U_S4_add_18_10_groupi  csa_tree_U_S4_add_18_10_group_457_15     108        700       200          900 
    csa_tree_U_S24_add_18_10_groupi csa_tree_U_S24_add_18_10_group_455_15    108        675       200          875 
    csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_40_15      84        654       163          817 
    csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_42_15       90        643       172          815 
    csa_tree_U_S2_add_18_10_groupi  csa_tree_U_S2_add_18_10_group_50_15       87        557       158          715 
    csa_tree_U_S22_add_18_10_groupi csa_tree_U_S22_add_18_10_group_48_15      89        532       163          694 
    U_S17_add_41_16                 add_unsigned_752_4319                     89        441       144          585 
    U_S11_add_41_16                 add_unsigned_765_3609                     79        300       131          431 
    addinc_U_2_U_S1_add_18_16       add_signed_carry_41_3691                  59        199        98          297 
    addinc_U_5_U_S1_add_18_16       add_signed_carry_41_3690                  59        199        97          296 
    U_2_U_S0_add_18_10              add_signed_804_3403                       48        203        77          281 
    U_5_U_S0_add_18_10              add_signed_804_3404                       49        201        78          279 
    U_S15_add_41_16                 add_unsigned_755_3641                     26        211        33          244 
    U_3_U_S1_add_18_10              add_signed_799_4434                       30        150        41          190 
    U_4_U_S1_add_18_10              add_signed_799_4435                       29        149        39          187 
    U_S14_add_41_16                 add_unsigned_757_4255                     19        152        24          175 
    U_3_U_S0_add_18_10              add_signed_804_3462_4500                  20        122        26          148 
    U_4_U_S0_add_18_10              add_signed_804_3462_4499                  19        119        24          143 
    U_S1_add_41_16                  add_unsigned_780_3238                     13         56        14           70 
    U_S21_add_41_16                 add_unsigned_780_3237                     12         51        12           64 
  gen_filter[24].U_S0               filter_8_bit_width10_24                 1458       8095      2882        10977 
    csa_tree_U_S16_add_18_10_groupi csa_tree_U_S16_add_18_10_group_36_17     122        794       225         1019 
    csa_tree_U_S12_add_18_16_groupi csa_tree_U_S12_add_18_16_group_38_17     104        744       192          936 
    csa_tree_U_S4_add_18_10_groupi  csa_tree_U_S4_add_18_10_group_457_17     108        706       200          906 
    csa_tree_U_S24_add_18_10_groupi csa_tree_U_S24_add_18_10_group_455_17    108        675       200          875 
    csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_40_17      86        660       166          827 
    csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_42_17       90        642       172          815 
    csa_tree_U_S2_add_18_10_groupi  csa_tree_U_S2_add_18_10_group_50_17       87        552       158          710 
    csa_tree_U_S22_add_18_10_groupi csa_tree_U_S22_add_18_10_group_48_17      89        527       163          690 
    U_S17_add_41_16                 add_unsigned_752_4321                     89        441       144          585 
    U_S11_add_41_16                 add_unsigned_765_3607                     80        304       131          435 
    addinc_U_5_U_S1_add_18_16       add_signed_carry_41_3686                  59        198        97          295 
    addinc_U_2_U_S1_add_18_16       add_signed_carry_41_3687                  59        197        98          294 
    U_5_U_S0_add_18_10              add_signed_804_3396                       49        202        78          280 
    U_2_U_S0_add_18_10              add_signed_804_3395                       48        198        77          275 
    U_S15_add_41_16                 add_unsigned_755_3639                     26        211        33          244 
    U_4_U_S1_add_18_10              add_signed_799_4431                       31        153        41          194 
    U_3_U_S1_add_18_10              add_signed_799_4430                       30        149        41          190 
    U_S14_add_41_16                 add_unsigned_757_4257                     19        152        24          175 
    U_4_U_S0_add_18_10              add_signed_804_3462_4495                  20        122        26          148 
    U_3_U_S0_add_18_10              add_signed_804_3462_4496                  20        122        26          148 
    U_S1_add_41_16                  add_unsigned_780_3234                     13         53        14           67 
    U_S21_add_41_16                 add_unsigned_780_3233                     11         50        11           62 
  gen_filter[6].U_S0                filter_8_bit_width10_6                  1458       8091      2880        10972 
    csa_tree_U_S16_add_18_10_groupi csa_tree_U_S16_add_18_10_group_36_29     120        779       223         1002 
    csa_tree_U_S12_add_18_16_groupi csa_tree_U_S12_add_18_16_group_38_29     103        736       189          925 
    csa_tree_U_S4_add_18_10_groupi  csa_tree_U_S4_add_18_10_group_457_29     108        695       200          895 
    csa_tree_U_S24_add_18_10_groupi csa_tree_U_S24_add_18_10_group_455_29    107        669       199          868 
    csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_40_29      86        660       166          827 
    csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_42_29       89        621       171          792 
    csa_tree_U_S2_add_18_10_groupi  csa_tree_U_S2_add_18_10_group_50_29       90        571       162          733 
    csa_tree_U_S22_add_18_10_groupi csa_tree_U_S22_add_18_10_group_48_29      89        541       163          704 
    U_S17_add_41_16                 add_unsigned_752_4333                     89        439       144          584 
    U_S11_add_41_16                 add_unsigned_765_3595                     81        314       133          446 
    addinc_U_5_U_S1_add_18_16       add_signed_carry_41_3662                  59        199        97          296 
    addinc_U_2_U_S1_add_18_16       add_signed_carry_41_3663                  59        198        98          295 
    U_2_U_S0_add_18_10              add_signed_804_3347                       49        206        79          285 
    U_5_U_S0_add_18_10              add_signed_804_3348                       49        206        79          285 
    U_S15_add_41_16                 add_unsigned_755_3627                     26        214        33          247 
    U_4_U_S1_add_18_10              add_signed_799_4407                       30        154        41          195 
    U_3_U_S1_add_18_10              add_signed_799_4406                       30        151        41          191 
    U_S14_add_41_16                 add_unsigned_757_4269                     19        146        24          169 
    U_4_U_S0_add_18_10              add_signed_804_3462_4471                  20        122        26          148 
    U_3_U_S0_add_18_10              add_signed_804_3462_4472                  20        122        26          148 
    U_S1_add_41_16                  add_unsigned_780_3210                     13         55        14           69 
    U_S21_add_41_16                 add_unsigned_780_3209                     12         55        12           67 
  gen_filter[19].U_S0               filter_8_bit_width10_19                 1457       8092      2878        10970 
    csa_tree_U_S16_add_18_10_groupi csa_tree_U_S16_add_18_10_group_36_11     120        787       223         1010 
    csa_tree_U_S12_add_18_16_groupi csa_tree_U_S12_add_18_16_group_38_11     105        747       193          940 
    csa_tree_U_S4_add_18_10_groupi  csa_tree_U_S4_add_18_10_group_457_11     108        706       200          906 
    csa_tree_U_S24_add_18_10_groupi csa_tree_U_S24_add_18_10_group_455_11    108        675       200          875 
    csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_40_11      85        657       164          821 
    csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_42_11       90        644       173          817 
    csa_tree_U_S2_add_18_10_groupi  csa_tree_U_S2_add_18_10_group_50_11       87        545       158          703 
    csa_tree_U_S22_add_18_10_groupi csa_tree_U_S22_add_18_10_group_48_11      90        529       163          693 
    U_S17_add_41_16                 add_unsigned_752_4315                     89        441       144          585 
    U_S11_add_41_16                 add_unsigned_765_3613                     80        305       131          437 
    addinc_U_5_U_S1_add_18_16       add_signed_carry_41_3698                  59        198        97          295 
    addinc_U_2_U_S1_add_18_16       add_signed_carry_41_3699                  59        197        98          294 
    U_5_U_S0_add_18_10              add_signed_804_3420                       48        201        77          279 
    U_2_U_S0_add_18_10              add_signed_804_3419                       48        198        77          275 
    U_S15_add_41_16                 add_unsigned_755_3645                     27        214        35          249 
    U_4_U_S1_add_18_10              add_signed_799_4443                       32        157        44          201 
    U_3_U_S1_add_18_10              add_signed_799_4442                       30        151        41          192 
    U_S14_add_41_16                 add_unsigned_757_4251                     19        152        24          175 
    U_4_U_S0_add_18_10              add_signed_804_3462_4507                  22        128        29          158 
    U_3_U_S0_add_18_10              add_signed_804_3462_4508                  20        122        26          148 
    U_S1_add_41_16                  add_unsigned_780_3246                     13         54        14           68 
    U_S21_add_41_16                 add_unsigned_780_3245                     11         50        11           62 
  gen_filter[25].U_S0               filter_8_bit_width10_25                 1457       8083      2875        10959 
    csa_tree_U_S16_add_18_10_groupi csa_tree_U_S16_add_18_10_group_36_18     121        789       224         1013 
    csa_tree_U_S12_add_18_16_groupi csa_tree_U_S12_add_18_16_group_38_18     102        738       187          925 
    csa_tree_U_S4_add_18_10_groupi  csa_tree_U_S4_add_18_10_group_457_18     108        696       200          897 
    csa_tree_U_S24_add_18_10_groupi csa_tree_U_S24_add_18_10_group_455_18    108        677       200          877 
    csa_tree_U_S26_add_18_10_groupi csa_tree_U_S26_add_18_10_group_40_18      85        657       164          821 
    csa_tree_U_S6_add_18_10_groupi  csa_tree_U_S6_add_18_10_group_42_18       91        642       174          816 
    csa_tree_U_S2_add_18_10_groupi  csa_tree_U_S2_add_18_10_group_50_18       87        550       158          708 
    csa_tree_U_S22_add_18_10_groupi csa_tree_U_S22_add_18_10_group_48_18      90        532       163          695 
    U_S17_add_41_16                 add_unsigned_752_4322                     89        441       144          585 
    U_S11_add_41_16                 add_unsigned_765_3606                     81        305       132          437 
    addinc_U_5_U_S1_add_18_16       add_signed_carry_41_3684                  59        199        97          296 
    addinc_U_2_U_S1_add_18_16       add_signed_carry_41_3685                  59        197        98          294 
    U_5_U_S0_add_18_10              add_signed_804_3392                       49        204        78          282 
