============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:01:22 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
FME_INTER_2                   15852    79.674 14040.215  8564.817      22605.032         22684.706 
  U_buffer                    12425    60.463 11750.816  5257.648      17008.464         17068.927 
  U_inter                      2241    11.364   828.764  1550.044       2378.808          2390.172 
    csa_tree_P.._18_10_groupi    39     0.237    20.296    58.237         78.533            78.770 
    csa_tree_P.._18_10_groupi    39     0.237    18.695    53.881         72.575            72.812 
    csa_tree_P.._18_10_groupi    39     0.237    20.178    59.766         79.944            80.181 
    csa_tree_P.._18_10_groupi    39     0.237    20.246    57.421         77.668            77.905 
    csa_tree_P.._18_10_groupi    39     0.236    19.927    50.503         70.430            70.666 
    csa_tree_P.._18_10_groupi    39     0.236    19.132    56.468         75.600            75.836 
    csa_tree_P.._18_10_groupi    39     0.236    19.469    61.632         81.100            81.336 
    csa_tree_P.._18_10_groupi    39     0.235    19.454    58.615         78.069            78.304 
    csa_tree_P.._18_10_groupi    39     0.235    19.569    57.662         77.231            77.466 
    csa_tree_P.._18_10_groupi    39     0.235    21.156    64.003         85.159            85.394 
    csa_tree_P.._18_10_groupi    39     0.235    18.892    55.569         74.461            74.696 
    csa_tree_P.._18_10_groupi    39     0.196    17.354    19.046         36.400            36.596 
    csa_tree_P.._18_10_groupi    39     0.196    18.794    21.064         39.858            40.054 
    csa_tree_P.._18_10_groupi    39     0.196    16.923    18.728         35.651            35.847 
    csa_tree_P.._18_10_groupi    39     0.196    15.837    17.511         33.347            33.543 
    csa_tree_P.._18_10_groupi    39     0.196    17.731    19.886         37.617            37.813 
    csa_tree_P.._18_10_groupi    39     0.195    17.126    18.906         36.031            36.227 
    csa_tree_P.._18_10_groupi    39     0.195    14.269    15.802         30.071            30.266 
    csa_tree_P.._18_10_groupi    39     0.195    15.173    17.001         32.174            32.369 
    csa_tree_P.._18_10_groupi    39     0.195    15.699    17.439         33.138            33.333 
    csa_tree_P.._18_10_groupi    39     0.195    15.782    17.527         33.310            33.505 
    csa_tree_P.._18_10_groupi    39     0.195    17.195    19.191         36.386            36.581 
    csa_tree_P.._18_10_groupi    39     0.195    16.811    18.586         35.397            35.592 
    csa_tree_P.._18_10_groupi    39     0.195    17.441    19.357         36.798            36.993 
    csa_tree_P.._18_10_groupi    39     0.195    14.233    15.584         29.817            30.012 
    csa_tree_P.._18_10_groupi    39     0.195    18.213    20.394         38.606            38.801 
    csa_tree_P.._18_10_groupi    39     0.195    17.863    19.744         37.607            37.802 
    csa_tree_P.._18_10_groupi    39     0.195    17.610    19.599         37.209            37.404 
    csa_tree_P.._18_10_groupi    39     0.195    15.621    17.343         32.964            33.158 
    csa_tree_P.._18_10_groupi    39     0.195    15.221    17.119         32.340            32.535 
    csa_tree_P.._18_10_groupi    39     0.195    13.645    14.948         28.594            28.788 
    csa_tree_P.._18_10_groupi    39     0.194    14.670    16.274         30.944            31.139 
    csa_tree_P.._18_10_groupi    39     0.194    15.247    16.979         32.226            32.420 
    csa_tree_P.._18_10_groupi    39     0.194    16.384    18.274         34.657            34.852 
    addinc_PUs.._S0_add_18_16    23     0.108     5.187    12.713         17.901            18.009 
    addinc_PUs.._S0_add_18_16    23     0.108     5.404    13.573         18.977            19.085 
    addinc_PUs.._S0_add_18_16    23     0.108     5.099    12.788         17.888            17.996 
    addinc_PUs.._S0_add_18_16    23     0.108     5.367    13.061         18.428            18.536 
    addinc_PUs.._S0_add_18_16    23     0.108     5.645    10.064         15.709            15.817 
    addinc_PUs.._S0_add_18_16    23     0.108     5.376    13.232         18.608            18.715 
    addinc_PUs.._S0_add_18_16    23     0.108     5.662    14.268         19.929            20.037 
    addinc_PUs.._S0_add_18_16    23     0.108     5.020    12.398         17.418            17.525 
    addinc_PUs.._S0_add_18_16    23     0.108     5.909    10.913         16.823            16.931 
    addinc_PUs.._S0_add_18_16    23     0.108     6.015    14.776         20.791            20.899 
    addinc_PUs.._S0_add_18_16    23     0.108     5.318    13.394         18.712            18.820 
    addinc_PUs.._S0_add_18_16    23     0.108     5.354    12.984         18.338            18.446 
    addinc_PUs.._S0_add_18_16    23     0.108     5.723    14.356         20.080            20.187 
    addinc_PUs.._S0_add_18_16    23     0.108     5.866    14.435         20.301            20.408 
