============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:10:17 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
FME_INTER_2                   16624    90.286 21889.790 13109.389      34999.179         35089.465 
  U_buffer                    12418    59.833 18189.951  7885.985      26075.936         26135.769 
  U_inter                      2822    19.940  1470.777  2291.027       3761.804          3781.744 
    addinc_PUs.._S0_add_18_16    44     0.431    21.648    30.203         51.851            52.282 
    addinc_PUs.._S0_add_18_16    44     0.430    20.417    28.772         49.189            49.619 
    addinc_PUs.._S0_add_18_16    44     0.430    19.192    26.685         45.877            46.307 
    addinc_PUs.._S0_add_18_16    44     0.430    18.612    25.691         44.303            44.733 
    addinc_PUs.._S0_add_18_16    44     0.430    21.285    30.151         51.435            51.865 
    addinc_PUs.._S0_add_18_16    44     0.429    22.668    31.741         54.409            54.838 
    addinc_PUs.._S0_add_18_16    44     0.429    19.397    27.455         46.852            47.281 
    addinc_PUs.._S0_add_18_16    44     0.429    22.403    30.859         53.261            53.690 
    addinc_PUs.._S0_add_18_16    44     0.428    20.144    27.678         47.821            48.250 
    addinc_PUs.._S0_add_18_16    44     0.428    23.162    33.114         56.276            56.704 
    addinc_PUs.._S0_add_18_16    44     0.428    20.713    27.643         48.356            48.784 
    addinc_PUs.._S0_add_18_16    44     0.428    19.708    27.127         46.835            47.263 
    addinc_PUs.._S0_add_18_16    44     0.427    21.507    30.028         51.535            51.963 
    addinc_PUs.._S0_add_18_16    44     0.427    20.542    22.833         43.375            43.802 
    addinc_PUs.._S0_add_18_16    44     0.427    19.282    26.843         46.125            46.552 
    addinc_PUs.._S0_add_18_16    44     0.426    20.572    28.654         49.226            49.651 
    addinc_PUs.._S0_add_18_16    44     0.425    20.168    24.062         44.230            44.655 
