============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  09:54:43 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
--------------------------------------------------------------------------------
HS65_LSS_XNOR2X12          40     270.400      0.528      48.334    CORE65LPSVT 
HS65_LSS_XNOR2X18         142    1476.800      3.171     187.184    CORE65LPSVT 
HS65_LSS_XNOR2X24           4      49.920      0.119       8.664    CORE65LPSVT 
HS65_LSS_XNOR2X6          119     495.040      0.815      70.935    CORE65LPSVT 
HS65_LSS_XOR2X6            85     353.600      0.513      13.075    CORE65LPSVT 
HS65_LS_AND2ABX18           5      20.800      0.044       0.892    CORE65LPSVT 
HS65_LS_AND2ABX27           2      11.440      0.028       4.965    CORE65LPSVT 
HS65_LS_AND2ABX9            1       3.640      0.005       1.286    CORE65LPSVT 
HS65_LS_AND2X18           134     487.760      1.066      96.553    CORE65LPSVT 
HS65_LS_AND2X35           134     836.160      2.690     199.731    CORE65LPSVT 
HS65_LS_AND2X4            584    1518.400      1.064      56.827    CORE65LPSVT 
HS65_LS_AND2X9             68     212.160      0.374      32.668    CORE65LPSVT 
HS65_LS_AND3X9              5      18.200      0.015       0.151    CORE65LPSVT 
HS65_LS_AO12X9           1123    4087.720      5.910    1111.003    CORE65LPSVT 
HS65_LS_AO32X4           1497    7005.960      3.949    1000.668    CORE65LPSVT 
HS65_LS_AOI12X12          110     572.000      1.027      64.457    CORE65LPSVT 
HS65_LS_AOI12X17           56     378.560      0.889      41.177    CORE65LPSVT 
HS65_LS_AOI12X23           42     371.280      0.920      43.623    CORE65LPSVT 
HS65_LS_AOI12X35           35     455.000      1.226      54.417    CORE65LPSVT 
HS65_LS_AOI12X46            1      17.160      0.048       2.731    CORE65LPSVT 
HS65_LS_AOI13X5             1       3.640      0.003       0.000    CORE65LPSVT 
HS65_LS_AOI21X17           31     209.560      0.440      25.568    CORE65LPSVT 
HS65_LS_AOI21X23           41     362.440      0.649      40.567    CORE65LPSVT 
HS65_LS_AOI21X35           88    1144.000      2.258     143.411    CORE65LPSVT 
HS65_LS_AOI22X6             1       3.640      0.004       0.651    CORE65LPSVT 
HS65_LS_AOI311X4            1       4.160      0.004       0.029    CORE65LPSVT 
HS65_LS_AOI32X10            1       7.800      0.008       0.616    CORE65LPSVT 
HS65_LS_AOI32X5            65     270.400      0.160      24.980    CORE65LPSVT 
HS65_LS_BFX106             27     322.920      1.544     112.275    CORE65LPSVT 
HS65_LS_BFX142            114    1778.400      8.771     614.829    CORE65LPSVT 
HS65_LS_BFX18             283     882.960      2.272     173.219    CORE65LPSVT 
HS65_LS_BFX213             87    1945.320     10.215     719.034    CORE65LPSVT 
HS65_LS_BFX27             137     498.680      1.733     141.868    CORE65LPSVT 
HS65_LS_BFX284             12     361.920      1.943     132.097    CORE65LPSVT 
HS65_LS_BFX35               3      15.600      0.052       1.324    CORE65LPSVT 
HS65_LS_BFX40               1       5.720      0.020       1.609    CORE65LPSVT 
HS65_LS_BFX44              31     177.320      0.691      76.151    CORE65LPSVT 
HS65_LS_BFX53              32     199.680      0.862      76.566    CORE65LPSVT 
HS65_LS_BFX62               4      31.200      0.130       6.561    CORE65LPSVT 
HS65_LS_BFX71              22     183.040      0.814      45.499    CORE65LPSVT 
HS65_LS_BFX9               11      22.880      0.039       4.938    CORE65LPSVT 
HS65_LS_CB4I6X9             1       4.160      0.004       0.738    CORE65LPSVT 
HS65_LS_CBI4I1X5           66     240.240      0.338      28.157    CORE65LPSVT 
HS65_LS_CNBFX124            2      36.400      0.145       0.683    CORE65LPSVT 
HS65_LS_CNBFX82             1      12.480      0.046       4.372    CORE65LPSVT 
HS65_LS_CNIVX103            1      11.960      0.048       2.042    CORE65LPSVT 
HS65_LS_CNIVX14             3       7.800      0.015       0.741    CORE65LPSVT 
HS65_LS_CNIVX17            25      78.000      0.152       6.761    CORE65LPSVT 
HS65_LS_CNIVX21            57     177.840      0.362      18.877    CORE65LPSVT 
HS65_LS_CNIVX24             1       3.640      0.008       0.427    CORE65LPSVT 
HS65_LS_CNIVX27           155     564.200      1.268      56.471    CORE65LPSVT 
HS65_LS_CNIVX31             4      18.720      0.042       2.454    CORE65LPSVT 
HS65_LS_CNIVX34            11      51.480      0.118       5.805    CORE65LPSVT 
HS65_LS_CNIVX41            56     291.200      0.849      33.546    CORE65LPSVT 
HS65_LS_CNIVX55            10      67.600      0.194       7.782    CORE65LPSVT 
HS65_LS_CNIVX58             1       7.280      0.026       1.161    CORE65LPSVT 
HS65_LS_CNIVX62             8      58.240      0.178       6.467    CORE65LPSVT 
HS65_LS_CNIVX7             83     129.480      0.172       7.994    CORE65LPSVT 
HS65_LS_CNIVX82             7      69.160      0.221       8.245    CORE65LPSVT 
HS65_LS_DFPHQX9           340    3536.000      3.338    2430.543    CORE65LPSVT 
HS65_LS_DFPRQNX18           2      21.840      0.026      14.995    CORE65LPSVT 
HS65_LS_DFPRQX18         1702   18585.840     22.165   12838.956    CORE65LPSVT 
HS65_LS_DFPRQX4          2192   22796.800     19.160   14408.349    CORE65LPSVT 
HS65_LS_DFPRQX9          7158   74443.200     70.836   48660.475    CORE65LPSVT 
HS65_LS_FA1X18            144    2021.760      3.352     358.653    CORE65LPSVT 
HS65_LS_FA1X27            382    8144.240     13.862    1443.053    CORE65LPSVT 
HS65_LS_FA1X35              3      79.560      0.148      19.675    CORE65LPSVT 
HS65_LS_FA1X4              44     411.840      0.270      35.346    CORE65LPSVT 
HS65_LS_FA1X9              87     950.040      0.959     130.081    CORE65LPSVT 
HS65_LS_HA1X18            338    2460.640      6.891     589.399    CORE65LPSVT 
HS65_LS_HA1X27             48     574.080      1.627     125.804    CORE65LPSVT 
HS65_LS_HA1X35             12     162.240      0.574      36.431    CORE65LPSVT 
HS65_LS_HA1X4              32     166.400      0.163      14.217    CORE65LPSVT 
HS65_LS_HA1X9              77     480.480      0.723      84.323    CORE65LPSVT 
HS65_LS_IVX106             94     830.960      4.043     198.053    CORE65LPSVT 
HS65_LS_IVX13               1       2.080      0.004       0.189    CORE65LPSVT 
HS65_LS_IVX142             57     681.720      3.414      46.584    CORE65LPSVT 
HS65_LS_IVX18            2368    4925.440     13.004     566.439    CORE65LPSVT 
HS65_LS_IVX2                1       1.560      0.001       0.019    CORE65LPSVT 
HS65_LS_IVX213              3      51.480      0.271      11.877    CORE65LPSVT 
HS65_LS_IVX22               9      28.080      0.069       3.251    CORE65LPSVT 
HS65_LS_IVX27             751    2343.120      6.876     246.085    CORE65LPSVT 
HS65_LS_IVX284              1      22.360      0.126       0.623    CORE65LPSVT 
HS65_LS_IVX31              57     207.480      0.624      24.421    CORE65LPSVT 
HS65_LS_IVX35             245     891.800      3.032     118.262    CORE65LPSVT 
HS65_LS_IVX40              14      58.240      0.201       8.899    CORE65LPSVT 
HS65_LS_IVX44              28     116.480      0.448      19.664    CORE65LPSVT 
HS65_LS_IVX49              13      67.600      0.240       8.647    CORE65LPSVT 
HS65_LS_IVX53             193    1003.600      3.875     146.870    CORE65LPSVT 
HS65_LS_IVX62              13      74.360      0.308      16.566    CORE65LPSVT 
HS65_LS_IVX7               41      63.960      0.078       4.858    CORE65LPSVT 
HS65_LS_IVX71              71     443.040      1.959      66.817    CORE65LPSVT 
HS65_LS_IVX9             2132    3325.920      5.539     593.045    CORE65LPSVT 
HS65_LS_MUX21I1X12         55     371.800      0.690      68.906    CORE65LPSVT 
HS65_LS_MUX21I1X18         37     384.800      0.807      50.001    CORE65LPSVT 
HS65_LS_MUX21I1X24          4      49.920      0.121       7.037    CORE65LPSVT 
HS65_LS_MUX21I1X6           2       8.320      0.013       1.303    CORE65LPSVT 
HS65_LS_MUX21X4          8330   34652.800     39.537    8741.246    CORE65LPSVT 
HS65_LS_MUXI21X2         2550    9282.000      6.561    1051.856    CORE65LPSVT 
HS65_LS_NAND2AX14         242    1006.720      2.252     104.811    CORE65LPSVT 
HS65_LS_NAND2AX21         121     692.120      1.659      98.972    CORE65LPSVT 
HS65_LS_NAND2AX29          96     648.960      1.625     115.871    CORE65LPSVT 
HS65_LS_NAND2AX4            2       6.240      0.005       0.117    CORE65LPSVT 
HS65_LS_NAND2AX7         1012    3157.440      5.138     417.980    CORE65LPSVT 
HS65_LS_NAND2X11           74     269.360      0.378      23.329    CORE65LPSVT 
HS65_LS_NAND2X14          889    3235.960      4.797     332.677    CORE65LPSVT 
HS65_LS_NAND2X2             2       4.160      0.001       0.038    CORE65LPSVT 
HS65_LS_NAND2X21          819    4258.800      9.397     460.693    CORE65LPSVT 
HS65_LS_NAND2X29          518    3232.320      7.945     381.696    CORE65LPSVT 
HS65_LS_NAND2X43          267    2360.280      6.794     287.139    CORE65LPSVT 
HS65_LS_NAND2X57          145    1734.200      5.072     217.027    CORE65LPSVT 
HS65_LS_NAND2X7          5922   12317.760     16.208    2096.816    CORE65LPSVT 
HS65_LS_NAND3AX13          34     194.480      0.522      16.819    CORE65LPSVT 
HS65_LS_NAND3X13           39     202.800      0.266      16.378    CORE65LPSVT 
HS65_LS_NAND3X19           43     290.680      0.502      30.767    CORE65LPSVT 
HS65_LS_NAND3X25           34     300.560      1.059      36.833    CORE65LPSVT 
HS65_LS_NAND3X38          100    1300.000      1.554      35.761    CORE65LPSVT 
HS65_LS_NAND3X5             2       5.200      0.000       0.000    CORE65LPSVT 
HS65_LS_NAND3X6            10      31.200      0.006       1.217    CORE65LPSVT 
HS65_LS_NAND3X9            41     213.200      0.036       5.367    CORE65LPSVT 
HS65_LS_NAND4ABX3          34     123.760      0.025       0.452    CORE65LPSVT 
HS65_LS_NAND4X18            4      27.040      0.039       0.264    CORE65LPSVT 
HS65_LS_NOR2AX13          207     861.120      1.949     115.178    CORE65LPSVT 
HS65_LS_NOR2AX19           19     108.680      0.181       9.094    CORE65LPSVT 
HS65_LS_NOR2AX25           35     236.600      0.649      11.145    CORE65LPSVT 
HS65_LS_NOR2AX3           271     704.600      0.688      51.845    CORE65LPSVT 
HS65_LS_NOR2AX6           343    1070.160      1.567     113.960    CORE65LPSVT 
HS65_LS_NOR2X13           105     382.200      0.872      37.889    CORE65LPSVT 
HS65_LS_NOR2X19           623    3239.600      6.797     351.948    CORE65LPSVT 
HS65_LS_NOR2X25           515    3213.600      7.192     346.832    CORE65LPSVT 
HS65_LS_NOR2X3              1       2.080      0.001       0.044    CORE65LPSVT 
HS65_LS_NOR2X38           427    3774.680     10.204     539.379    CORE65LPSVT 
HS65_LS_NOR2X5              1       2.080      0.003       0.231    CORE65LPSVT 
HS65_LS_NOR2X50            32     382.720      0.578      68.946    CORE65LPSVT 
HS65_LS_NOR2X6           5880   12230.400     21.057    2580.397    CORE65LPSVT 
HS65_LS_NOR3AX13            1       7.800      0.005       0.531    CORE65LPSVT 
HS65_LS_NOR3X13           156    1054.560      0.241      13.020    CORE65LPSVT 
HS65_LS_NOR3X18            23     203.320      0.048       1.419    CORE65LPSVT 
HS65_LS_NOR3X4              1       2.600      0.001       0.269    CORE65LPSVT 
HS65_LS_NOR3X9             19      88.920      0.020       1.006    CORE65LPSVT 
HS65_LS_NOR4X18            30     202.800      0.294       1.144    CORE65LPSVT 
HS65_LS_OA12X18           136     565.760      1.621     119.141    CORE65LPSVT 
HS65_LS_OA12X27            34     247.520      0.615      45.337    CORE65LPSVT 
HS65_LS_OA31X9              1       4.160      0.004       0.063    CORE65LPSVT 
HS65_LS_OAI112X11           1       6.240      0.002       0.431    CORE65LPSVT 
HS65_LS_OAI12X12         6121   31829.200     42.502    8409.628    CORE65LPSVT 
HS65_LS_OAI12X18          242    1635.920      3.147     235.925    CORE65LPSVT 
HS65_LS_OAI12X24          279    2466.360      5.646     331.365    CORE65LPSVT 
HS65_LS_OAI12X37           16     208.000      0.547      27.874    CORE65LPSVT 
HS65_LS_OAI12X49            2      34.320      0.100       3.918    CORE65LPSVT 
HS65_LS_OAI12X6          5484   17110.080     22.650    3374.486    CORE65LPSVT 
HS65_LS_OAI12X9           198    1029.600      1.382     169.747    CORE65LPSVT 
HS65_LS_OAI13X5            65     236.600      0.239      31.098    CORE65LPSVT 
HS65_LS_OAI211X11           1       6.240      0.005       0.496    CORE65LPSVT 
HS65_LS_OAI212X3           43     178.880      0.045      19.495    CORE65LPSVT 
HS65_LS_OAI212X5         2571   10695.360      5.414    2000.430    CORE65LPSVT 
HS65_LS_OAI21X18           50     338.000      0.622      41.467    CORE65LPSVT 
HS65_LS_OAI21X24           17     150.280      0.310      14.364    CORE65LPSVT 
HS65_LS_OAI21X3          1846    4799.600      4.572     657.217    CORE65LPSVT 
HS65_LS_OAI21X37           54     702.000      1.679      78.264    CORE65LPSVT 
HS65_LS_OAI21X49            1      17.160      0.045       2.071    CORE65LPSVT 
HS65_LS_OAI21X6           707    2205.840      3.621     419.513    CORE65LPSVT 
HS65_LS_OAI21X9            11      57.200      0.072       5.818    CORE65LPSVT 
HS65_LS_OAI222X2            1       5.200      0.002       0.346    CORE65LPSVT 
HS65_LS_OAI22X33           30     514.800      0.751      70.772    CORE65LPSVT 
HS65_LS_OAI22X44            4      91.520      0.137      10.616    CORE65LPSVT 
HS65_LS_OR2ABX27            3      17.160      0.037       3.788    CORE65LPSVT 
HS65_LS_OR2X18             50     182.000      0.477      41.883    CORE65LPSVT 
HS65_LS_OR2X27            148     846.560      2.048     154.582    CORE65LPSVT 
HS65_LS_OR2X9             164     511.680      0.770      58.394    CORE65LPSVT 
HS65_LS_OR3ABCX18           1       5.200      0.008       1.404    CORE65LPSVT 
HS65_LS_OR3X4               1       3.640      0.004       0.787    CORE65LPSVT 
HS65_LS_OR4X4               1       5.200      0.007       0.206    CORE65LPSVT 
HS65_LS_PAOI2X1            66     240.240      0.071       8.133    CORE65LPSVT 
HS65_LS_PAOI2X33           34     742.560      1.032      72.628    CORE65LPSVT 
HS65_LS_PAOI2X6            65     270.400      0.288      25.240    CORE65LPSVT 
HS65_LS_SDFPRQX18          14     182.000      0.192     109.541    CORE65LPSVT 
HS65_LS_SDFPRQX4           76     948.480      0.719     533.285    CORE65LPSVT 
HS65_LS_SDFPRQX9         1372   17122.560     15.061   11719.375    CORE65LPSVT 
HS65_LS_XNOR2X18           54     365.040      1.189      99.259    CORE65LPSVT 
HS65_LS_XNOR2X27            2      20.800      0.063       2.942    CORE65LPSVT 
HS65_LS_XNOR2X35           28     320.320      1.214      63.762    CORE65LPSVT 
HS65_LS_XNOR2X9            11      57.200      0.108      11.598    CORE65LPSVT 
HS65_LS_XOR2X18           256    1730.560      5.633     365.559    CORE65LPSVT 
HS65_LS_XOR2X27           196    2038.400      6.260     413.813    CORE65LPSVT 
HS65_LS_XOR2X35           346    3958.240     15.154     819.948    CORE65LPSVT 
HS65_LS_XOR2X9             68     353.600      0.672      56.966    CORE65LPSVT 
--------------------------------------------------------------------------------
total                   75313  392066.480    561.494  138323.955                


                                             Leakage  Leakage  Internal  Internal 
     Type      Instances    Area    Area % Power (uW) Power % Power (uW)  Power % 
----------------------------------------------------------------------------------
sequential         12856 137636.720   35.1    131.497    23.4  90715.521     65.6 
inverter            6514  16675.880    4.3     47.764     8.5   2239.943      1.6 
buffer               767   6474.520    1.7     29.277     5.2   2111.026      1.5 
logic              55176 231279.360   59.0    352.956    62.9  43257.465     31.3 
physical_cells         0      0.000    0.0      0.000     0.0      0.000      0.0 
----------------------------------------------------------------------------------
total              75313 392066.480  100.0    561.494   100.0 138323.955    100.0 

