============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  09:54:43 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal     Net        Dynamic          Total       
                                                                   (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW) Power(uW)    Power(uW)       Power(uW)     
----------------------------------------------------------------------------------------------------
FME_INTER_2                   75313   561.494 138323.955 90043.585     228367.540        228929.035 
  U_buffer                    57517   319.350 117804.725 55535.008     173339.733        173659.082 
  U_inter                     14456   190.545  12083.975 15571.825      27655.800         27846.345 
    csa_tree_P.._18_10_groupi   116     1.656    123.779   149.876        273.655           275.310 
    csa_tree_P.._18_10_groupi   116     1.651    123.672   147.153        270.825           272.475 
    csa_tree_P.._18_10_groupi   117     1.640    122.645   149.716        272.361           274.001 
    csa_tree_P.._18_10_groupi   114     1.622    119.541   142.074        261.615           263.237 
    csa_tree_P.._18_10_groupi   115     1.618    113.232   139.259        252.492           254.110 
    csa_tree_P.._18_10_groupi   116     1.616    122.128   147.929        270.057           271.673 
    csa_tree_P.._18_10_groupi   116     1.616    124.286   151.219        275.506           277.121 
    csa_tree_P.._18_10_groupi   119     1.603    128.725   156.850        285.575           287.178 
    csa_tree_P.._18_10_groupi   116     1.603    119.497   146.245        265.742           267.344 
    csa_tree_P.._18_10_groupi   115     1.599    111.195   136.074        247.269           248.868 
    csa_tree_P.._18_10_groupi   117     1.598    116.310   144.652        260.962           262.560 
    csa_tree_P.._18_10_groupi   115     1.597    107.276   132.721        239.997           241.594 
    csa_tree_P.._18_10_groupi   116     1.596    124.770   144.460        269.231           270.827 
    csa_tree_P.._18_10_groupi   115     1.583    119.120   143.300        262.420           264.003 
    csa_tree_P.._18_10_groupi   116     1.581    115.950   141.927        257.877           259.459 
    csa_tree_P.._18_10_groupi   114     1.581    111.811   133.787        245.598           247.179 
    csa_tree_P.._18_10_groupi   116     1.579    114.913   139.417        254.329           255.908 
    csa_tree_P.._18_10_groupi   116     1.576    109.083   130.579        239.663           241.239 
    csa_tree_P.._18_10_groupi   115     1.564    107.979   134.278        242.256           243.821 
    csa_tree_P.._18_10_groupi   116     1.551    110.382   132.236        242.618           244.169 
    csa_tree_P.._18_10_groupi   115     1.551    117.591   143.238        260.829           262.380 
    addinc_PUs.._S0_add_18_16    87     1.543     73.857    88.402        162.259           163.802 
    addinc_PUs.._S0_add_18_16    92     1.535     75.928    90.775        166.703           168.238 
    addinc_PUs.._S0_add_18_16    91     1.526     67.926    80.776        148.702           150.228 
    addinc_PUs.._S0_add_18_16    86     1.523     70.869    86.008        156.877           158.400 
    addinc_PUs.._S0_add_18_16    91     1.522     68.203    82.985        151.188           152.710 
    addinc_PUs.._S0_add_18_16    88     1.521     69.649    84.185        153.835           155.355 
    addinc_PUs.._S0_add_18_16    87     1.515     71.646    84.951        156.597           158.112 
    addinc_PUs.._S0_add_18_16    88     1.514     72.801    88.487        161.288           162.802 
    addinc_PUs.._S0_add_18_16    87     1.512     77.575    92.222        169.797           171.309 
    addinc_PUs.._S0_add_18_16    89     1.511     69.268    82.958        152.225           153.737 
    addinc_PUs.._S0_add_18_16    88     1.509     75.039    91.677        166.717           168.226 
    addinc_PUs.._S0_add_18_16    88     1.508     76.439    97.685        174.124           175.632 
    addinc_PUs.._S0_add_18_16    84     1.507     71.012    83.429        154.441           155.948 
    addinc_PUs.._S0_add_18_16    84     1.507     68.790    80.083        148.873           150.380 
    addinc_PUs.._S0_add_18_16    86     1.495     74.009    90.314        164.322           165.817 
    addinc_PUs.._S0_add_18_16    89     1.494     72.199    84.071        156.269           157.763 
    addinc_PUs.._S0_add_18_16    86     1.487     73.430    90.861        164.291           165.777 
    addinc_PUs.._S0_add_18_16    86     1.481     66.754    78.334        145.088           146.569 
    addinc_PUs.._S0_add_18_16    85     1.481     69.707    87.351        157.058           158.539 
    addinc_PUs.._S0_add_18_16    89     1.478     71.588    89.308        160.896           162.374 
    addinc_PUs.._S0_add_18_16    85     1.476     70.101    82.078        152.179           153.655 
    addinc_PUs.._S0_add_18_16    85     1.473     72.973    85.542        158.515           159.988 
    addinc_PUs.._S0_add_18_16    86     1.472     68.524    81.237        149.761           151.233 
    addinc_PUs.._S0_add_18_16    84     1.472     74.105    90.063        164.168           165.640 
    addinc_PUs.._S0_add_18_16    83     1.472     67.114    76.115        143.229           144.701 
    addinc_PUs.._S0_add_18_16    87     1.472     70.511    85.424        155.935           157.406 
    addinc_PUs.._S0_add_18_16    87     1.471     68.035    82.391        150.427           151.897 
    addinc_PUs.._S0_add_18_16    85     1.470     71.428    84.742        156.170           157.640 
    addinc_PUs.._S0_add_18_16    88     1.465     64.185    78.124        142.309           143.774 
    addinc_PUs.._S0_add_18_16    86     1.453     69.730    81.756        151.486           152.939 
    addinc_PUs.._S0_add_18_16    85     1.447     73.450    88.102        161.552           162.999 
    addinc_PUs.._S0_add_18_16    88     1.445     67.201    82.128        149.329           150.774 
    addinc_PUs.._S0_add_18_16    82     1.433     72.713    85.072        157.784           159.218 
    addinc_PUs.._S0_add_18_16    86     1.413     56.398    68.095        124.493           125.907 
    csa_tree_P.._18_10_groupi   117     1.401    107.802   126.331        234.134           235.534 
    csa_tree_P.._18_10_groupi   118     1.302    104.804   126.967        231.771           233.073 
    csa_tree_P.._18_10_groupi   115     1.302    101.913   124.903        226.816           228.118 
    csa_tree_P.._18_10_groupi   116     1.299     99.126   122.596        221.721           223.020 
    csa_tree_P.._18_10_groupi   115     1.294    106.521   129.932        236.453           237.747 
    csa_tree_P.._18_10_groupi   114     1.291     98.632   117.338        215.970           217.260 
    csa_tree_P.._18_10_groupi   116     1.290    103.336   124.884        228.220           229.511 
    csa_tree_P.._18_10_groupi   116     1.290    102.019   122.297        224.316           225.605 
    csa_tree_P.._18_10_groupi   115     1.289    107.551   128.923        236.474           237.763 
    csa_tree_P.._18_10_groupi   117     1.289     92.062   110.329        202.392           203.680 
    csa_tree_P.._18_10_groupi   116     1.287    103.687   124.969        228.655           229.942 
    csa_tree_P.._18_10_groupi   116     1.286     97.206   116.897        214.104           215.389 
    csa_tree_P.._18_10_groupi   117     1.285    104.635   124.577        229.212           230.497 
    csa_tree_P.._18_10_groupi   116     1.284    103.781   122.891        226.671           227.955 
    csa_tree_P.._18_10_groupi   115     1.283    103.557   125.537        229.094           230.377 
    csa_tree_P.._18_10_groupi   115     1.282    110.721   130.933        241.655           242.937 
    csa_tree_P.._18_10_groupi   114     1.279    107.956   128.942        236.898           238.177 
    csa_tree_P.._18_10_groupi   114     1.279    100.689   119.989        220.679           221.957 
    csa_tree_P.._18_10_groupi   114     1.279    104.594   126.675        231.269           232.548 
    csa_tree_P.._18_10_groupi   115     1.277     99.202   116.943        216.144           217.421 
    csa_tree_P.._18_10_groupi   117     1.277     93.388   112.526        205.914           207.192 
    csa_tree_P.._18_10_groupi   115     1.276     96.856   112.592        209.448           210.725 
    csa_tree_P.._18_10_groupi   113     1.275     96.194   115.315        211.509           212.784 
    csa_tree_P.._18_10_groupi   115     1.274    107.598   129.891        237.489           238.764 
    csa_tree_P.._18_10_groupi   116     1.274     96.887   119.809        216.696           217.970 
    csa_tree_P.._18_10_groupi   116     1.274     99.665   115.862        215.526           216.800 
    csa_tree_P.._18_10_groupi   115     1.271    104.359   124.740        229.099           230.370 
    csa_tree_P.._18_10_groupi   113     1.270     98.144   116.957        215.101           216.370 
    csa_tree_P.._18_10_groupi   113     1.269    103.560   123.338        226.898           228.168 
    csa_tree_P.._18_10_groupi   116     1.269     96.811   113.770        210.581           211.850 
    csa_tree_P.._18_10_groupi   114     1.268    101.889   121.894        223.783           225.051 
    csa_tree_P.._18_10_groupi   114     1.266    107.101   127.979        235.080           236.346 
    csa_tree_P.._18_10_groupi   114     1.264     95.859   114.173        210.032           211.296 
    csa_tree_P.._18_10_groupi   113     1.263    101.519   119.261        220.780           222.044 
    csa_tree_P.._18_10_groupi   114     1.263     99.202   118.112        217.314           218.577 
    csa_tree_P.._18_10_groupi   114     1.262    104.726   123.662        228.387           229.649 
    csa_tree_P.._18_10_groupi   113     1.262     97.710   114.558        212.268           213.530 
    csa_tree_P.._18_10_groupi   113     1.262    101.864   122.405        224.269           225.531 
    csa_tree_P.._18_10_groupi   113     1.256    107.228   127.120        234.348           235.604 
