============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2019  03:30:59 pm
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library     
---------------------------------------------------------------------------------
HS65_LSS_XNOR2X12          28     189.280      0.384      31.400    CORE65LPSVT  
HS65_LSS_XNOR2X18          17     176.800      0.407      18.235    CORE65LPSVT  
HS65_LSS_XNOR2X3            7      29.120      0.022       1.503    CORE65LPSVT  
HS65_LSS_XNOR2X6          635    2641.600      4.196     379.911    CORE65LPSVT  
HS65_LSS_XNOR3X4           12     118.560      0.103      10.243    CORE65LPSVT  
HS65_LSS_XOR2X6           439    1826.240      2.429     320.432    CORE65LPSVT  
HS65_LSS_XOR3X2            86     670.800      0.487      60.801    CORE65LPSVT  
HS65_LS_AND2ABX18           9      37.440      0.071       1.427    CORE65LPSVT  
HS65_LS_AND2ABX27           1       5.720      0.012       0.000    CORE65LPSVT  
HS65_LS_AND2ABX35           1       6.240      0.016       0.000    CORE65LPSVT  
HS65_LS_AND2ABX9            6      21.840      0.025       0.781    CORE65LPSVT  
HS65_LS_AND2X18           275    1001.000      2.528     183.229    CORE65LPSVT  
HS65_LS_AND2X27           142     812.240      2.109     137.489    CORE65LPSVT  
HS65_LS_AND2X35            49     305.760      1.117      50.040    CORE65LPSVT  
HS65_LS_AND2X4            759    1973.400      1.415      90.103    CORE65LPSVT  
HS65_LS_AND2X9            224     698.880      0.952      86.477    CORE65LPSVT  
HS65_LS_AND3X35             8      62.400      0.204      13.956    CORE65LPSVT  
HS65_LS_AO112X9             1       4.160      0.004       0.678    CORE65LPSVT  
HS65_LS_AO12X27             6      40.560      0.107       6.992    CORE65LPSVT  
HS65_LS_AO12X35            12      93.600      0.300      20.310    CORE65LPSVT  
HS65_LS_AO12X9            180     655.200      0.788     166.683    CORE65LPSVT  
HS65_LS_AO212X4          4497   21045.960     17.182    4289.942    CORE65LPSVT  
HS65_LS_AO222X18           40     270.400      0.424      87.475    CORE65LPSVT  
HS65_LS_AO222X4         16158   92423.760     46.645   13438.516    CORE65LPSVT  
HS65_LS_AO222X9          1472    9185.280      7.196    1808.999    CORE65LPSVT  
HS65_LS_AO22X9           5987   24905.920     27.663    5951.121    CORE65LPSVT  
HS65_LS_AO32X9              1       5.200      0.005       0.790    CORE65LPSVT  
HS65_LS_AOI12X12          175     910.000      1.810      76.608    CORE65LPSVT  
HS65_LS_AOI12X17          153    1034.280      2.390     130.151    CORE65LPSVT  
HS65_LS_AOI12X23          124    1096.160      2.623     126.172    CORE65LPSVT  
HS65_LS_AOI12X35           66     858.000      2.413     101.531    CORE65LPSVT  
HS65_LS_AOI12X46           17     291.720      0.814      35.395    CORE65LPSVT  
HS65_LS_AOI12X6            36     112.320      0.178       7.524    CORE65LPSVT  
HS65_LS_AOI21X12            1       5.200      0.010       0.565    CORE65LPSVT  
HS65_LS_AOI21X17            1       6.760      0.014       0.945    CORE65LPSVT  
HS65_LS_AOI21X23            8      70.720      0.146       9.273    CORE65LPSVT  
HS65_LS_AOI21X35           42     546.000      1.298      87.282    CORE65LPSVT  
HS65_LS_AOI21X46           11     188.760      0.480      26.716    CORE65LPSVT  
HS65_LS_AOI22X6          1657    6031.480      5.797    1325.196    CORE65LPSVT  
HS65_LS_AOI32X5            41     170.560      0.129      18.873    CORE65LPSVT  
HS65_LS_BFX106             22     263.120      1.287      93.552    CORE65LPSVT  
