============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  08:49:08 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                   Leakage   Dynamic    Total   
          Instance          Cells Power(uW) Power(uW) Power(uW) 
----------------------------------------------------------------
FME_INTER_2                  9308    82.249 24729.580 24811.829 
  U_inter                    3888    48.434  6557.532  6605.966 
  U_buffer                   4363    23.372 13839.962 13863.334 
  U_crtl                       93     0.560   201.383   201.943 
  clipping[6].U_clip           15     0.116    15.193    15.309 
  clipping[5].U_clip           15     0.116    15.095    15.210 
  clipping[3].U_clip           15     0.115    14.009    14.124 
  clipping[0].U_clip           15     0.115    13.024    13.139 
  clipping[2].U_clip           15     0.114    14.582    14.697 
  clipping[8].U_clip           15     0.114    14.570    14.684 
  clipping[1..ip_gte_446_34     6     0.051     5.638     5.689 
  clipping[2..ip_gte_446_34     6     0.049     6.529     6.579 
  clipping[1..ip_gte_446_34     6     0.049     5.073     5.123 
  clipping[1..ip_gte_446_34     6     0.049     4.814     4.863 
  clipping[2..ip_gte_446_34     6     0.049     6.081     6.130 
  clipping[1..ip_gte_446_34     6     0.049     6.634     6.683 
  clipping[2..ip_gte_446_34     6     0.049     4.999     5.048 
  clipping[1..ip_gte_446_34     6     0.048     5.829     5.877 
  clipping[1..ip_gte_446_34     6     0.048     4.303     4.351 
  clipping[2..ip_gte_446_34     6     0.048     5.490     5.538 
  clipping[2..ip_gte_446_34     6     0.048     5.019     5.067 
  clipping[9..ip_gte_446_34     6     0.047     4.920     4.966 
  clipping[1].U_clip            3     0.014     1.731     1.745 
  clipping[4].U_clip            3     0.014     1.862     1.877 
  clipping[7].U_clip            3     0.014     1.565     1.579 

