============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  08:49:08 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
FME_INTER_2                    9308    82.249 14834.401  9895.179      24729.580         24811.829 
  U_inter                      3888    48.434  2820.803  3736.729       6557.532          6605.966 
    csa_tree_P.._18_10_groupi   115     1.733   119.032   151.724        270.756           272.489 
    csa_tree_P.._18_10_groupi   115     1.488   107.519   133.783        241.302           242.791 
    csa_tree_P.._18_10_groupi   114     1.447   108.094   136.124        244.218           245.665 
    csa_tree_P.._18_10_groupi   114     1.439   101.933   129.941        231.874           233.313 
    csa_tree_P.._18_10_groupi   114     1.438   111.134   139.263        250.396           251.835 
    csa_tree_P.._18_10_groupi   114     1.427   107.602   136.598        244.201           245.628 
    csa_tree_P.._18_10_groupi   114     1.318    93.028   113.934        206.962           208.280 
    csa_tree_P.._18_10_groupi   113     1.285    86.172    99.677        185.849           187.133 
    csa_tree_P.._18_10_groupi   113     1.284    88.537   102.903        191.440           192.723 
    csa_tree_P.._18_10_groupi   113     1.284    91.067   103.429        194.496           195.779 
    csa_tree_P.._18_10_groupi   113     1.281   101.547   116.740        218.287           219.569 
    csa_tree_P.._18_10_groupi   113     1.279    89.187    99.147        188.334           189.613 
    csa_tree_P.._18_10_groupi   113     1.275    89.162   104.315        193.476           194.751 
    csa_tree_P.._18_10_groupi   113     1.269    86.351   100.923        187.274           188.543 
    csa_tree_P.._18_10_groupi   113     1.269    93.511   108.588        202.098           203.367 
    csa_tree_P.._18_10_groupi   113     1.269    93.739   111.062        204.801           206.070 
    csa_tree_P.._18_10_groupi   113     1.265    86.386   101.175        187.560           188.826 
    csa_tree_P.._18_10_groupi   113     1.264    87.975   102.517        190.492           191.756 
    addinc_PUs.._S0_add_18_16    81     1.171    49.669    57.819        107.488           108.659 
    addinc_PUs.._S0_add_18_16    81     1.165    52.190    65.194        117.384           118.548 
    addinc_PUs.._S0_add_18_16    81     1.164    54.263    68.241        122.504           123.668 
    addinc_PUs.._S0_add_18_16    81     1.160    51.263    63.490        114.754           115.914 
    addinc_PUs.._S0_add_18_16    81     1.160    51.783    63.461        115.244           116.404 
    addinc_PUs.._S0_add_18_16    81     1.159    50.074    63.654        113.728           114.887 
    addinc_PUs.._S0_add_18_16    81     1.158    50.742    61.946        112.687           113.845 
    addinc_PUs.._S0_add_18_16    81     1.156    48.095    60.660        108.754           109.910 
    addinc_PUs.._S0_add_18_16    81     1.151    47.512    58.218        105.730           106.882 
