============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 19 2019  11:02:45 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                                          Module                      Cells  Cell Area  Net Area   Total Area 
------------------------------------------------------------------------------------------------------------------------------------------
FME_INTER_4                                                                                       33100     173481     75012       248493 
  U_buffer                                       buffer_shift                                     16898      83601     37931       121532 
  U_inter                                        interpolation_bit_width10                        13961      75240     28949       104189 
    csa_tree_PUs_2__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_2__U_F8_U_s3_add_18_10_group_738      127        955       250         1206 
    csa_tree_PUs_0__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_0__U_F8_U_s23_add_18_10_group_744     124        952       246         1198 
    csa_tree_PUs_3__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_3__U_F8_U_s23_add_18_10_group_732     130        917       255         1172 
    csa_tree_PUs_4__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_4__U_F8_U_s23_add_18_10_group_728     130        917       255         1171 
    csa_tree_PUs_3__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_3__U_F8_U_s3_add_18_10_group_734      129        917       253         1170 
    csa_tree_PUs_2__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_2__U_F8_U_s23_add_18_10_group_736     129        913       254         1167 
    csa_tree_PUs_4__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_4__U_F8_U_s3_add_18_10_group_730      129        912       253         1165 
    csa_tree_PUs_1__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_1__U_F8_U_s3_add_18_10_group_742      128        912       252         1164 
    csa_tree_PUs_5__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_5__U_F8_U_s3_add_18_10_group_726      129        897       254         1151 
    csa_tree_PUs_6__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_6__U_F8_U_s23_add_18_10_group_720     132        889       262         1151 
    csa_tree_PUs_5__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_5__U_F8_U_s23_add_18_10_group_724     132        886       262         1148 
    csa_tree_PUs_14__U_F8_U_s23_add_18_10_groupi csa_tree_PUs_14__U_F8_U_s23_add_18_10_group_688    132        889       258         1147 
    csa_tree_PUs_7__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_7__U_F8_U_s23_add_18_10_group_716     132        882       261         1144 
    csa_tree_PUs_1__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_1__U_F8_U_s23_add_18_10_group_740     130        877       257         1133 
    csa_tree_PUs_16__U_F8_U_s3_add_18_10_groupi  csa_tree_PUs_16__U_F8_U_s3_add_18_10_group_682     127        875       252         1127 
    csa_tree_PUs_0__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_0__U_F8_U_s3_add_18_10_group_746      127        872       251         1123 
    csa_tree_PUs_15__U_F8_U_s3_add_18_10_groupi  csa_tree_PUs_15__U_F8_U_s3_add_18_10_group_686     125        854       250         1104 
    csa_tree_PUs_9__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_9__U_F8_U_s23_add_18_10_group_708     125        854       250         1104 
    csa_tree_PUs_12__U_F8_U_s23_add_18_10_groupi csa_tree_PUs_12__U_F8_U_s23_add_18_10_group_696    125        852       250         1102 
    csa_tree_PUs_12__U_F8_U_s3_add_18_10_groupi  csa_tree_PUs_12__U_F8_U_s3_add_18_10_group_698     125        852       250         1102 
    csa_tree_PUs_14__U_F8_U_s3_add_18_10_groupi  csa_tree_PUs_14__U_F8_U_s3_add_18_10_group_690     125        850       250         1099 
    csa_tree_PUs_9__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_9__U_F8_U_s3_add_18_10_group_710      125        850       250         1099 
    csa_tree_PUs_11__U_F8_U_s23_add_18_10_groupi csa_tree_PUs_11__U_F8_U_s23_add_18_10_group_700    125        849       250         1098 
    csa_tree_PUs_11__U_F8_U_s3_add_18_10_groupi  csa_tree_PUs_11__U_F8_U_s3_add_18_10_group_702     125        848       250         1097 
    csa_tree_PUs_10__U_F8_U_s23_add_18_10_groupi csa_tree_PUs_10__U_F8_U_s23_add_18_10_group_704    125        848       250         1097 
    csa_tree_PUs_13__U_F8_U_s3_add_18_10_groupi  csa_tree_PUs_13__U_F8_U_s3_add_18_10_group_694     125        846       250         1096 
    csa_tree_PUs_8__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_8__U_F8_U_s3_add_18_10_group_714      125        846       250         1096 
    csa_tree_PUs_10__U_F8_U_s3_add_18_10_groupi  csa_tree_PUs_10__U_F8_U_s3_add_18_10_group_706     125        843       250         1093 
    csa_tree_PUs_8__U_F8_U_s23_add_18_10_groupi  csa_tree_PUs_8__U_F8_U_s23_add_18_10_group_712     125        840       250         1090 
    csa_tree_PUs_16__U_F8_U_s23_add_18_10_groupi csa_tree_PUs_16__U_F8_U_s23_add_18_10_group_680    125        836       249         1085 
    csa_tree_PUs_13__U_F8_U_s23_add_18_10_groupi csa_tree_PUs_13__U_F8_U_s23_add_18_10_group_692    125        835       250         1084 
    csa_tree_PUs_15__U_F8_U_s23_add_18_10_groupi csa_tree_PUs_15__U_F8_U_s23_add_18_10_group_684    125        833       250         1083 
    csa_tree_PUs_6__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_6__U_F8_U_s3_add_18_10_group_722      124        835       248         1082 
    csa_tree_PUs_7__U_F8_U_s3_add_18_10_groupi   csa_tree_PUs_7__U_F8_U_s3_add_18_10_group_718      124        828       248         1077 
    csa_tree_PUs_3__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_3__U_F8_U_S22_add_18_16_group_834      90        514       164          678 
    csa_tree_PUs_0__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_0__U_F8_U_S22_add_18_16_group_846      86        509       159          668 
    csa_tree_PUs_1__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_1__U_F8_U_S2_add_18_16_group_844       90        502       164          667 
    csa_tree_PUs_4__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_4__U_F8_U_S22_add_18_16_group_830      87        507       160          667 
    csa_tree_PUs_4__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_4__U_F8_U_S2_add_18_16_group_832       88        498       162          659 
    csa_tree_PUs_2__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_2__U_F8_U_S22_add_18_16_group_838      86        501       158          659 
    csa_tree_PUs_6__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_6__U_F8_U_S2_add_18_16_group_824       88        496       162          658 
    csa_tree_PUs_3__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_3__U_F8_U_S2_add_18_16_group_836       86        499       158          657 
    csa_tree_PUs_7__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_7__U_F8_U_S2_add_18_16_group_820       88        489       161          650 
    csa_tree_PUs_14__U_F8_U_S22_add_18_16_groupi csa_tree_PUs_14__U_F8_U_S22_add_18_16_group_790     91        480       167          647 
    csa_tree_PUs_14__U_F8_U_S2_add_18_16_groupi  csa_tree_PUs_14__U_F8_U_S2_add_18_16_group_792      85        488       157          645 
    csa_tree_PUs_16__U_F8_U_S2_add_18_16_groupi  csa_tree_PUs_16__U_F8_U_S2_add_18_16_group_784      87        483       160          642 
    csa_tree_PUs_15__U_F8_U_S2_add_18_16_groupi  csa_tree_PUs_15__U_F8_U_S2_add_18_16_group_788      85        485       157          642 
    csa_tree_PUs_12__U_F8_U_S2_add_18_16_groupi  csa_tree_PUs_12__U_F8_U_S2_add_18_16_group_800      85        484       158          642 
    csa_tree_PUs_9__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_9__U_F8_U_S22_add_18_16_group_810      85        484       158          642 
    csa_tree_PUs_8__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_8__U_F8_U_S22_add_18_16_group_814      85        484       157          641 
    csa_tree_PUs_13__U_F8_U_S22_add_18_16_groupi csa_tree_PUs_13__U_F8_U_S22_add_18_16_group_794     85        483       158          641 
    csa_tree_PUs_13__U_F8_U_S2_add_18_16_groupi  csa_tree_PUs_13__U_F8_U_S2_add_18_16_group_796      85        483       158          641 
    csa_tree_PUs_12__U_F8_U_S22_add_18_16_groupi csa_tree_PUs_12__U_F8_U_S22_add_18_16_group_798     85        483       158          641 
    csa_tree_PUs_11__U_F8_U_S22_add_18_16_groupi csa_tree_PUs_11__U_F8_U_S22_add_18_16_group_802     85        483       158          641 
    csa_tree_PUs_10__U_F8_U_S22_add_18_16_groupi csa_tree_PUs_10__U_F8_U_S22_add_18_16_group_806     85        483       158          641 
    csa_tree_PUs_10__U_F8_U_S2_add_18_16_groupi  csa_tree_PUs_10__U_F8_U_S2_add_18_16_group_808      85        483       158          641 
    csa_tree_PUs_9__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_9__U_F8_U_S2_add_18_16_group_812       85        483       158          641 
    csa_tree_PUs_8__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_8__U_F8_U_S2_add_18_16_group_816       85        483       158          641 
    csa_tree_PUs_11__U_F8_U_S2_add_18_16_groupi  csa_tree_PUs_11__U_F8_U_S2_add_18_16_group_804      85        483       157          640 
    csa_tree_PUs_16__U_F8_U_S22_add_18_16_groupi csa_tree_PUs_16__U_F8_U_S22_add_18_16_group_782     87        479       160          639 
    csa_tree_PUs_15__U_F8_U_S22_add_18_16_groupi csa_tree_PUs_15__U_F8_U_S22_add_18_16_group_786     87        479       160          639 
    csa_tree_PUs_0__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_0__U_F8_U_S2_add_18_16_group_848       87        474       160          635 
    csa_tree_PUs_1__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_1__U_F8_U_S22_add_18_16_group_842      87        471       161          632 
    csa_tree_PUs_2__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_2__U_F8_U_S2_add_18_16_group_840       88        470       162          632 
    csa_tree_PUs_5__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_5__U_F8_U_S22_add_18_16_group_826      86        473       158          630 
    csa_tree_PUs_6__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_6__U_F8_U_S22_add_18_16_group_822      86        470       158          628 
    csa_tree_PUs_7__U_F8_U_S22_add_18_16_groupi  csa_tree_PUs_7__U_F8_U_S22_add_18_16_group_818      88        461       161          622 
    csa_tree_PUs_5__U_F8_U_S2_add_18_16_groupi   csa_tree_PUs_5__U_F8_U_S2_add_18_16_group_828       85        460       158          618 
    addinc_PUs[7].U_F8_U_3_U_S0_add_18_16        add_signed_carry_4749                               85        460       144          604 
    addinc_PUs[4].U_F8_U_3_U_S0_add_18_16        add_signed_carry_4755                               85        459       144          603 
